title,author,date_pub,full_text
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021",I. Introduction
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","On January 2, 2019, at an event commemorating the 40th anniversary of issuing the Message to Taiwan Compatriots, General Secretary Xi Jinping for the first time specifically discussed exploring the “two systems” Taiwan formula and enriching the practice of peaceful reunification, revealing the great practical significance of exploring the “one country, two systems” Taiwan formula in the new era, and directly propelling the theoretical exploration of the “one country, two systems” Taiwan formula to a new stage. Guided by this, academic research on the “one country, two systems” (1C2S) Taiwan formula must adapt to the new situation to achieve a transition from research on the 1C2S Taiwan model to exploration of the 1C2S Taiwan formula. There is also an urgent need to expand the breadth and depth of research content, so as to provide adequate intellectual support for the design and implementation of the “two systems” Taiwan formula. Before deepening the academic research on the 1C2S Taiwan formula and exploring the formula’s specific design, it is necessary to conduct a systematic review and analysis of the existing academic research on the 1C2S Taiwan formula, to get a clear picture of the progress, characteristics, and shortcomings of related research in the process of going from studying the 1C2S model for solving the Taiwan issue to exploring the “two systems” Taiwan formula."
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","II. Overview of the Content of Current Research in Mainland China on the “One Country, Two Systems” Taiwan Formula"
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","Since the idea of “one country, two systems” was first proposed in the early 1980s, mainland scholars have begun to research and explore the 1C2S principle for solving the Taiwan issue, and have made many achievements in the exploration of the 1C2S Taiwan model. Overall, the focus has mainly been on the following five topics."
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","i. On the ideological origins of the “one country, two systems” Taiwan formula"
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","“One country, two systems” was originally proposed in order to peacefully resolve the Taiwan issue. When Deng Xiaoping first proposed the 1C2S concept, its content was more tailored to the Taiwan issue. That is to say, the initial concept of “one country, two systems” established the basic ideological framework of the 1C2S Taiwan formula. In consequence, to examine the ideological origins of the 1C2S Taiwan formula is actually to delve into the ideological origins of “one country, two systems.” On the whole, current academic exploration of the ideological origins of the 1C2S Taiwan formula is comprised mainly of three types."
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","1. The “one country, two systems” Taiwan formula originated in the thinking of first-generation leaders such as Mao Zedong and Zhou Enlai on the peaceful liberation of Taiwan. Although 1C2S was a creative idea first proposed by comrade Deng Xiaoping, many scholars maintain that the relevant thinking on Taiwan of leaders like Mao Zedong and Zhou Enlai was an important inspiration for Deng Xiaoping’s proposal of 1C2S. Li Jiaquan, after conducting a comparative analysis of the strategic thinking of three generations of CCP leaders on unifying China, points out that Deng Xiaoping, “as the Party’s General Secretary at that time, was also a direct participant in and formulator of the peaceful reunification idea of the ‘four principles [on Taiwan]’.” His proposal of the general principle of “peaceful reunification and one country, two systems” after the Third Plenum of the Eleventh Central Committee, was an inheritance and development of the idea of peaceful reunification proposed by first-generation leaders Mao Zedong and Zhou Enlai.1 Xie Chuntao believes that although Mao’s idea of the peaceful liberation of Taiwan was somewhat incomplete and could not be very effective under the historical conditions at that time, it provided a useful reference for Deng Xiaoping’s proposal of the “one country, two systems” concept following the Third Plenum of the Eleventh Central Committee.2"
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","2. The “one country, two systems” Taiwan formula is rooted in deep traditional Chinese history and culture. Some scholars believe that 1C2S, as a kind of theoretical concept with Chinese characteristics, necessarily has its own special basis in Chinese history and culture. On this point, Fei Xiaotong has remarked that 1C2S does not only have political significance. “When you go a step further to look at its origins, there is a Chinese cultural essence in it. It can combine different things together. Without this kind of an essence, we would not have today’s Chinese nation or Chinese culture, and 1C2S would not have emerged.”3 According to Li Daoxiang’s analysis, in terms of theoretical model, the theory of 1C2S is closely related to the traditional Chinese cosmological model of “one divides into two”; in terms of thought, it contains traditional Chinese culture’s spirit of pursuing unity, longing for peace, and seeking harmony without sameness; and in terms of values, it embodies the core values of the Chinese nation.4 Kong Xiangwen argued that 1C2S not only embodies the contemporary value of a political culture that is traditionally one of “pluralistic unity” in nature, but also embodies the spirit of Chinese harmonious culture and people-oriented thought.5 In addition, there are scholars who have taken pains to sort through and analyze the implementation of the official system in the north and south of the Liao Dynasty, the earliest 1C2S-like situation in Chinese history.6"
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","3. Lenin’s thinking on “peaceful coexistence” provided important theoretical inspiration for “one country, two systems.” Starting from Lenin’s thinking on the long-term peaceful coexistence of countries with two different systems, capitalism and socialism, some scholars believe that 1C2S is a flexible application and development of “peaceful coexistence.” Zhou Chunyuan has explicitly argued that the direct source of thought of 1C2S is Lenin’s idea of peaceful coexistence, which Deng Xiaoping applied specifically to issues of domestic relations in the process of peaceful reunification, based on the development realities of Hong Kong, Macau and Taiwan.7 Wang Zhongren has also argued that Deng Xiaoping broke beyond Lenin’s traditional way of thinking, which used the idea of “peaceful coexistence” to deal with interstate relations, and applied it skillfully to deal with China’s internal issue of unification. Thus the great concept of “one country, two systems” was created.8"
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","In addition to the above three types, there have also been a small proportion of scholars who have variously examined the origins of the 1C2S concept from a scattering of perspectives, such as the “Tibet model” in the early years after the PRC’s establishment, and the coexistence of different systems in world history."
"A Review of Current Research in Mainland Academia on the “One Country, Two Systems” Formula for Taiwan","Taiwan Studies , Huang Jichao , Jin Huanyu","Aug 1, 2021","ii. On the basic content of the “one country, two systems” Taiwan formula"
