docname,from,to,pre,keyword,post,pattern
Bolstering_Confidence_and_Jointly_Overcoming_Diffi.csv.18,40,40,"should embrace civilizations of various forms , and must accommodate diverse paths to modernization .",democracy,"is not a special right reserved to an individual country , but a right for",democr*
Bolstering_Confidence_and_Jointly_Overcoming_Diffi.csv.18,81,81,in the global situation show once again that military intervention from the outside and so-called,democratic,"transformation entail nothing but harm . we need to advocate peace , development , equity",democr*
Bolstering_Confidence_and_Jointly_Overcoming_Diffi.csv.18,100,100,"but harm . we need to advocate peace , development , equity , justice ,",democracy,"and freedom , which are the common values of humanity , and reject the practice",democr*
Bolstering_Confidence_and_Jointly_Overcoming_Diffi.csv.22,69,69,"and say of developing countries in international affairs , and taking the lead in advancing",democracy,"and rule of law in international relations . the un should advance , in a",democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.3,191,191,"the problems currently reflected , it does seem necessary to speed up the process of",democracy,and the construction of the legal system . as for how to accelerate and to,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.3,218,218,"to accelerate and to what extent , there are certain scientific implications . otherwise ,",democracy,"will be absolutized , premature , and separated from the current stage . in that",democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.4,3,3,what is,democracy,"? democracy cannot be defined in general terms . democracy in a socialist country ,",democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.4,5,5,what is democracy ?,democracy,"cannot be defined in general terms . democracy in a socialist country , i personally",democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.4,13,13,what is democracy ? democracy cannot be defined in general terms .,democracy,"in a socialist country , i personally understand , should be a legal embodiment of",democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.4,73,73,extremes from others or the country is in itself a demand of others to be,democratic,to oneself while one does not have any sense of accountability or responsibility . this,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,32,32,"family planning and foregoing the task of requisitioning , would this work ? therefore ,",democracy,itself cannot be absolute . it must have certain constraints . at the same time,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,49,49,"cannot be absolute . it must have certain constraints . at the same time ,",democratic,requirements are also phased and cannot be premature . we now have a phased approach,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,69,69,and cannot be premature . we now have a phased approach to the cultivation of,democratic,qualities and the training of democracy . this is the current state of democracy .,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,75,75,now have a phased approach to the cultivation of democratic qualities and the training of,democracy,. this is the current state of democracy . can it be used maturely ?,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,83,83,of democratic qualities and the training of democracy . this is the current state of,democracy,. can it be used maturely ? let us discuss the election of village committees,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,104,104,maturely ? let us discuss the election of village committees . discuss this use of,democracy,". some places have done well , knowing how to plan well for the family",democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,200,200,even discuss such things . is the cultural revolution not a specimen of the great,democracy,"? this kind of "" great democracy "" is not instilled with science or the",democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,207,207,"cultural revolution not a specimen of the great democracy ? this kind of "" great",democracy,""" is not instilled with science or the legal system , but rather with superstition",democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.5,287,287,"repeated ? without stability and unity , nothing would be possible . the problem of",democracy,can only be solved on the track of the legal system .,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.11,318,318,the masses and guide the masses to correctly understand that these issues arise when the,democratic,and legal system is not perfect during the transition between the old and the new,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.11,364,364,"reform , the construction of a socialist spiritual civilization , and the continuous strengthening of",democracy,and legal system construction .,democr*
Grasping_the_Basis_of_Journalism___Xi_Jinping__Sec.csv.12,37,37,. public opinion supervision is a key aspect of the strengthening of party building and,democratic,political construction . unchecked and unsupervised power is bound to lead to corruption . whether,democr*
Improve_Prevention_and_Control_Capabilities__Focus.csv.19,57,57,military commission participated in the seminar . responsible comrades from the central committees of the,democratic,"parties , the all-china federation of industry and commerce , and relevant sectors attended the",democr*
Let_the_Torch_of_Multilateralism_Light_up_Humanity.csv.14,39,39,"common values of humanity , i.e . peace , development , equity , justice ,",democracy,"and freedom , rise above ideological prejudice , make the mechanisms , principles and policies",democr*
Pulling_Together_Through_Adversity_and_Toward_a_Sh.csv.16,118,118,"one any support . we must advocate peace , development , equity , justice ,",democracy,"and freedom , which are common values of humanity , and encourage exchanges and mutual",democr*
Speech_at_a_Ceremony_Marking_the_Centenary_of_the_.csv.10,27,27,"chinese people in fighting bloody battles with unyielding determination , achieving great success in the",new-democratic,"revolution . through the northern expedition , the agrarian revolutionary war , the war of",democr*
Speech_at_a_Ceremony_Marking_the_Centenary_of_the_.csv.10,105,105,we thus secured our nation's independence and liberated our people . the victory of the,new-democratic,"revolution put an end to china's history as a semi-colonial , semi-feudal society , to",democr*
Speech_at_a_Ceremony_Marking_the_Centenary_of_the_.csv.25,128,128,"country's most fundamental interests , we must enhance the party's capacity to conduct sound ,",democratic,", and law-based governance , and ensure that it fully exerts its core role in",democr*
Speech_at_a_Ceremony_Marking_the_Centenary_of_the_.csv.27,60,60,"creativity , and practice a people-centered philosophy of development . we will develop whole-process people's",democracy,", safeguard social fairness and justice , and resolve the imbalances and inadequacies in development",democr*
Speech_at_a_Ceremony_Marking_the_Centenary_of_the_.csv.36,113,113,"to promote the shared human values of peace , development , fairness , justice ,",democracy,", and freedom . we will continue to champion cooperation over confrontation , to open",democr*
