,Date.Stamped,Registrant.Name,Registration.Number,Document.Type,Short.Form.Name,Foreign.Principal.Name,Foreign.Principal.Country,url,filename
1,10/14/2022,"The Elevation Association, LLC",7187,Exhibit AB, ,"Hikvision USA, Inc.",CHINA,https://efile.fara.gov/docs/7187-Exhibit-AB-20221014-1.pdf,7187-Exhibit-AB-20221014-1.pdf
2,10/14/2022,"The Elevation Association, LLC",7187,Short-Form,"Willison, Andrew", , ,https://efile.fara.gov/docs/7187-Short-Form-20221014-2.pdf,7187-Short-Form-20221014-2.pdf
3,10/14/2022,"The Elevation Association, LLC",7187,Registration Statement, , , ,https://efile.fara.gov/docs/7187-Registration-Statement-20221014-1.pdf,7187-Registration-Statement-20221014-1.pdf
4,10/14/2022,"The Elevation Association, LLC",7187,Exhibit C, , , ,https://efile.fara.gov/docs/7187-Exhibit-C-20221014-1.pdf,7187-Exhibit-C-20221014-1.pdf
5,7/14/2022,"G&E Studio, Inc.",7139,Exhibit AB, ,China Radio International,CHINA,https://efile.fara.gov/docs/7139-Exhibit-AB-20220714-1.pdf,7139-Exhibit-AB-20220714-1.pdf
6,7/14/2022,"G&E Studio, Inc.",7139,Short-Form,"Li, Yinan", , ,https://efile.fara.gov/docs/7139-Short-Form-20220714-2.pdf,7139-Short-Form-20220714-2.pdf
7,7/14/2022,"G&E Studio, Inc.",7139,Registration Statement, , , ,https://efile.fara.gov/docs/7139-Registration-Statement-20220714-1.pdf,7139-Registration-Statement-20220714-1.pdf
8,7/14/2022,"G&E Studio, Inc.",7139,Exhibit C, , , ,https://efile.fara.gov/docs/7139-Exhibit-C-20220714-1.pdf,7139-Exhibit-C-20220714-1.pdf
9,7/8/2022,WCETV,7135,Exhibit AB, ,CCTV,CHINA,https://efile.fara.gov/docs/7135-Exhibit-AB-20220708-1.pdf,7135-Exhibit-AB-20220708-1.pdf
10,7/8/2022,WCETV,7135,Exhibit C, , , ,https://efile.fara.gov/docs/7135-Exhibit-C-20220708-1.pdf,7135-Exhibit-C-20220708-1.pdf
11,7/8/2022,WCETV,7135,Short-Form,"Chung, Grace", , ,https://efile.fara.gov/docs/7135-Short-Form-20220708-4.pdf,7135-Short-Form-20220708-4.pdf
12,7/8/2022,WCETV,7135,Short-Form,"Chung, Billy", , ,https://efile.fara.gov/docs/7135-Short-Form-20220708-2.pdf,7135-Short-Form-20220708-2.pdf
13,7/8/2022,WCETV,7135,Registration Statement, , , ,https://efile.fara.gov/docs/7135-Registration-Statement-20220708-1.pdf,7135-Registration-Statement-20220708-1.pdf
