"","x"
"way",124
"among",123
"solidarity",123
"issues",123
"peaceful",122
"right",121
"keep",121
"advance",120
"central",120
"strong",120
"democracy",120
"government",120
"firmly",118
"dialogue",117
"billion",117
"win-win",116
"always",116
"times",115
"african",115
"africa",114
"history",113
"digital",112
"agenda",111
"change",111
"time",110
"sides",110
"implementation",109
"belt",109
"respect",109
"stay",108
"environment",107
"better",106
"asia-pacific",105
"climate",104
"comprehensive",103
"provide",103
"opportunities",102
"response",102
"principle",102
"many",102
"sea",102
"exchanges",101
"pursue",100
"spirit",100
"humanity",99
"investment",98
"confrontation",98
"multilateralism",98
"million",98
"asia",98
