"","page_title_text","page_text"
"1","Address by H.E. Xi Jinping<br>President of the People’s Republic of China<br>At the Conference of the 70th Anniversary of CCPIT and<br>Global Trade and Investment Promotion Summit",NA
"2","Studying and Implementing Xi Jinping Thought on Diplomacy in a Deep-going Way and Opening up New Horizons in China's External Work",NA
"3","Working Collectively and Pursuing Coordinated Development To Promote Global Desertification Governance",NA
"4","Address by State Councilor and Foreign Minister Wang Yi<br>At the High-Level Virtual Meeting of the Group of<br>Friends of The Global Development Initiative",NA
"5","Acting on the Global Security Initiative to Safeguard World Peace and Tranquility",NA
"6","Rising to Challenges and Building a Bright Future Through Cooperation",NA
"7","Remarks by H.E. Wang Yi at the Opening Ceremony of<br> The Session of the Council of Foreign Ministers of the <br>Organization of Islamic Cooperation",NA
"8","​Cherish Peace, Work Together in Unity,<br>and Pursue a Win-Win Future for the Asia-Pacific",NA
"9","Premier Li Keqiang Meets the Press:<br>Full Transcript of Questions and Answers",NA
"10","Upholding Equity and Justice to <br>Promote Sound Development of the Global Human Rights Cause",NA
"11","Drawing Wisdom from History to Light up the Road Ahead",NA
"12","Toast by H.E. Xi Jinping President of the People’s Republic of China At the Welcoming Banquet of The Olympic Winter Games Beijing 2022",NA
"13","​Lunar New Year Message from H.E. Wang Yi <br>State Councilor and Minister of Foreign Affairs of<br> The People’s Republic of China",NA
"14","Forge Ahead with Confidence and Fortitude to Jointly Create a Better Post-COVID World",NA
"15","Upholding China-Philippines Friendship,Jointly Creating a Brighter Future",NA
"16","Striding Forward Holding High the Banner of Building a Community with a Shared Future for Mankind",NA
"17","2022 New Year address by President Xi Jinping",NA
"18","State Councilor and Foreign Minister Wang Yi Gives Interview to Xinhua News Agency and China Media Group on International Situation and China’s Diplomacy in 2021",NA
"19","Adapt to Changes in International Counterterrorism Landscape and Join Hands to Write a New Chapter for Counterterrorism Cooperation",NA
"20","China's Diplomacy in 2021:<br>Embracing a Global Vision and Serving the Nation and its People",NA
"21","Remarks by State Councilor Wang Yi ​At the Meeting of the Advisory Council of The Belt and Road Forum for International Cooperation 2021",NA
"22","Report by State Councilor and Foreign Minister Wang Yi<br> At the Eighth Ministerial Conference of the<br> Forum on China-Africa Cooperation",NA
"23","On Democracy, the People Know the Best",NA
