docname,Segment,WPS,WC,Sixltr,Dic,culture.culture-high,culture.culture-popular,culture.sport,culture,economy.+state+,economy.=state=,economy.-state-,environment.con environment,environment.pro environment,groups.ethnic,groups.women,institutions.conservative,institutions.neutral,institutions.radical,law_and_order.law-conservative,law_and_order.law-liberal,rural,urban,values.conservative,values.liberal,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.1,1,10,10,30,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,20
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.2,2,25,25,20,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,4,8,0,0,0,0,0,0,0,0,12
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.3,3,38.333333333333336,115,27.83,7.83,0,0,0,0.87,0,2.61,0,0,0.87,0,0,0,0,0.87,0,0,0,0,1.74,0.87,15.65,2.61,8.7,0,0,0,0,2.61,1.74,0,0,11.3
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.4,4,45,90,25.56,5.56,0,0,0,1.11,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,13.33,2.22,10,0,0,0,0,1.11,0,0,0,12.22
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.5,5,18.142857142857142,127,31.5,3.94,0,0,0,0,0.79,2.36,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,5.51,5.51,0,0,0,0,1.57,0.79,0.79,0,11.02
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.6,6,30.428571428571427,213,28.17,4.23,0,0,0,0,0.94,1.88,0.47,0.47,0,0,0,0,0,0,0,0,0,0,0,0.47,13.62,3.29,5.16,0.47,0,0,0,1.41,0.47,0.47,0.94,9.86
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.7,7,28.333333333333332,170,30,4.12,0,0,0,0,1.76,1.18,0.59,0.59,0,0,0,0,0,0,0,0,0,0,0,0,9.41,4.71,3.53,0,0,0,0,1.18,0,0,0,8.24
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.8,8,22,110,34.55,7.27,0.91,0,0,0,0,4.55,0,0,0,0,0,0.91,0.91,0,0,0,0,0,0,0,11.82,4.55,5.45,0,0,0,0,1.82,0,0,0,10
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.9,9,37,148,29.73,9.46,0,0,0,0,0,3.38,0.68,0,0,0,0,1.35,1.35,0.68,0,0,0.68,0,0,1.35,10.14,2.7,3.38,0,0,0,0,2.03,0.68,0.68,0.68,6.08
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.10,10,27.6,138,28.26,12.32,0.72,0,0,0,0,5.8,0.72,0,0,0,0,0.72,2.17,0.72,0,0,0,0,0.72,0.72,10.14,3.62,5.8,0,0,0,0,0,0.72,0.72,0,9.42
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.11,11,31.666666666666668,95,28.42,8.42,0,0,0,1.05,1.05,2.11,0,0,2.11,0,0,0,0,1.05,0,0,0,0,1.05,0,12.63,3.16,6.32,0,0,0,0,3.16,0,0,0,9.47
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.12,12,16.4,82,30.49,4.88,0,0,0,2.44,1.22,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,13.41,6.1,6.1,0,0,0,0,1.22,0,0,0,12.2
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.13,13,36,72,40.28,8.33,0,0,0,0,0,2.78,1.39,0,0,0,0,0,2.78,1.39,0,0,0,0,0,0,9.72,2.78,4.17,0,0,0,0,0,0,0,1.39,6.94
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.14,14,36.333333333333336,109,34.86,8.26,0,0,0,0,0.92,2.75,2.75,0,0.92,0,0,0,0,0.92,0,0,0,0,0,0,12.84,2.75,8.26,0,0,0,0,0.92,0.92,0.92,0,11.01
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.15,15,24.5,98,29.59,5.1,0,0,0,0,0,1.02,0,0,1.02,0,0,1.02,0,0,1.02,0,0,0,0,1.02,9.18,4.08,2.04,0,0,0,0,3.06,0,0,0,6.12
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.16,16,24.166666666666668,145,37.93,8.97,0,0,0,0,1.38,4.83,0.69,0,0.69,0,0,0.69,0,0,0,0,0,0,0,0.69,9.66,4.14,4.83,0,0,0,0,0.69,0,0,0,8.97
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.17,17,29.75,119,39.5,4.2,0,0,0,0,0,0.84,0,0,1.68,0,0,0,0,0.84,0,0,0,0,0.84,0,10.92,3.36,5.88,0,0,0,0,1.68,0,0,0,9.24
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.18,18,21.833333333333332,131,27.48,6.11,0,0,0,0,0,1.53,1.53,0,2.29,0,0,0,0,0,0,0,0,0,0.76,0,8.4,4.58,2.29,0,0,0,0,1.53,0,0,0,6.87
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.19,19,2,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,50
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.20,20,24.833333333333332,149,28.86,8.05,0,0,0,0,0.67,0.67,2.68,0,0.67,0,0,2.01,0,0,0,0,0,0,0.67,0.67,12.08,4.03,4.7,0,0,0,0,1.34,2.01,0.67,0,8.72
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.21,21,20.75,83,21.69,1.2,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64,3.61,3.61,0,0,0,1.2,0,1.2,1.2,0,8.43
Acting_in_Solidarity_for_a_Shared_Future___Remarks.csv.22,22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,33.33
Advance_BRICS_Cooperation_to_Meet_Common_Challenge.csv.1,23,3,3,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,33.33
Advance_BRICS_Cooperation_to_Meet_Common_Challenge.csv.2,24,18.25,73,27.4,1.37,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,5.48,2.74,0,0,0,0,1.37,0,0,0,8.22
Advance_BRICS_Cooperation_to_Meet_Common_Challenge.csv.3,25,39,39,30.77,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,12.82,2.56,5.13,0,0,0,0,5.13,0,0,0,7.69
