,docname,from,to,pre,keyword,post,pattern
1,output.txt,833,833,future of all countries is closely linked . seeking exclusive blocs will only lead the world to division and confrontation . we should uphold true,multilateralism,", embrace a global governance vision featuring extensive consultation , joint contribution and shared benefits , and mobilize resources from across the world to meet",multilateralism
2,output.txt,4048,4048,"holding each other back or shifting blame , all in an effort to jointly defend people's lives and health.in response to the new challenges facing",multilateralism,"and global governance , general secretary xi jinping has pointed out that attempts to single-mindedly build "" small yards with high walls "" or """,multilateralism
3,output.txt,4116,4116,"to decouple , disrupt supply or exert maximum pressure will seriously undercut international efforts to tackle common challenges , underscoring the need to uphold true",multilateralism,"and firmly safeguard the international system with the un at its core and the international order underpinned by international law . in fact , the",multilateralism
4,output.txt,5514,5514,"role.fourth , we will actively take part in and lead the reform and development of the global governance system , and champion and practice true",multilateralism,. we will stay committed to building a community with a shared future for mankind and to fostering a new type of international relations .,multilateralism
5,output.txt,7818,7818,"to play their roles . the result will be a symphony for the implementation of the 2030 agenda.colleagues , we all share deep conviction in",multilateralism,", unremitting pursuit of the 2030 agenda , common concerns about the challenges to global development , and the same aspiration for progress of humanity",multilateralism
6,output.txt,8943,8943,international conflicts and achieving durable stability and security in the world.this major initiative was proposed to meet the common aspirations of all countries to uphold,multilateralism,"and international solidarity . the world today is facing unprecedented risks of division . some countries , stubbornly clinging to the outdated mindset of cold",multilateralism
7,output.txt,8990,8990,"outdated mindset of cold war confrontation , are obsessed with building exclusive , small circles and blocs . they pursue unilateralism in the name of",multilateralism,", use double standards while touting their own rules , and practice hegemony under the guise of democracy . these acts have seriously undermined the",multilateralism
8,output.txt,9077,9077,"only endanger world peace , and that bloc confrontation would only exacerbate security challenges in the 21st century . the gsi is rooted in true",multilateralism,. it calls upon all countries to abide by the purposes and principles of the un charter and reject the obsolete mentality of zero-sum game,multilateralism
9,output.txt,10048,10048,"but because they are not effectively implemented . going through major changes and the pandemic unseen in a century , we must act on true",multilateralism,", firmly reject unilateralism and all forms of fake multilateralism , firmly uphold the basic norms of international relations based on the purposes and principles",multilateralism
10,output.txt,10058,10058,"major changes and the pandemic unseen in a century , we must act on true multilateralism , firmly reject unilateralism and all forms of fake",multilateralism,", firmly uphold the basic norms of international relations based on the purposes and principles of the un charter , and oppose all "" gang",multilateralism
11,output.txt,11334,11334,"the world will enjoy greater peace , security and prosperity.we need to firmly uphold the authority and stature of the un and jointly practice true",multilateralism,. multilateral institutions provide the main platforms for practicing multilateralism and the basic framework for defending it . we need to unswervingly uphold the un-centered,multilateralism
12,output.txt,11344,11344,need to firmly uphold the authority and stature of the un and jointly practice true multilateralism . multilateral institutions provide the main platforms for practicing,multilateralism,"and the basic framework for defending it . we need to unswervingly uphold the un-centered international system , the international order underpinned by international law",multilateralism
13,output.txt,13623,13623,"and shared benefits , promote the common values of humanity , and advocate exchanges and mutual learning between civilizations . we need to uphold true",multilateralism,", and firmly safeguard the international system with the un at its core and the international order underpinned by international law . it is particularly",multilateralism
14,output.txt,15090,15090,"development "" - answers the common call of the majority of countries in the world . china will work with islamic countries to uphold true",multilateralism,", defend the purposes and principles of the un charter and safeguard the un-centered international system . in the pursuit of national rejuvenation , china",multilateralism
15,output.txt,17751,17751,seek strength through unity in the process of regional integration.china stands ready to work with all countries in the asia-pacific under the banner of true,multilateralism,", to promote enduring peace , common development and open regionalism , and jointly open up brighter prospects for the asia-pacific community with a shared",multilateralism
16,output.txt,25975,25975,"interfere in the affairs of other countries . we need to steadfastly promote greater democracy and rule of law in international relations , follow true",multilateralism,", and steer global human rights governance toward greater fairness , equity and inclusiveness . the human rights council needs to uphold the principles of",multilateralism
17,output.txt,30376,30376,to address the various challenges effectively is to strengthen solidarity and cooperation and work together for a shared future . we need to practice true,multilateralism,", uphold the international system centered on the united nations and the international order underpinned by international law , and work together to build an",multilateralism
18,output.txt,31207,31207,"in the world , took the right side of history . we jointly opposed unilateralism , power politics and bullying . we vigorously advocated true",multilateralism,and the common values of humanity . we actively mediated for peaceful settlement of regional hotspot issues . and we firmly upheld the un-centered international,multilateralism
19,output.txt,32766,32766,"and dangerous shoals along the way , economic globalization has never and will not veer off course . countries around the world should uphold true",multilateralism,". we should remove barriers , not erect walls . we should open up , not close off . we should seek integration , not",multilateralism
20,output.txt,36703,36703,"humanity.keeping to the right way forward , we have built important consensus for upholding the international order . facing the contest between true and fake",multilateralism,", we have held high the torch of true multilateralism , and commemorated the 50th anniversary of the restoration of the lawful seat of the",multilateralism
21,output.txt,36713,36713,"important consensus for upholding the international order . facing the contest between true and fake multilateralism , we have held high the torch of true",multilateralism,", and commemorated the 50th anniversary of the restoration of the lawful seat of the people's republic of china in the un . we declared",multilateralism
22,output.txt,36817,36817,the basic norms of international relations underpinned by the purposes and principles of the un charter . we have laid bare the nature of fake,multilateralism,"in its various manifestations , and rejected attempts to form exclusive blocs under the pretext of multilateralism , to impose one's own rules on the",multilateralism
23,output.txt,36834,36834,"we have laid bare the nature of fake multilateralism in its various manifestations , and rejected attempts to form exclusive blocs under the pretext of",multilateralism,", to impose one's own rules on the international community under the excuse of a "" rules-based order "" , and to divide the world",multilateralism
