"Registration Number","Registration Date","Name","Business Name","Address 1","Address 2","City","State","Zip"
"7206","12/20/2022","Hill, Isabel","","3041 Sedgwick Street, NW #403","","Washington","DC"," 20008"
"7204","12/19/2022","IYI Party Representation to the United States LLC","","2200 Pennsylvania Ave. NW, ","","Washington","DC","20037"
"7203","12/15/2022","RB CROWE LLC","","330 Cocoanut Row","Apt 5C","Palm Beach","FL"," 33480"
"7201","12/10/2022","Astrategik Group","","1644 Anderson Road, #3",""," McLean","VA","22102"
"7200","12/08/2022","Rabinowitz, Inc. d/b/a Bluelight Strategies","","3010 Ordway Street, NW","","Washington","DC","20008-3254"
"7198","11/30/2022","Red Banyan Group, LLC","","500 W Cypress Creek Road ","Suite 560 ","Fort Lauderdale","FL","33309"
"7197","11/29/2022","Miquel Fernandez Barros","","1717 Hazelwood Drive","","Norman","OK","73071"
"7195","11/24/2022","Alianza Republicana de las Americas - Republican Alliance of the Americas","","P.O. Box 3371","","Dunnellon","FL","34430"
"7194","11/23/2022","35 Nord","","17, Avenue Hoche","","Paris","",""
"7193","11/22/2022","GP International LLC/ DBA GlobalPoint International","","103 Rowell Court",""," Falls Church","VA","22046"
"7192","11/18/2022","Jankowicz, Nina","","1405 S Fern St #547","","Arlington","VA","22202"
"7191","11/12/2022","Unique Solution Advisors","","2531 West Girard Avenue ","Unit 3 ","Philadelphia","PA","19130"
"7190","11/11/2022","AMWPR, Inc.","","222 Broadway","","New York","NY","10038"
"7189","11/11/2022","Logan Circle Group, LLC","","455 Massachusetts Ave, NW, ","Suite 150-473","Washington","DC","20001"
"7187","10/14/2022","The Elevation Association, LLC","","807 Richmond Avenue","","Silver Spring","MD","20910"
"7186","10/14/2022","Nuclear Waste Management Organization","","22 St. Clair Avenue East, 4th Floor"," Toronto","Ontario","",""
"7184","10/12/2022","Visit Mexico USA, LLC","","444 Madison Avenue","Suite 300","New York","NY","10022"
"7183","10/11/2022","Nathan Dale Wilson","","424 Falcon Avenue",""," Patrick Space Force Base","FL","32925"
"7180","10/07/2022","United States of Africa Consultancy Inc.","","10 New York Street","","Worcester","ME"," 01603"
"7179","10/07/2022","Wagstaff Worldwide Public Relations, Inc.","","5443 Fountain Avenue","","Los Angeles","CA","90029"
"7178","10/06/2022","The Brooks Law Firm PC","","275 FOREST ROAD","SUITE 100","HUEYTOWN","AL","35023"
"7176","10/05/2022","Actum UK Opco, LLC","","9000 Sunset Blvd, ","Floor 3","West Hollywood","CA","90069"
"7175","10/05/2022","Global Action on Gun Violence (GAGV) Inc.","","1025 Connecticut Avenue, NW ","Suite 1210","Washington","DC","20036"
"7174","10/04/2022","Liscovich, Andrey","","Wilson Sonsini Goodrich & Rosati ","1301 Avenue of the Americas #40 ","New York","NY","10019"
"7173","09/27/2022","Geoffrey Weill","","Geoffrey Weill Associates","29 Broadway, Suite 2205","New York","NY","10006"
"7172","09/27/2022","Walker-Huntington, Dahlia Ann","","261 N University Drive","Suite 500-13","Plantation","FL"," 33324"
"7171","09/21/2022","Bailey Strategic Advisors, LLC","","4211 Brookview Drive","","Dallas","TX","75220"
"7169","09/12/2022","U.S. Legal Advisors PLLC","","2026 N 3 Mile Road"," P.O. Box 126","Hessel","MI","49745"
"7168","09/12/2022","The Public Policy Advocacy and Research Council","","113 Nautica Pointe","","Macon","GA","31220"
"7167","09/09/2022","Reevemark LLC","","521 Fifth Avenue"," 27th Floor","New York","NY","10175"
"7166","09/09/2022","Davis Wright Tremaine LLP","","920 Fifth Ave, Suite 3300","","Seattle","WA","98104"
"7164","09/07/2022","Potomac Partners DC","","700 Pennsylvania Avenue, S.E.","Suite 320","Washington","DC","20003"
"7162","09/01/2022","United States Center for Diplomacy, Inc.","","165 Hughes Road","","Daniels","WV","25832"
"7161","08/29/2022","The Potomac Square Group","","2102 L Street NW "," Suite 300","Washington","DC","20037"
"7160","08/22/2022","Group M Worldwide, LLC","","175 Greenwich Street","","New York","NY","10007"
"7159","08/16/2022","Salam International","","Salam Tower","Corniche Road","Doha","",""
"7158","08/11/2022","Olufemi Soneye","","8470 Winding Trail","","Laurel","MD","20724"
"7157","08/12/2022","Bryan Cave Leighton Paisner LLP","","211 North Broadway","Suite 3600","St. Louis","MO"," 63102"
"7155","08/11/2022","Gilbert, Harrell, Sumerford & Martin","","777 Gloucester Street","Suite 200","Brunswick","GA","31520"
"7152","08/08/2022","Bridgeway Advocacy, LLC","","700 Pennsylvania Avenue, SE","The Yard"," Washington","DC","20003"
"7151","08/05/2022","Rebel Media Productions LLC","","66 W. Flagler Street","","Miami","FL","33130"
"7149","07/30/2022","Ethos Foundation (DBA - Bharati Foundation)","","13759 Boyle LN","","Frisco ","TX","75035"
"7148","07/29/2022","Richardson, Eric N","","Chemin des Chataigniers, 10 BIS 1292","","Chambesy","",""
"7147","07/27/2022","Birdsall, Voss & Associates, Inc. (""BVK"")","","250 W. Coventry Court","","Milwaukee","WI","53217"
"7146","07/24/2022","Gas Lamp Market Services & Logistics Group LLC","","209 North Jackson Street","","Monroe","GA"," 30655"
"7145","07/22/2022","NSW Government US Office Inc.","","150 East 42nd Street 34th Floor","","New York","NY","10017"
"7144","07/22/2022","National Representative council of Eritrea - GIE","","447 Safari Circle","","Stone Mountain","GA","30083"
"7143","07/21/2022","Slattery, James","","1600 Maddux Lane","","McLean","VA","22101"
"7142","07/19/2022","Vinson & Elkins LLP","","845 Texas Avenue","Suite 4700","Houston","TX","77002"
"7140","07/16/2022","The Raben Group LLC","","1341 G Street, NW","5th Floor","Washington","DC","20005"
"7137","07/11/2022","Ridgely Walsh LLC","","2146 Wyoming Avenue, NW","","Washington","DC","20008"
"7136","07/09/2022","Planty & Associates LLC","","107 Levenbury Place","","Hamilton","VA","20158"
"7135","07/08/2022","WCETV","","17755 Rowland Street","","City of Industry","CA","91748"
"7134","07/07/2022","Polish Institute of International Affairs - Washington DC Office LLC","","1001 Connecticut Avenue, NW ","Suite 607","Washington","DC","20036"
"7132","06/28/2022","Webb, David Scott","","800 Hallsworth CV","","Collierville","TN","38017"
"7131","06/26/2022","Babyak, Michael","","1407 A Street, NE","","Washington","DC","20002"
"7130","06/22/2022","Von Batten-Montague-York, L.C.","","1300 Pennsylvania Avenue, NW ","Suite 700","Washington","DC","20016"
"7129","06/15/2022","Crowell & Moring LLP","","1001 Pennsylvania Avenue, NW ","","Washington","DC","20004"
"7128","06/15/2022","Quantum Technologies Laboratories, Inc.","","135 East 57th Street","Suite 15-112","New York","NY","10022"
"7127","06/14/2022","Rice, Daniel Edward","","10201 East Bay Harbor Drive ","Unit 603","Miami","FL","33154"
"7126","06/13/2022","Pearsall, Patrick","","435 W 116th Street","","New York","NY","10027"
"7125","06/12/2022","Dr. Ramona Mae Tascoe","","7 Orinda Vista Drive","","Oakland","CA","94605"
"7124","06/10/2022","Dr. Andrea Zaki Stephanous Killini","","14 Al Shahid Ahmed Amer street","Heliopolis, Block 1331 Dr. Ahmed Zaki st. El Nozha El Gedida","Cairo","",""
"7123","06/08/2022","Hardesty, Cameron","","1407 A Street, NE","","Washington","DC","20002"
"7121","05/18/2022","Turken Foundation Inc.","","4 West, 43rd Street, #316","","New York","NY","10036"
"7120","05/17/2022","FTI Consulting (SC) Inc.","","555 12th Street, NW","Suite 700","Washington","DC","20004"
"7119","05/13/2022","Ecospherics, LLC","","609 Sligo Creek Parkway","","Takoma Park","MD","20912"
"7118","05/12/2022","5W Public Relations, LLC","","3 Park Avenue","19th Floor","New York","NY","10016"
"7116","05/11/2022","Global Strategic Initiative PLLC","","936 SW 1st Avenue","Suite 414","Miami","FL","33130"
"7115","05/11/2022","AK Party Representation to the United States LLC","","300 New Jersey Avenue, NW","Suite 900","Washington","DC","20001"
"7114","05/10/2022","Berris, Marvin Lou","","16311 Middlebelt Road","","Livonia","MI","48154"
"7112","04/29/2022","Navigators Global LLC","","901 7th Street, NW","Suite 200","Washington","DC","20001"
"7111","04/30/2022","Catalan National Assembly in the United States of America Association","","1717 Hazelwood Drive","","Norman","OK"," 73071"
"7110","04/28/2022","Tishby, Noa","","4208 Overland Avenue ","","Culver City","CA","90230"
"7109","04/18/2022","Ho, Jason","","4664 Hill Top View Lane","","San Jose","CA"," 95138"
"7107","04/11/2022","PLUS Communications, LLC","","3001 Washington Boulevard","7th Floor","Arlington","VA","22201"
"7106","04/08/2022","Havas Media Group USA LLC","","200 Hudson Street","","New York","NY","10013"
"7105","04/06/2022","VantageKnight LLC","","705 Fernandez Juncos Avenue","","San Juan","",""
"7104","04/05/2022","Morrison, John Edwin","","763 Julie Drive","","Vidalia","GA","30474"
"7103","03/28/2022","Morrison & Foerster LLP","","2100 L Street, NW","Suite 900","Washington","DC","20037"
"7102","03/23/2022","JDA Frontline Partners, LLC","","1140 Connecticut Avenue, NW ","Suite 800","Washington","DC","20036"
"7101","03/21/2022","Musolino and Dessel, PLLC","","1615 L Street Northwest","Suite 440","Washington","DC","20036"
"7100","03/19/2022","Marshall, Randi","","4448 Alabama Avenue, SE","","Washington","DC"," 20019"
"7099","03/18/2022","DDB Canada","","33 Bloor Street","East Suite 1700","Toronto","",""
"7096","03/15/2022","Ketchum, Inc.","","1285 Avenue of the Americas","","New York","NY","10019"
"7095","03/14/2022","Kaczmarek, Lukas Jan","","1205 Starmount Lane","","Bel Air","MD"," 21015"
"7094","03/10/2022","Rabinowitz, Inc. d/b/a Bluelight Strategies","","4201 Connecticut Avenue, NW","Suite 211","Washington","DC","20008"
"7093","03/09/2022","KMT Representative Office in the United States","","601 Pennsylvania Avenue, NW","Suite 965","Washington","DC","20004"
"7092","03/08/2022","Ice Miller LLP","","One American Square","Suite 2900","Indianapolis","IN","46282"
"7091","03/07/2022","Federal Resources Group","","718 7th Street, NW","","Washington","DC","20001"
"7090","03/07/2022","Scivetti & Associates","","M-2-20 (1st Floor) Plaza Damas, 60","Jalan Sri Hartamas 1 Sri Hartamas","Kuala Lumpur","",""
"7089","03/07/2022","Becker & Poliakoff","","1275 K Street, NW"," Suite 850","Washington","DC","20005"
"7088","03/04/2022","LobbyDC.com LLC dba Raffaniello & Associates, LLC","","800 Maine Avenue, SW"," Suite 700","Washington","DC","20024"
"7087","03/02/2022","Dentons Global Advisors Government Relations LLC","","1900 K Street, NW","5th Floor","Washington","DC","20006"
"7083","02/23/2022","Governmental Law, LLC","","8040 Eiger Drive","Suite B"," Lincoln","NE","68516"
"7080","02/16/2022","Morris, Luis A.","","Bank of America Plaza - 800 5th Ave. SW","STE. #101-260","Seattle","WA","98104"
"7078","02/09/2022","Atef, Ahmed Ali","","6107 Harvester Court","","Burke","VA","22015"
"7074","01/27/2022","Future Pact LLC","","1276 Owen P1","Apt. A","Washington","DC","20002"
"7073","01/21/2022","Doran, Peter B.","","1400 S. Joyce Street ","Apt. 1732","Arlington","VA","22202"
"7072","01/17/2022","Luxcore, Ltd.","","255 Drake Avenue ","No. 7","New Rochelle","NY","10805"
"7070","01/13/2022","Ballard Partners","","601 Thirteenth Street, NW ","Suite 250 S","Washington","DC","20005"
"7069","01/12/2022","Glassman Enterprises, LLC","","3150 South Street, NW ","2E","Washington","DC","20007"
"7066","01/04/2022","The Van Aucker Group","","5500 Layne Estates Court","","Alexandria","VA","22310"
"7065","01/03/2022","Nicolla Hewitt Communications Corp.","","66 East 55th Street","","New York","NY","10022"
"7064","01/03/2022","Global Nexus LLC","","3351 Tennyson Street NW","","Washington","DC","20015"
"7056","12/09/2021","Endsight Consulting LLC","","2606 E 5700 S","","Ogden","UT"," 84403"
"7054","12/06/2021","Invest SP USA, LLC","","885 Third Avenue","Suite 17","New York","NY","10022"
"7053","12/06/2021","Harris, Waheeda","","40 Homewood Avenue","Suite 2703 ","Toronto","",""
"7052","12/06/2021","ETS Consulting","","2800 Flagmaker Drive","","Falls Church","VA"," 22042"
"7051","12/04/2021","Global Security and Innovative Strategies, LLC","","1401 H Street, NW","#875","Washington","DC","20005"
"7050","12/01/2021","Your Global Strategy Inc.","","45 Birchwood Lane","","Hartsdale","NY","10530"
"7049","11/30/2021","Klein/Johnson Group LLC","","923 15th St. NW"," 6th Floor","Washington","DC"," 20005"
"7047","11/22/2021","Willkie Farr & Gallagher LLP","","787 Seventh Avenue","","New York","NY","10019"
"7046","11/15/2021","The Gallagher Group, LLC","","2503 Hayes Street","","Alexandria","VA","22302"
"7045","11/15/2021","Miller Canfield Global Strategies, PLLC","","1200 G Street NW , Suite 802","","Washington","DC","20005"
"7043","11/12/2021","Asters Consult LLC","","40 Vasily Tyutyunnik Street","","Kyiv","",""
"7042","11/10/2021","Sochua Mu Leiper","","19 Jackson Avenue","","Riverside","RI","02915"
"7041","11/10/2021","Velitchkov, Angel","","7111 Old Post Road","Suite 9, NE","Lincoln","NE"," 68506"
"7040","11/09/2021","Quinn Emanuel Urquhart & Sullivan UK LLP","","90 High Holborn","","London","",""
"7039","11/08/2021","Governmental Law LLC","","8040 Eiger Drive","Suite B","Lincoln","NE","68516"
"7038","11/07/2021","KSO Worldwide Inc.","","401 Ryland Street ","200-A","Reno","NV","35206"
"7035","11/04/2021","New Heights Communications LLC","","6632 32nd Street, NW","","Washington","DC","20015"
"7030","10/26/2021","International Office of the National Resistance Front of AFGH Inc.","","4216 Pacific Coast Highway"," P.O. Box 10301","Torrance","CA","90505"
"7028","10/25/2021","Park Strategies, LLC","","101 Park Avenue","Suite 2506","New York","NY","10178"
