"Date Stamped","Registrant Name","Registration Number","Document Type","Short Form Name","Foreign Principal Name","Foreign Principal Country","Url"
"10/23/2022","Wilson Global Communications, LLC","6584","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/6584-Supplemental-Statement-20221023-9.pdf"
"03/31/2022","Wilson Global Communications, LLC","6584","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/6584-Supplemental-Statement-20220331-7.pdf"
"09/29/2021","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20210929-43.pdf"
"09/29/2021","Wilson Global Communications, LLC","6584","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/6584-Supplemental-Statement-20210929-6.pdf"
"03/23/2021","Wilson Global Communications, LLC","6584","Amendment"," "," "," ","https://efile.fara.gov/docs/6584-Amendment-20210323-5.pdf"
"03/18/2021","Wilson Global Communications, LLC","6584","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/6584-Supplemental-Statement-20210318-5.pdf"
"11/16/2020","6584","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20201116-42.pdf"
"09/29/2020","Wilson Global Communications, LLC","6584","Amendment"," "," "," ","https://efile.fara.gov/docs/6584-Amendment-20200929-4.pdf"
"09/18/2020","Wilson Global Communications, LLC","6584","Amendment"," "," "," ","https://efile.fara.gov/docs/6584-Amendment-20200918-3.pdf"
"09/18/2020","Wilson Global Communications, LLC","6584","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/6584-Supplemental-Statement-20200918-4.pdf"
"03/27/2020","Wilson Global Communications, LLC","6584","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/6584-Supplemental-Statement-20200327-3.pdf"
"12/04/2019","6584","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20191204-39.pdf"
"12/03/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20191203-38.pdf"
"11/18/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20191118-37.pdf"
"10/15/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20191015-35.pdf"
"10/01/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20191001-36.pdf"
"09/20/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190909-34.pdf"
"09/18/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190918-32.pdf"
"09/13/2019","Wilson Global Communications, LLC","6584","Supplemental Statement"," "," "," ","https://efile.fara.gov/docs/6584-Supplemental-Statement-20190913-2.pdf"
"07/24/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190724-31.pdf"
"07/17/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190717-30.pdf"
"07/11/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190711-29.pdf"
"07/10/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190701-28.pdf"
"07/08/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190708-27.pdf"
"06/28/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190628-26.pdf"
"06/27/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190627-24.pdf"
"06/24/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190624-25.pdf"
"06/11/2019","6584","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190611-41.pdf"
"06/07/2019","Wilson Global Communications, LLC","6584","Informational Materials"," ","China-United States Exchange Foundation","CHINA","https://efile.fara.gov/docs/6584-Informational-Materials-20190607-23.pdf"
