created_at,full_text,retweet_count,favorite_count,screen_name
2022-12-20T09:33:56Z,Congratulations on the landmark Kunming-Montreal Global Biodiversity Framework! #COP15 https://t.co/3nhhLHDBdR,22,116,MFA_China
2022-12-19T08:50:54Z,We applaud the important progress in global biosecurity governance at the ninth BWC Review Conference. https://t.co/5Td7rMDnd1,39,160,MFA_China
2022-12-19T08:50:19Z,Australian Foreign Minister Penny Wong will pay a visit to China on December 20 and 21. https://t.co/cUSgu8CLAv,36,133,MFA_China
2022-12-19T07:40:09Z,Japan will not succeed in justifying its military build-up by hyping up the so-called “China threat”. https://t.co/oejJmcRncB,147,748,MFA_China
2022-12-19T07:39:59Z,"We once again urge Japan to adhere to the principles in the four political documents between China and Japan. Its policies and actions must reflect the political consensus that China and Japan are each other’s cooperation partners, not threats. https://t.co/HKddTUBSYN",47,221,MFA_China
2022-12-19T07:39:41Z,Our position on maritime issues is consistent&amp;clear. Japan allows its right-wing forces to cause trouble in the East China Sea and colludes with certain countries to hype up and create tensions in the South China Sea. This is the biggest challenge to regional peace&amp;stability. https://t.co/fJ1WB96j5p,39,157,MFA_China
2022-12-19T07:39:25Z,"The Taiwan question is China’s internal affair and brooks no interference from any external forces. On the Taiwan question, Japan in particular needs to be prudent, honor its commitments and make sure it does not send any wrong signal. https://t.co/PTT4l8SVzK",51,231,MFA_China
2022-12-19T07:39:10Z,"Japan’s new defense policy documents disregard facts, deviate from its commitments on relations with China and the common understandings between the two countries, and smear China’s defense and normal military activities. China firmly rejects this. https://t.co/tI1ijfrZDG",30,132,MFA_China
2022-12-16T13:20:55Z,"China will provide a more market-oriented, law-based and internationalized business environment for foreign companies, and remain a promising investment destination. https://t.co/DQmhzZ6wpe",25,81,MFA_China
2022-12-16T13:20:53Z,China is committed to its fundamental national policy of opening to the outside world and pursues a mutually beneficial strategy of opening up. https://t.co/NNsoyLNneb,22,81,MFA_China
2022-12-16T13:20:51Z,"China’s average economic growth rate for 2020 and 2021 was 5.1%, making China one of the best performing major economies. With the steady rollout of the improved and adjusted COVID policy, China’s economy is expected to pick up further. https://t.co/bhjsa68cjF",13,59,MFA_China
2022-12-16T13:20:47Z,"Despite a first-time global decline of the Human Development Index (HDI) in 2020 and 2021, China’s HDI ranking in 2021 was up six places from 2019. https://t.co/hK8LmTSXOC",35,192,MFA_China
2022-12-16T13:18:20Z,"Internet companies have a duty to deliver the correct information to the public, rather than let the wrong information spread and mislead the public, especially when it comes to the national anthem or any other matter concerning the dignity of a country. https://t.co/sYO3RYlmem",67,315,MFA_China
2022-12-15T13:15:21Z,"We urge the UK to take credible steps to protect the security, peace and dignity of Chinese diplomatic and consular missions in the UK. https://t.co/2A3LVWpl9A",28,124,MFA_China
2022-12-15T13:15:20Z,The Chinese Consul General in Manchester has completed his tenure and returned to China upon instruction not long ago. This is a normal rotation. It’s for us to determine the duration of posting of members of Chinese diplomatic and consular missions. https://t.co/gQa7Xg5heB,27,112,MFA_China
2022-12-15T13:15:18Z,"China strongly urges the UK to fulfill their obligations under relevant international law and bilateral consular agreements, and enable the normal functioning of the Chinese embassy and consulates in the UK. Otherwise, China will take firm and strong reciprocal countermeasures. https://t.co/JwdoUOW0fb",27,94,MFA_China
2022-12-15T13:15:16Z,"The UK has failed to fulfill its obligations under international law and bilateral consular agreements, failed to pre-notify China of the protest, and failed to dutifully protect the safety and normal functioning of the Chinese Consulate General. https://t.co/dBKbcaLD1j",24,96,MFA_China
2022-12-15T13:15:15Z,The protesters made provocations first. They deliberately disrupted and illegally entered into the Chinese Consulate General in Manchester and violently assaulted the consulate staff. https://t.co/2QUIM6lKUR,121,636,MFA_China
2022-12-15T13:12:46Z,The US has become a saboteur of the multilateral trading system. More and more countries are saying no to US unilateralism and protectionism. The world knows what is the right thing to do and is calling for it. https://t.co/L1DN1rByS8,42,106,MFA_China
2022-12-15T13:12:44Z,"The US has engaged in decoupling, supply chain disruption and friend-shoring and often abused so-called “long-arm jurisdiction”. https://t.co/4k4ZpyOjf1",20,89,MFA_China
2022-12-15T13:12:42Z,"The US refuses to comply with mounting dispute settlement rulings that have come into effect, and continues to impose large-scale unilateral high tariffs under domestic law, particularly Section 301 tariffs. https://t.co/O5kIwE00vI",10,44,MFA_China
2022-12-15T13:12:41Z,The US on the one hand calls for fair competition and yet on the other hand has implemented massive discriminatory subsidies to keep domestic sectors ahead in the game. US export control measures have deviated further from what is internationally accepted. https://t.co/WYiCBH2SsY,107,356,MFA_China
2022-12-14T12:31:13Z,China supports the EU in playing a more active mediating role for negotiations to resume and an agreement to be reached at an early date. https://t.co/mRH8Z4q33Y,13,58,MFA_China
2022-12-14T12:31:11Z,Iran has recently shown goodwill and flexibility on some outstanding issues. The US needs to respond to that positively and find ways to work with Iran for the negotiations to achieve early result. https://t.co/ijgERkDUR9,14,66,MFA_China
2022-12-14T12:31:09Z,We welcome the EU’s reiteration of its commitment to restoring the JCPOA and call for separating the Iranian nuclear issue from other issues related to Iran. https://t.co/DKkfZmFGc6,50,203,MFA_China
2022-12-14T12:29:34Z,The ocean discharge of nuclear-contaminated water could affect the global marine environment and the health of all those living along the coasts of the Pacific Ocean. It is by no means a private matter for Japan. We once again urge Japan to stop pushing it through. https://t.co/9E3QrrdLng,104,358,MFA_China
2022-12-14T12:29:01Z,"African people are in the best position to tell who wants what’s best for the continent.
The US needs to respect the aspiration of the African people and take concrete actions to advance Africa’s development, instead of being bent on smearing and attacking other countries. https://t.co/gK3H2PuA3d",27,82,MFA_China
2022-12-14T12:28:59Z,"We welcome greater international focus on and investment in Africa, including from the US, as well as cooperation with Africa which is genuinely equal-footed and mutually-beneficial. https://t.co/51Dvr48DIJ",86,365,MFA_China
2022-12-14T12:27:00Z,"We support the Hong Kong SAR government in defending the dignity of the national anthem. Internet companies have the duty to deliver the correct information to the public, rather than let the wrong information spread and mislead the public. https://t.co/WCpl3n2Cfy",70,283,MFA_China
2022-12-13T13:06:31Z,The articles on security exception do not provide a safe haven for unilateralism or protectionism. Countries need to stand up and say no to Washington’s unilateralism and protectionism. https://t.co/cjUMlj1lAY,26,84,MFA_China
2022-12-13T13:06:29Z,The US’s abuse of export control measures hinders normal world trade regarding chips and other products. It distorts the global semiconductor supply chain and disrupts global trade. https://t.co/nQLKQnaDB3,103,360,MFA_China
2022-12-13T13:05:30Z,We hope the international community will address Africa’s real needs by taking concrete actions and deliver for Africa’s socioeconomic development and the welfare of its people. https://t.co/MhON1jo2zU,28,102,MFA_China
2022-12-13T13:05:28Z,We welcome greater international focus on Africa. Meanwhile we are firmly against turning Africa into a wrestling ground for major-country rivalry or using one’s Africa strategy as a tool to curb and attack other countries’ cooperation with Africa. https://t.co/eeNTdiq1ym,105,436,MFA_China
2022-12-13T13:04:24Z,China appreciates the Afghan security forces’ sharp reaction to the attack and their efforts to rescue the Chinese nationals. https://t.co/4QaYUk3xwV,17,80,MFA_China
2022-12-13T13:04:23Z,"We call on the Afghan interim government to take strong and resolute measures to ensure the safety and security of Chinese nationals, institutions and projects in Afghanistan. https://t.co/Zua15Ag74K",18,85,MFA_China
2022-12-13T13:04:21Z,China closely follows the security situation in Afghanistan and supports Afghanistan’s efforts to combat all forms of terrorism and violence and safeguard national security and stability. https://t.co/Tg6qvDH1F6,11,65,MFA_China
2022-12-13T13:04:19Z,China extends condolences for the members of the Afghan security forces who lost their lives and sympathies to the people who have been injured in the attack. https://t.co/FtnE4BTtDf,69,272,MFA_China
2022-12-12T12:26:22Z,"The two sides had in-depth communication on following through on the common understandings between the two heads of state in Bali. Both sides found the talks candid, in-depth and constructive. They agreed to maintain communication. https://t.co/JNtp3otkjQ",25,94,MFA_China
2022-12-12T12:26:20Z,Vice Foreign Minister Xie Feng held talks with visiting US Assistant Secretary of State Daniel Kritenbrink and NSC Senior Director for China Laura Rosenberger. https://t.co/YC8myavCif,76,258,MFA_China
2022-12-12T11:08:27Z,The Chinese people are in the best position to tell the world what the human rights conditions are like in China. The US needs to reflect soberly on its poor human rights woes and fix its own human rights record first. https://t.co/lBSkwaMCne,326,1403,MFA_China
2022-12-12T11:08:07Z,The US is in no position to act as a “world policeman”. It should withdraw its so-called sanctions immediately and stop interfering in China’s Tibet and other internal affairs. China will act resolutely to safeguard its legitimate rights and interests. https://t.co/mJcf9xDE1U,275,994,MFA_China
2022-12-09T11:13:05Z,More and more people in Saudi Arabia are enthusiastic about learning the Chinese language &amp; getting to know China. https://t.co/gyUyq24NCc,47,155,MFA_China
2022-12-09T11:11:06Z,China-Arab states economic &amp; trade cooperation has scaled new heights. https://t.co/lkUX2XYDXN,47,138,MFA_China
2022-12-09T11:09:54Z,"China maintains communication with all parties concerned on the issues of the Korean Peninsula. We hope all parties will face squarely the crux &amp; history of the issues and address each other’s concerns in a balanced way, particularly the DPRK’s legitimate concerns. https://t.co/Ge6moTt1pz",69,222,MFA_China
2022-12-09T11:09:00Z,We welcome Germany’s decision to allow Chinese nationals in Germany to receive Sinovac’s COVID-19 vaccine. https://t.co/LeyeLHOeAr,48,167,MFA_China
2022-12-08T09:48:37Z,The US should stop arms sales to Taiwan and end military contact with it. https://t.co/x6W8c7DTql,72,243,MFA_China
2022-12-08T09:48:15Z,Belt &amp; Road cooperation between China and Arab countries has yielded fruitful results. https://t.co/BMIwXN9Bdc,75,223,MFA_China
2022-12-07T09:57:49Z,China will continue to play its role as COP15 President for a successful part-2 meeting. https://t.co/BxXt8VgNyq,63,329,MFA_China
2022-12-07T09:57:25Z,President Xi’s state visit to Saudi Arabia will elevate the China-Saudi Arabia comprehensive strategic partnership to a new height. https://t.co/vNgyvbL8yZ,164,507,MFA_China
2022-12-07T09:56:58Z,The China-GCC Summit is of far-reaching significance for China-GCC relations. https://t.co/3kKwy9FIrk,59,175,MFA_China
2022-12-07T09:56:34Z,The inaugural China-Arab States Summit will be an epoch-making milestone in the history of China-Arab relations. https://t.co/sdxGB8oqUv,74,217,MFA_China
2022-12-06T09:50:44Z,"China adopted the right and effective approach to COVID response, which is based on science. https://t.co/8RfWSpu0Bi",68,238,MFA_China
2022-12-06T09:50:10Z,The development of China and that of other countries have become more interconnected and mutually reinforcing. https://t.co/B0Wv6otDCv,43,138,MFA_China
2022-12-05T11:37:23Z,An impressive first year for the China-Laos Railway! Looking forward to more contribution from China-Laos-Thailand railway cooperation to sub-regional development. https://t.co/mBkTutEuW2,127,630,MFA_China
2022-12-05T11:37:12Z,"US-EU cooperation should not target any third party, still less make an issue of China or stoke confrontation. https://t.co/lrVpbq80Js",62,173,MFA_China
2022-12-05T11:36:36Z,The Al Kharsaah Solar Power Plant built by Chinese firms is helping Qatar deliver a carbon-neutral World Cup. https://t.co/Wqwb3fzdIF,76,253,MFA_China
2022-12-02T12:38:37Z,China never interferes in other countries’ internal affairs. https://t.co/R56YXIR9Rq,126,399,MFA_China
2022-12-02T12:36:48Z,The US needs to stop putting itself first at the expense of the world economy instead of continuing down the wrong path. https://t.co/XMoxShkd7V,71,210,MFA_China
2022-12-02T12:35:02Z,"The US calls Europe an important ally. But in reality, the US is letting Europe pay the price in the crisis. https://t.co/4uBq9ZchaW",98,236,MFA_China
2022-12-02T12:32:12Z,"The US accuses China of coercive diplomacy. Yet facts show that the US is an expert and the origin of coercive diplomacy. Time for the US to stop smearing and attacking China.
https://t.co/QqwjuGKlVs",90,277,MFA_China
2022-12-02T12:30:56Z,"It is illegal that the US has troops in Syria, smuggles oil and grain from Syria, and strikes Syria with missile attacks. https://t.co/GhlxTCpM1j",302,770,MFA_China
2022-12-02T12:29:52Z,"China is a source of opportunities, not a challenge. The growth of US-France ties should not come at China’s expense. https://t.co/RKW5C6tfQs",77,190,MFA_China
2022-12-01T14:16:04Z,"Being No.1 in COVID cases and deaths, the US is in no position to blame China’s COVID policy. https://t.co/5ybn9RY2YH",338,1319,MFA_China
2022-11-30T10:47:49Z,“Interference by China in Canada’s elections” is a false allegation. Canada must stop smearing China and misleading the public. https://t.co/XGuzZ0Vj8Q,63,176,MFA_China
2022-11-30T10:46:44Z,The India-US joint exercise near the line of actual control in the border area is not helpful for building trust between China and India. https://t.co/C42cuoW8sz,62,164,MFA_China
2022-11-30T10:43:08Z,China firmly supports the Palestinian people in establishing an independent state. https://t.co/tPHIfUsZsH,127,387,MFA_China
2022-11-30T10:40:36Z,The UK needs to stop propagating the “China threat” and be objective and rational about China and China-UK relations. https://t.co/j9yXe3KUzX,147,678,MFA_China
2022-11-30T10:38:57Z,"On Sizewell C, we respect the decision of the Chinese company’s decision. https://t.co/WlU5ajpupy",34,108,MFA_China
2022-11-30T10:37:08Z,"By promoting the “China threat”, the US seeks to justify its expansion of nuclear arsenal and perpetuation of its military predominance. https://t.co/QyJiMp6Xqr",123,366,MFA_China
2022-11-29T11:55:33Z,"The UK must respect facts and end its double standards.
https://t.co/XjcVxxcvsd",75,286,MFA_China
2022-11-29T11:53:43Z,"Congratulations on the completion of the south tube of the Karnaphuli tunnel in Bangladesh! Once the entire tunnel is finished, it’ll only take 20 minutes instead of 4 hours to drive from the airport to the industrial park at Chittagong Port. https://t.co/GrhaxKyPOF",51,186,MFA_China
2022-11-29T11:51:14Z,Certain countries need to stop interfering in Venezuela’s internal affairs and remove unilateral sanctions as soon as possible. https://t.co/Ujql7bDEmv,61,228,MFA_China
2022-11-29T11:49:13Z,Congratulations to Equatorial Guinea for a successful election and to President Obiang for his reelection! https://t.co/cV2iKgMQwb,128,886,MFA_China
2022-11-28T13:00:23Z,President Charles Michel of the European Council will visit China on December 1. The leaders of China and the EU institutions will have their first official meeting since the 20th CPC National Congress. https://t.co/YiPetx9XG7,99,431,MFA_China
2022-11-28T12:59:28Z,China and Pakistan welcome any proposed ideas that support the BRI and CPEC. https://t.co/uSflrdebbs,46,156,MFA_China
2022-11-28T12:58:49Z,Another example of the US’s abuse of the national security concept &amp; state power to hobble Chinese companies. China will continue to firmly defend the legitimate rights &amp; interests of our companies. https://t.co/qUYfmW1Vas,41,102,MFA_China
2022-11-28T12:56:27Z,"We welcome Sri Lankan Foreign Minister Ali Sabry’s remarks, which are a strong rebuttal to the groundless “Chinese debt trap” accusation. https://t.co/QBiIiztNpR",36,95,MFA_China
2022-11-28T12:55:24Z,China has made serious démarches to Canada regarding the China section of its Indo-Pacific Strategy which is filled with ideological bias. https://t.co/9wKAaN2POO,38,105,MFA_China
2022-11-28T12:51:48Z,"The German Foreign Minister needs to respect basic facts in her remarks.
https://t.co/DwOy4SxyqU",31,93,MFA_China
2022-11-25T09:41:31Z,Moves that deliberately disrupt the global industrial &amp; supply chains will receive no support. https://t.co/qL49JPcbTx,64,228,MFA_China
2022-11-25T09:30:45Z,Countries should not overstretch the concept of national security to wear down Chinese businesses. https://t.co/vJP0egIVPY,81,290,MFA_China
2022-11-24T08:12:11Z,People’s support is indispensable for a stable &amp; healthy China-US relationship. https://t.co/qIbkg0VxxY,54,174,MFA_China
2022-11-23T12:41:03Z,The Chinese side remains open to people-to-people &amp; cultural exchange and cooperation with the ROK. https://t.co/MXXG6xB7c4,126,562,MFA_China
