created_at,full_text,retweet_count,favorite_count,screen_name
2022-12-27T14:00:30Z,Traffic at evening rush hour around CBD in #Beijing today. https://t.co/ESGXzEjcZH,46,309,SpokespersonCHN
2022-12-27T13:47:09Z,Snapshots of cities across China these days. https://t.co/hj9sLiSRef,24,161,SpokespersonCHN
2022-12-27T13:19:17Z,"The government acted responsibly by strictly containing the virus to protect people’s lives. It's acting responsibly now by facilitating travel&amp;logistics. The key is to take a scientific look at the evolving situation, adapt to the changes, and make the tough yet right decision.",18,99,SpokespersonCHN
2022-12-27T13:19:16Z,Travel and logistics will become smoother. Life and work will return to normal at a faster pace. Economic vitality will be freed up immensely.,13,103,SpokespersonCHN
2022-12-27T13:19:15Z,"With Omicron less likely to cause hospitalization and death, China is refining its COVID policy to better coordinate COVID response with economic and social development, paving the way for economic rebound.",41,282,SpokespersonCHN
2022-12-27T13:07:14Z,"6⃣️China will resume outbound tourism for Chinese citizens in an orderly fashion, starting with a pilot scheme.",26,166,SpokespersonCHN
2022-12-27T13:07:09Z,5⃣️China will adjust the cargo-only policy at ports of entry and gradually resume entry and exit of passengers by land and water and provide greater convenience for Chinese and foreign crew change in China.,14,83,SpokespersonCHN
2022-12-27T13:06:47Z,"4⃣️China will further refine arrangements for foreign nationals’ entry into China for such purposes as resumption of work, business, education, visiting relatives and family reunion and provide corresponding visa facilitation.",15,106,SpokespersonCHN
2022-12-27T13:06:33Z,3⃣️Passenger capacity limits on international flights will be removed with phased increases in the number of flights and refined distribution of flight routes. Airlines need to keep proper prevention measures in place on board including mandatory mask-wearing for passengers.,16,95,SpokespersonCHN
2022-12-27T13:06:20Z,2⃣️Nucleic acid tests will no longer be conducted on inbound travelers upon arrival. Those with no issues to report in their health declaration who have been given regular customs inspection and quarantine clearance can enter China without being subject to quarantine.,16,83,SpokespersonCHN
2022-12-27T13:06:06Z,1⃣️Inbound travelers need to show a negative nucleic acid test taken within 48 hours prior to departure. The test result will need to be noted in the customs health declaration form. Inbound travelers no longer need to apply for a health code from Chinese embassies/consulates.,16,75,SpokespersonCHN
2022-12-27T13:06:05Z,"Starting from Jan. 8, provisional measures on cross-border travel following the latest decision to manage COVID-19 with measures against Class-B infectious diseases:",20,103,SpokespersonCHN
2022-12-27T09:01:11Z,"Looking at the world as a community with a shared future naturally leads to a path of reform, opening up, and win-win cooperation &amp; the path of peaceful development. https://t.co/THh9Za4v9y",28,176,SpokespersonCHN
2022-12-27T08:01:00Z,Year 2022 in retrospect. https://t.co/HdSUavfQv4,58,294,SpokespersonCHN
2022-12-26T11:31:30Z,"Reviewing China’s diplomatic work in 2022, SC &amp; FM Wang Yi: China promotes solidarity and cooperation with other developing countries. https://t.co/Eajokh4pnr",106,511,SpokespersonCHN
2022-12-26T11:22:00Z,"Reviewing China’s diplomatic work in 2022, SC &amp; FM Wang Yi: China to break new ground in major-country diplomacy with Chinese characteristics. https://t.co/gu6v4LkL87",61,282,SpokespersonCHN
2022-12-26T11:09:47Z,"Reviewing China’s diplomatic work in 2022, SC &amp; FM Wang Yi: Head-of-state diplomacy has been immensely successful with one significant event after another and has set the pace for China's overall diplomatic work. https://t.co/Lo6aZD3AGB",57,287,SpokespersonCHN
2022-12-25T11:01:54Z,"Ready, go! On a #skating rink, a young learner is set free by the coach and mimics ""an eaglet unfurling its wings"". This is one of the legacies of #Beijing2022 Winter Olympics -- Chinese people in ever larger numbers are taking on winter sports. https://t.co/iWsU57rBhK",73,524,SpokespersonCHN
2022-12-25T10:20:30Z,Hustle-and-bustle returns to Beijing🌇 https://t.co/O6hgYN3dHt,311,2649,SpokespersonCHN
2022-12-25T09:52:47Z,"POURSUIVRE UNE VISION MONDIALE ET ALLER VAILLAMMENT DE L’AVANT POUR ÉCRIRE UN OUVEAU CHAPITRE GLORIEUX DE LA DIPLOMATIE DE GRAND PAYS AUX COULEURS CHINOISES
https://t.co/BW2fsLrlbx",45,335,SpokespersonCHN
