created_at,full_text,retweet_count,favorite_count,screen_name
2022-12-27T13:03:57Z,@Fangzi_House 坚持住。👍🏻,0,8,zhang_heqing
2022-12-27T12:38:47Z,"Giant panda Lin Hui's life at Thailand's Chiang Mai Zoo
 https://t.co/QIHn5JsoiB https://t.co/Xyhr5p30FI",2,13,zhang_heqing
2022-12-27T12:38:30Z,"Travel time between Beijing, Shijiazhuang through high-speed railway cut to one hour
 https://t.co/Qe3Um3aEkl https://t.co/KgSAUCJMnw",3,13,zhang_heqing
2022-12-27T12:37:45Z,"Spectacular rime scenery of Jinnao Mountain in SE China’s Fujian
 https://t.co/hepHGswpjR https://t.co/OWT4SMzGd7",1,6,zhang_heqing
2022-12-27T12:37:32Z,"Ice and snow festival opens in China's Arxan
 https://t.co/vEsLnI3vo2 https://t.co/WtQ9mUsyQc",1,9,zhang_heqing
2022-12-27T12:37:17Z,"China's tourism market recovering from COVID-19
 https://t.co/kBV55tMcyH https://t.co/hMhU12Oisy",3,12,zhang_heqing
2022-12-27T12:36:40Z,"China's major sports titles in numbers in 2022
 https://t.co/Egmeb2UObT https://t.co/9jMTBFYoVH",2,6,zhang_heqing
2022-12-27T12:36:29Z,"Commentary | U.S. must stop moving further down wrong path of manipulating Taiwan question
 https://t.co/uGiZznflid https://t.co/tXshNoh9IU",3,9,zhang_heqing
2022-12-27T12:36:07Z,"Arab youths realize dreams through people-to-people exchanges between China, Arab countries
 https://t.co/ZE57SAyPnn https://t.co/tHGS8bxnXY",2,11,zhang_heqing
2022-12-26T14:26:25Z,"Beautiful China. #CCCPAK 
#AmazingChina https://t.co/yS69Ke3S34",42,188,zhang_heqing
2022-12-26T14:20:28Z,Fireworks. https://t.co/D4ZnFgrsGc,142,958,zhang_heqing
2022-12-26T14:06:25Z,台湾是中国的台湾。任何人不要低估中国军队坚如磐石的决心。 https://t.co/aRRF935HJ9,118,662,zhang_heqing
2022-12-26T14:03:47Z,这碗陕北高原的老舅，上头。 https://t.co/6IULVdWDux,21,117,zhang_heqing
2022-12-26T13:37:47Z,"The ice and snow world in #Kanas, #Xinjiang, #China, does it look like a fairy land? #CCCPAK #AmazingChina https://t.co/rsTaIODasU",13,70,zhang_heqing
2022-12-26T12:51:30Z,"今年最大规模！台防务部门：解放军71架战机7艘军舰抵近台湾#台海时刻 #军演 
来源:汉中日报（编辑：王玉恒） https://t.co/Dxa61tYLbg",21,135,zhang_heqing
2022-12-26T12:46:59Z,今天，一代伟人毛泽东诞辰129周年。人民永远怀念您！ https://t.co/sdTxJUDWm7,171,1378,zhang_heqing
2022-12-26T12:42:54Z,"美给乌提供“爱国者”防空导弹系统 普京：100%给它摧毁了。
来源: ＃参考消息 https://t.co/oYNfuJ5AX3",29,133,zhang_heqing
2022-12-26T11:56:49Z,Working smarter not harder😂 https://t.co/DW4zL8vY0G,35,239,zhang_heqing
2022-12-26T11:56:04Z,GT survey: More than 60% of Chinese optimistic of future international environment despite US containment strategy. @globaltimesnews https://t.co/UZnSog3jsk,11,31,zhang_heqing
2022-12-26T10:42:51Z,@SpokespersonCHN Try to figure out if I can find me in the crowds. 😃 I have been traveling here and there in Beijing over the past couple of days.,2,31,zhang_heqing
