created_at,full_text,retweet_count,favorite_count
2022-12-09T13:56:47Z,"What exactly does the US want from Asia?
https://t.co/fTQ8CDK8iZ",50,278
2022-12-08T13:59:04Z,"What does COVID-19 origins inquiry mean for U.S. scientists?
https://t.co/CPG6B7a9ym",86,504
2022-12-07T13:00:20Z,"When a friend in need becomes a friend in greed – How US stabs its European allies in the back
https://t.co/t8zNSl3LIm",213,1018
2022-12-06T13:07:27Z,"US politics vanishing into entertainment
https://t.co/hqcO7Mn8FW",70,451
2022-12-05T13:56:28Z,"Will the trees again give the woodsman a shaft for his axe?
https://t.co/wMaPuk4Ii6",65,471
2022-12-04T13:27:35Z,"US social media, or the Ministry of Truth?
https://t.co/3nqNSIpVgu",215,1130
2022-12-03T13:54:00Z,"U.S. chip ban on China a dangerous game for all
https://t.co/zrdJaiTW0D",93,493
2022-11-27T01:54:14Z,"A panda performs ""flying yoga"" at Guangzhou Zoo. https://t.co/rrLxRVteEq",309,2499
2022-11-27T01:53:59Z,Chip-war policy is hurting the US firms more than China. https://t.co/gzMd8fCckK,160,742
2022-11-27T01:53:16Z,Orange Line metro in Lahore jointly built by China &amp; Pakistan has greatly improved transportation and brought significant jobs to the people. https://t.co/XCdfOcAW10,212,1143
2022-11-26T12:01:00Z,"Red leaves of Xiangshan, Beijing https://t.co/RhIbtrAhe0",461,4875
2022-11-24T14:09:15Z,China is increasingly seen as a positive force. https://t.co/LPz6fWBw1s,244,1413
2022-11-24T14:08:55Z,Forced labour in #Xinjiang? Is this forced machine labour? Mechanization of Xinjiang's cotton sector is expected to hit 95% this year. https://t.co/xm3rkHDDUP,165,756
2022-11-24T14:07:26Z,Decoupling is not an option. https://t.co/apiccW6gIG,123,463
2022-11-24T13:56:17Z,It is the US investors who will ultimately suffer from decoupling with China. https://t.co/aD7m4vBsyL,59,225
2022-11-24T13:55:42Z,"Sunrise in the Summer Palace, Beijing. https://t.co/GcE8GzJx0g",674,5701
2022-11-24T13:54:46Z,3D animators show how a 388-meter-high skyscraper in #Shenzhen was built in a single-take video. https://t.co/pbghjCFlhm,60,316
2022-11-24T13:53:40Z,"The construction of Lusail Stadium, the main stadium of the World Cup Qatar 2022, built by a Chinese company. https://t.co/bspTs6OpIk",101,429
2022-11-24T12:05:00Z,"Que le train du développement commun aille de l'avant à travers le brouillard de l'économie mondiale
https://t.co/emOavb3JHJ",56,190
2022-11-23T12:01:00Z,"What exactly does the US want from Asia?
https://t.co/fTQ8CDJAtr",74,309
2022-11-22T10:36:00Z,"What does #COVID19 origins inquiry mean for U.S. scientists?
https://t.co/CPG6B6S0ke",62,423
2022-11-21T12:35:00Z,"When a friend in need becomes a friend in greed – How US stabs its European allies in the back
https://t.co/t8zNSkLCue",327,1477
2022-11-15T12:14:12Z,"The dollar is smiling. The world is not amused. 
https://t.co/91S34jvKTQ",48,216
2022-11-14T12:58:10Z,"Russia-Ukraine crisis, a bonanza for U.S.
https://t.co/I1yRSBaZ2y",33,140
2022-11-13T11:52:17Z,"Why is the world's richest country starving its people?
https://t.co/Y9y0hcqvI6",147,577
2022-11-11T15:14:21Z,"The Border Is Not Only for Migrants, But Also for U.S. Party Politics
https://t.co/2nq436Lri6",42,154
2022-11-10T14:15:06Z,"Dear friends, many thanks for the blessings on my birthday. I wish you all every success in the career and every happiness in your life!",286,5793
2022-11-09T13:30:05Z,"Anti-Indigenous racism -- Canada's most persistent and pressing human rights issue
https://t.co/AoxwuILNAu",68,327
2022-11-08T11:17:38Z,"Democracy dies when money knocks on the door
https://t.co/tyr1UoCiQe",235,1159
2022-10-31T12:28:24Z,"CPEC, as BRI’s flagship program and landmark of China-Pakistan cooperation, has given a considerable boost to Pakistan’s economy &amp; living standards. https://t.co/3iWuKamtbC",213,1012
2022-10-31T12:28:06Z,Warm welcome to Prime Minister Shehbaz Sharif! We look forward to greater high-level strategic cooperation with Pakistan. https://t.co/b4ugBVEB86,126,615
2022-10-27T13:10:28Z,"In the first 3 quarters of 2022, China's GDP increased by 3% y-on-y, totaling 87 trillion yuan. https://t.co/GBVQedOB6k",188,1124
2022-10-27T13:10:10Z,"Evening in #Beijing
CR: Sharing Travel https://t.co/xyHfsd7K0a",262,2619
2022-10-27T13:09:50Z,"Autumn in the Forbidden City, #Beijing https://t.co/i2Hi0zslgd",244,1763
2022-10-26T12:50:00Z,China in a decade.#ChinaDecade https://t.co/vvnnbWvrKd,340,1562
2022-10-26T12:37:00Z,"The cotton harvest season has started in #Xinjiang, the largest cotton-growing area in #China. https://t.co/mpJAW61Fl0",233,1385
2022-10-26T12:30:00Z,"""Lucid waters and lush mountains are invaluable assets."" China continues to deliver on its green commitment. https://t.co/prH5X9BRyz",117,420
2022-10-26T12:01:00Z,China is one of the safest countries in the world. https://t.co/94sOdFhrwy,2393,13554
2022-10-26T01:40:00Z,The Fifth China International Import Expo (#CIIE) is coming! https://t.co/aQjFAcvPrq,209,1549
