title,author,date_pub,full_text
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","On March 1, the Provisions on the Administration of Internet Information Service Algorithmic Recommendations, jointly issued by the Cyberspace Administration of China and three other departments, formally went into effect. Requirements such as the one to “provide users with a convenient option to turn off algorithmic recommendation services” are tailored to meet the actual needs of users and set a global regulatory precedent with regard to specific algorithms. They have therefore received widespread attention. This article analyzes the ins and outs of the relevant regulations and possible future developments."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","That mobile phone apps can “read your mind” has long ceased to be a secret. Many people have experienced the following: having just mentioned in a chat with a friend that they wanted to buy something, moments later they’ll see that very product appear in an app; or they browse a few news stories on a certain topic, and suddenly some app is filled with responses on that same issue."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","Many internet users have long been unhappy with, or even a bit scared of, this kind of situation."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","More recently, a switch has “finally appeared after a chorus of requests.” On the “Settings” page of many frequently used apps you should now be able to find something like a “turn off personalized recommendations” option."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022",The author found the relevant switch on “Zhihu” and “Taobao” and personally tested it out.
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022",Why are all the familiar apps quietly giving an option to turn off personalized recommendations? The reason is that the Provisions on the Administration of Internet Information Service Algorithmic Recommendations (hereinafter “Provisions”) announced on January 4 contain the following article:
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","Article 17 Algorithmic recommendation service providers shall provide users with an option of not having their personal characteristics targeted, or provide users with a convenient option to turn off algorithmic recommendation services. If a user chooses to turn off an algorithmic recommendation service, the algorithmic recommendation service provider shall immediately stop providing such a service."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","These Provisions, which were jointly issued by the Cyberspace Administration of China, the Ministry of Industry and Information Technology, the Ministry of Public Security, and the State Administration for Market Regulation, will officially go into effect on March 1."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","To the best of the author’s knowledge, this is the first law in the world to impose specific constraints on algorithmic recommendation-related conduct."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022",Europe’s Digital Markets Act (DMA) also contains a stipulation on “not permit[ting] the exploitation of data advantages to show users targeted advertisements without obtaining explicit permission from users.” But the DMA was only passed by the European Parliament’s Internal Market Committee last November and negotiations with European governments have yet to begin. There is a way to go before it becomes law.
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","In China, however, the major internet enterprises have already taken action to implement the Provisions."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022",Potential Hazards of Algorithmic Recommendations
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","In his 2006 book Infotopia, Harvard University Professor Cass Sunstein introduced the notion of a kind of “information cocoon” in human society. He argued that in information dissemination, people’s own demands are not comprehensive, and instead they will just pay attention to selecting the information that they want and that can make them happy. Over time, the information they come into contact with becomes increasingly restricted. They become tightly wrapped up as though by the silk spat out by a silkworm, and ultimately shut themselves up inside an “information cocoon,” thus losing opportunities to encounter and understand different viewpoints."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","Algorithmic recommendation may actually reinforce the information cocoon effect: the more interested you are in something, or the more inclined you are to a certain viewpoint, the more likely an algorithm is to recommend materials concerning that thing or materials supporting that viewpoint so that you are constantly reinforcing your own interests and inclinations. Moreover, algorithmic recommendations may also be used to purposefully guide populations and thereby influence public thinking and even influence political decisions. U.S. mathematician Cathy O’Neil thus refers to recommendation algorithms as “weapons of math destruction” in her book of the same name. These “weapons of mass destruction” have had a real-world impact many times in the past few years."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","In 2016, consultants from the main social-networking platforms such as Facebook, Google, and Twitter worked together in a San Antonio office as part of Project Alamo, which was supporting Trump’s re-election campaign. They put roughly 90 million U.S. dollars into digital ads. Project Alamo made use of subtle algorithmic recommendation techniques to influence voters: when an internet user was recognized as a “pivotal voter” (e.g., a swing voter in a swing county of a swing state), the social networks would direct content of a leading nature to such a voter and in this way influence the election outcome at relatively little cost."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","A few months before the U.S. general election, Cambridge Analytica in the United Kingdom used Facebook user data to manipulate the U.K.’s Brexit referendum, with the result that the pro-Brexit camp unexpectedly won—exactly as Donald Trump was unexpectedly elected."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","Prior to their official use in influencing U.K. and U.S. politics, similar methods had already been tested in many developing countries. In 2010, in Trinidad and Tobago, a “Do So” movement originating from Facebook led a large number of voters of African descent to refuse to vote, thereby aiding the ethnic Indian-dominated United National Congress in the general election. In 2015, some Nigerian users saw short bloody and violent anti-Muslim videos on Facebook. Their purpose was to frighten voters and manipulate the election. Once algorithmic recommendations are abused, they truly can become a “weapon of mass destruction.”"
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","Even if not intentionally abused, algorithmic recommendations may implicitly contain social bias and discrimination. In October last year, Twitter’s recommendation algorithms were found to have “unintentionally amplified the dissemination of right-wing group content”: Tweets posted by elected right-wing officials were algorithmically amplified more than those of their left-wing counterparts; the influence of right-wing media was greater than that of left-wing media."
"Algorithmic Recommendations Can Finally Be Turned Off, China’s Provisions are a World First","Guancha , Xiong Jie ","Mar 2, 2022","Earlier still, the search algorithm of the professional networking website LinkedIn (which can be seen as a form of recommendation algorithm: “most suitable” content is recommended based on search keywords) was found to entail sex discrimination: male job seekers would be placed in higher positions. Google’s advertising platform AdSense was discovered to be racially biased. If a search keyword seemed like a black person’s name, AdSense would be more likely to recommend advertisements relating to criminal record checks."
