title,author,date_pub,full_text
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022","“Peaceful reunification and One Country, Two Systems” are the fundamental principles of the mainland’s policy towards Taiwan. General Secretary Xi Jinping proposed exploring a “One Country, Two Systems” formula for Taiwan (“一国两制”台湾方案) in his speech on the 40th anniversary of the publication of the Message to Compatriots in Taiwan. According to the conception of the mainland’s “One Country, Two Systems” principle, Taiwan will enjoy a high degree of autonomy after the peaceful reunification of the two sides of the Strait. 1 Judging from the practice of the “One Country, Two Systems” policy in Hong Kong, the institutional design centered around this high degree of autonomy is undoubtedly a top priority of the Taiwan formula. In order to construct a complete and sound institutional design, a fundamental question that must be answered is this: what is the nature of the autonomy of post-peaceful-reunification Taiwan’s high degree of autonomy? The different answers to this question will directly affect the power relations between the central government and Taiwan after the peaceful reunification of the two sides of the Strait, and directly affect the scope and extent to which the central government can govern Taiwan."
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022",I.       Two Different Theories
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022","The specific form of implementation of the “One Country, Two Systems” policy for Taiwan after the peaceful reunification of the two sides of the Strait is a major focus and hot topic of current academic research, and many ideas have been put forward. Some scholars have formed two different viewpoints in their discussions of the nature of the autonomy enjoyed by Taiwan after peaceful reunification: delegated autonomy (授权性自治权说) and shared-power autonomy (分权性自治权说) [translator’s note: the latter can also be translated as ‘separation-of-powers autonomy’]."
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022",(i)        Delegated Autonomy Theory
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022","Mainland scholars seldom explicitly state that the autonomy enjoyed by Taiwan after peaceful reunification will be of the nature of delegated autonomy, but it can be inferred from the relevant discussions that a group of scholars holds the view that Taiwan will enjoy delegated autonomy after peaceful reunification. Most of the institutional design and thinking on the “One Country, Two Systems” model for Taiwan do not deviate from the prototype of the Hong Kong and Macao model, except in that Taiwan enjoys a higher degree of autonomy or administrative status. 2 For example, Yu Keli pointed out that “our policy to solve the Taiwan issue can be more relaxed than the policy to resolve the Hong Kong issue, and the Taiwan model of ‘One Country, Two Systems’ should be better than today’s Hong Kong model.” 3 Su Ge pointed out that “after the peaceful reunification of Taiwan and the mainland of the motherland, Taiwan compatriots will not only enjoy all the political rights and interests provided by the Hong Kong and Macao model, but Taiwanese people can also come to the mainland of the motherland to assume leadership positions in national political institutions.” 4 Wang Weixing also pointed out that “under the conditions of ‘One Country, Two Systems,’ although Taiwan is essentially a local government in a unitary state structure, its authority will be greater than that of the provinces on the mainland of the motherland, as well as the authority of the Hong Kong and Macao special administrative regions.” 5 According to this reasoning, the specific form of implementation of “One Country, Two Systems” in Taiwan is an upgraded or expanded version of the Hong Kong and Macao model, which is a “quantitative” rather than a “qualitative” difference. The autonomy enjoyed by Taiwan, like the autonomy of Hong Kong and Macao, is still a delegated autonomy."
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022","Li Jiaquan previously borrowed from the “grand administrative region” structure implemented in the early days of the People’s Republic of China, whose power was second only to the central government and higher than the provinces and cities under its jurisdiction, and recommended setting up a grand administrative region in Taiwan. 6 This “grand administrative region” concept highlights that after peaceful reunification, Taiwan’s administrative status would be higher than that of the mainland’s ordinary administrative regions and the Hong Kong and Macao special administrative regions. However, this conception positions Taiwan within the structural form of a unitary system. 7 In other words, the autonomy enjoyed by Taiwan after peaceful reunification would be a delegated autonomy."
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022","However, Ni Yongjie explicitly staked out a position for delegated autonomy. He holds that: “its power is lower than that of the central government, but in some respects it can be higher than the governments of the Hong Kong and Macao SARs. It has some special powers, and even some of the powers of the central government, but its special powers are delegated to it by the central government. … The central government has the highest sovereignty and jurisdiction over the whole of China, while the Taiwan authorities’ jurisdiction over Taiwan, Penghu, Kinmen, Matsu, and their affiliated islands is delegated by the central government. This is a temporary and limited jurisdiction and must not endanger national sovereignty, security, and development interests.” 8"
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022",(ii)     Shared-Power Autonomy Theory
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022","Wang Liping, a professor at Peking University, had early on put forward a different view on the delegated autonomy to be enjoyed by post-reunification Taiwan. She pointed out that: “the two systems in ‘One Country, Two Systems’ can also refer to a unitary system and a federal system. As long as there is the practical and theoretical possibility, the principles of ‘One Country, Two Systems’ and ‘one China’ do not exclude the realization of national unity through federalism. … In their research on ‘One Country, Two Systems,’ some scholars are often eager to draw a clear dividing line between ‘One Country, Two Systems’ and federalism, and even hastily dismiss federalism. On the one hand, this reflects a misunderstanding of federalism, and on the other hand, it stems from rigid thinking on the form of state structures.” 9 According to Wang Liping’s point of view, the possibility that post-reunification Taiwan could enjoy shared-power autonomy cannot be ruled out."
An Attempt to Discuss the Nature of Taiwan’s High Degree of Autonomy After Peaceful Reunification: Based on the Practical Experience of Hong Kong,"Taiwan Studies , Wu Libin ","Feb 20, 2022","Professor Wang Yingjin of Renmin University of China may have been the first scholar to explicitly propose the idea of shared-power autonomy. He proposed: “acknowledge or recognize that the power that Taiwan is currently holding and exercising is original power (本源性权力) (that is, the right to exercise sovereignty) inherent in its 23 million people. On this basis, through negotiation between the two sides of the Taiwan Strait, the Taiwan side hands over to the central government that part of its right to exercise sovereignty which can reflect national unity (such as diplomatic power). The remaining part that has not been handed over will be retained by the Taiwan side as ‘residual power.’ In other words, the ‘sharing of powers’ is implemented between the central government and Taiwan at the level of original power, rather than the ‘delegation of power’ by the central government to Taiwan at the level of derivative power. That is, through some legal method, letting Taiwan enjoy shared-power autonomy rather than the delegated autonomy enjoyed by Hong Kong and Macao. After the principle of federal separation of powers is implemented between the central government and the Taiwan Special Administrative Region, the relationship between the central government and the Taiwan Special Administrative Region will no longer be a central-local relationship in the general sense, nor a relationship between a center and another center in the sense of the federation as a whole and its member units, but a relationship between a center and a ‘quasi-center’.” 10"
