title,author,date_pub,full_text
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022","The new German “traffic light” government has been in power for half a year so far. Due to differences in the philosophies of the three major political parties in the coalition and the changing international situation, especially the intensifying conflict between Russia and Ukraine, Germany’s attitude toward China has become more confusing and ambiguous under the dual influence of domestic and foreign affairs. This deeply reflects the major changes that are appearing in perceptions of China within German mainstream society. Among German political, business, and academic circles, the mainstream media, and most of the general public, perceptions of China are different compared with the period when Angela Merkel was in power, in both breadth and depth. This will undoubtedly have an important impact on the German government’s repositioning of relations with China. Considering Germany’s central position in the EU, the readjustment of Sino-German relations will also directly affect the direction of China-EU relations. A rational and comprehensive analysis should be made of this, to both face the challenges it brings and see the inherent stability, and thereby avoid falling into the cognitive traps of pessimism and fatalism. Starting from the changes in German mainstream society’s perceptions of China in recent years, this paper seeks to analyze the multi-level reasons behind them and explore the possible positive factors, in order to help understand the German government’s policy adjustment toward China and the overall situation of China-EU relations."
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022",I.
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022","Since Angela Merkel took office in 2005, Germany has mainly regarded China as a partner and a competitor, especially after the short-lived “values diplomacy” from 2005 to 2009, and in its relations with China it has leaned toward its national interests. With China’s further rise, however, and especially since 2017, Germany’s policy toward China has begun to shift from national interests to the values end of the spectrum. With the release of the European Commission’s EU-China: A strategic outlook on March 12, 2019, Germany’s mainstream perception of China shifted from the original two-dimensional role to a “three-fold” role, that is, China is both a partner and a competitor of Germany, but also an institutional adversary.1 Specifically, Germany must cooperate with China in areas where cooperation is possible, compete with China for global resources in appropriate contexts, and be able to deal with conflict with China when necessary.2"
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022","First, China is seen as a partner that cannot be decoupled from. According to German political scientist Hanns Maull, China’s role as a partner for Germany can be understood in two ways. First, Germany understands very well that China is an indispensable economic and trade partner. This can be seen from the ever-increasing interdependence in the economic and trade relationship between China and Germany in recent years. On one hand, the German economy is dependent on China. For example, the development of Germany’s electronics and chemical industries cannot do without rare earth metals from China.3 At the same time, China is Germany’s largest market for car sales: About 40 percent of German cars are sold to China. On the other hand, China’s exports to Germany are booming, with emerging electronics, communication technology, and consumer goods enterprises getting huge orders from Germany,4 while Chinese enterprises have long depended on Germany for technology transfers. Since the outbreak of the COVID-19 epidemic, Sino-German economic cooperation has exhibited more pronounced interdependence. For example, Germany has purchased a large number of medical products from China, indicating that Germany’s dependence on the Chinese market has increased rather than decreased.5 The long-term win-win nature of Sino-German economic cooperation has solidified Germany’s perception of China as an indispensable economic partner. Second, Germany sees China as an important partner in global governance. Due to the importance of China today in the international community and a broad consensus on the “community of human destiny” in the international community, China has become an important partner with Germany in addressing important global issues such as climate change, transnational migration, nuclear weapons proliferation, artificial intelligence, poverty reduction, and public health. Germans are well aware that these important global issues cannot be solved without China. However, in terms of the perception of China as a mutually beneficial and important economic and trade partner for Germany, Germans are increasingly expressing a cautious and restrained attitude. This is because they are concerned that win-win outcomes for the two countries’ enterprises and economic policies could lead to confrontations over values outside the economic sphere. For example, Germans believe that every act of Sino-German economic cooperation advances the implementation of China’s economic strategy of military-civil fusion.6 On this point, Rolf Langhammer, a researcher at the Kiel Institute for the World Economy, has warned in a survey study that German enterprises investing in China should not withdraw rashly from the Chinese market because such enterprises are already highly integrated into Chinese economic activity.7"
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022","Second, China is increasingly seen as a strong economic competitor. Thomas Heck, a China expert at PricewaterhouseCoopers, says that in addition to the well-known artificial intelligence and Internet of Things industries, China as an economic rival poses an economic threat to Germany in two other areas: electric vehicles and, especially, machinery manufacturing. Although the Chinese machinery manufacturing industry does not have superiority in core technology, it already constitutes a strong competitor to German machinery manufacturing when quality and price factors are taken together.8 In addition, Chinese investors began to acquire a large number of German enterprises in 2016, and Germans increasingly feel that China is an economic rival that should not be underestimated. The most famous such case is the acquisition of German robotics giant Kuka Group by China’s Midea Group. Although the acquisition of German companies by Chinese enterprises is good for German jobs and the domestic market, Germans believe that in the long run there is a risk of losing core technology, which would have a negative impact on the competitiveness and innovation of German industry. Direct investments by Chinese enterprises in Germany have met with strenuous criticism from the German public. In 2018, Germany amended the Foreign Trade Ordinance to further strengthen security reviews of M&A by enterprises from non-EU countries. In December 2020, the German government ordered a halt to the acquisition of German radio technology company IMST GmbH by China Aerospace Science & Industry Corporation Limited (CASIC), arguing that it would threaten Germany’s future security and technological autonomy in mobile communications.9 At the same time, Germans have been reluctant to acknowledge the fact that things are not what they once were: Germany used to sell high-speed rail to China, but now China sells its own high-speed rail all over the world. They have even called on the federal government to restrict Chinese direct investment in Germany in order to prevent the loss of core German high-tech knowhow, citing the high degree of similarity between Chinese high-speed rail technology and related designs and Germany’s Intercity Express (ICE) trains.10 However, a report in the Der Volkswirt magazine on March 22, 2022 shows that despite the impact of the pandemic, Chinese enterprises have invested in or acquired up to 35 enterprises in Germany in 2022. Despite the fact that Chinese direct investment in Germany is something of a hot potato, they do not want Germany to lose its competitive advantage because of the loss of core technology, and view China as a “thorn in their side.” Nonetheless, they must acknowledge China’s strength as a powerful competitor.11"
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022","Third, China has been elevated from a competitor to an institutional adversary. In the eyes of Germans, institutional adversaries are those who endorse other models of government, and they believe that China’s party system goes against the “universal values” of freedom, democracy, rule of law, and human rights preached by the West. When it comes to defending Western-centered “universal values,” Germans regard China to be an institutional adversary. Compared to the first two roles, the new government is putting greater emphasis on China’s role as Germany’s institutional adversary, more so than it did under Merkel. The Western world, including Germany, has always believed that China’s political system could be changed through improved economic relations, that is, Germany’s “change through trade” approach to China has been there all along.12 However, as China’s economic power strengthens, the growing tendency of Germans to believe that China plays the role of Germany’s “institutional adversary” is becoming clearer. In the eyes of Germans, China’s economic system is a socialist market economy with goals that are the complete opposite of those pursued by Germany’s social welfare market economy,13 and its political system emphasizes the centrality of the leadership of the Chinese Communist Party. In fact, it is institutional advantages that are driving the realization of the Chinese dream of the great rejuvenation of the Chinese nation, and China’s success in the fight against the COVID-19 epidemic has further highlighted these institutional advantages and attracted global attention. This has reinforced the German perception of China as a threat to Western democracy and a powerful “institutional adversary.”14 However, within this perception, different voices have emerged in German politics. For example, Rainer Stinner, a former federal councilor and parliamentary caucus foreign policy spokesman for Germany’s Free Democratic Party (FDP), stated frankly in a report that huge historical and cultural differences have led to differences in institutions and values between the West and China. Although he favors the West in the institutional competition between the West and China, he said that it would be inappropriate if Germany were to adhere to the Western view of human rights in defending its own interests.15"
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022",II.
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022","The “three-fold” positioning reflects the current basic perceptions of the German political and business communities, intellectual elites, and the public towards China, and within it one can see Germany’s wavering attitude towards China. It also reflects the truly complex psychology of German society vis-a-vis China. There are many complex factors behind this contradictory, confusing, complicated, and tense relationship, which can be said to be due to changes and developments in Germany and China themselves, as well as the result of the influence of international power games, while traditional German thinking also plays an important role."
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022","1. Changes in Germany’s domestic political ecology. The three-party “traffic light” coalition, which opened a new era in the politics of the Federal Republic of Germany since its founding, is the result of a game involving the diversified interests of the people and compromises in the political demands of political parties. It reflects the increasing instability and uncertainty of Germany’s internal politics and the fragmentation of the German political party landscape.16 Internal politics is a continuation of foreign affairs, and the division of domestic political forces has also helped bring about the changes in Germany’s perceptions of China and even its policy toward China. Judging from the political positions of the three major ruling parties in Germany, wherein the Social Democratic Party (SPD) is a center-left party, the Green Party (“the Greens”) is a left-wing party, and the FDP is a center-right party, the tension formed by the differences and similarities in the political positions of the three parties determines the multiple tensions among various influencing factors in the process of change in Germany’s perceptions of China. Firstly, the new government mentioned China 14 times in the coalition agreement17 and put forward its own ideas on Taiwan-related issues based on its values. For the first time, it explicitly called for further strengthening Germany’s “China competence.” Secondly, it further emphasizes Germany’s “three-fold” role positioning of China. For example, the Greens and the FDP have a strong ideological orientation, preferring to make a lot of noise about China’s human rights issues, opposing the signing of the EU-China Comprehensive Agreement on Investment. They even challenge the existing policy bottom line on the Taiwan issue occasionally, advocating greater participation of Taiwan in international affairs, and thus prefer to see China as a competitor and institutional adversary. In contrast, the SPD wants to maintain the continuity of its policy tone towards China. It wants to strengthen defenses against the growth of Chinese power, but also refuses to choose confrontation with China or economic decoupling. It is willing to treat China as a partner, and put that aspect at the forefront of the “three-fold” role.18 Thus, the SPD’s more moderate and pragmatic approach to China is forms a counterbalance to the relatively hard-line, values-oriented approach of the Greens and the FDP. The political positions within Germany’s ruling party coalition, which show clear-cut barriers in their attitudes toward China, have served to shape Germany’s domestic political environment and the environment for social discourse on China, and have brought greater diversification and complexity to perceptions of China within mainstream German society. Moreover, in today’s increasingly polarized and populist environment in the Western world, it is easier for German political elites to exploit and appeal to public sentiment to further their policy aims. In particular, the several waves in Germany of the COVID-19 epidemic that has ravaged the world since 2020 have accelerated political strife and polarization within Germany. Under such circumstances, Germany’s political elite have skillfully exploited these political conflicts and directed the accumulated grievances arising from them toward Germany’s international strategic adversaries, China first and foremost. This has also accelerated the shift in perceptions of China within Germany, from political elites to the public at large."
Analysis of Changes in Germany’s Perceptions of China,"Contemporary International Relations , Wang Shuo , Zhang Xiaoling ","May 20, 2022","2. Difficulty adapting to China’s rapid rise. China used to be a partner that could be “helped,” but now with China’s development, Germans increasingly feel the relationship with China to be “unequal” and “unfamiliar,” and mainstream society has even started having more discussion about the “China threat theory.” Firstly, China’s creation of the China-Central and Eastern Europe (CEE) cooperation mechanism is seen by Germans as having generated intra-European tensions. German critics of this cooperation are concerned that growing dependence of CEE countries on China will create potential conflicts within the EU, affecting the EU’s core position. Germany is excluded from this cooperation mechanism, so in the eyes of Germans it is Chinese interference in the geopolitical space of European countries, and a deliberate attempt to undermine, divide, and dismantle the EU. Secondly, the Belt and Road Initiative construction proposed by China in 2013 is seen by Germany as a manifestation of China’s economic expansion. Huawei in particular is suspected by Germany of being a “Chinese spy” due to its technological superiority, and it was believed that Huawei would try to open a back door for so-called espionage and sabotage activities through its telecommunication products. This caused the German federal government to be torn constantly between the economic interests of infrastructure expansion on one hand and the security interests of core infrastructure and data protection on the other, and ultimately unable to make a rational decision.19 The direct result was that Huawei was ultimately unable to participate in the construction of Germany’s 5G network in 2020. As a result, German attitudes toward China shifted from “helpful” to “guarded,” and perceptions tended toward viewing China as an economic competitor. When emotional fear and defensiveness brought on by the rise of another country escalate to ideological hostility and confrontation, the country in question will be criticized as an ideological opponent, especially when the rising country, in order to build its own good international image, participates more actively in global governance, expresses its ideas on maintaining world peace, and shares the international public goods brought by its rise.20 For example, in 2021, China took the lead in global public health governance by cooperating with developing countries on vaccine production, providing nearly 2 billion doses of vaccines to more than 120 countries and international organizations, making it the largest foreign provider of vaccines.21 However, China’s proactive approach to global vaccine cooperation has been twisted by the German media into “vaccine diplomacy,” in which China uses vaccines to play the role of “savior of the world” in the international community.22 In this way, China’s rise has accelerated the evolution of German perceptions of China, from an “economic competitor” to a “values adversary.”"
