title,author,date_pub,full_text
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022",Distinguished guests and friends:
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022",Hello everyone!
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022",It gives me great pleasure to attend the annual Macro Situation Annual Forum held by the Chongyang Institute for Financial Studies of the Renmin University of China and exchange views with you on the international situation and diplomatic work.
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022","The year 2021, which just passed, was a year full of crises and challenges. The COVID-19 epidemic has extended and resurged, changes unseen in a century have accelerated, peace and development have encountered “headwinds,” and great power relations, global governance, and regional hotspots have continued to be tense and turbulent. The political, economic, social, epidemic, and foreign relations of many countries have varying degrees of crises, and the whole world can be described as intertwined chaos and abounding disorder."
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022","Last year began with the “Great Occupation” of the U.S. Capitol Hill: Trump supporters violently stormed the U.S. Capitol, plunging American-style democracy and freedom into chaos. Then the whole world witnessed the “Great Defeat” of the U.S. military in Kabul: They left Afghanistan in turmoil and chaos, and the American-style “democratic transformation” failed again. At the end of the year and into the beginning of the new year, there was another “Great Loss of Control” of the epidemic in many countries: The number of newly confirmed cases per day in the United States peaked above 1.5 million, and the cumulative number of deaths reached 850,000, with major hospitals struggling to cope. The world economy is facing the most serious “Great Inflation” in 40 years: Prices in the United States, Europe, and other countries are “rising” everywhere, supply chains are blocked and disrupted, and normal people are complaining."
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022","These instances of world chaos are not only natural disasters, but also man-made disasters. In particular, some countries are “chaotically seeking treatments” and “treating internal diseases with external measures.” This has made the problems worse and exacerbated crises. In the end, these countries simply put the blame on others, going so far as to provoke a “new cold war”. This has disturbed world peace, and various risks and hidden dangers have risen significantly."
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022","Where is the way forward? I think the fundamental solution lies in the promotion of building a community with a shared future for mankind as advocated by President Xi Jinping. This major concept clearly answers the question of the times: “What’s wrong with the world and what should we do?” It has become a bright banner under which China can lead the trend of the times and the progress of human civilization. In his speech at the Davos Forum yesterday, President Xi Jinping pointed out that, to promote the building of a community with a shared future for mankind, we must uphold dialog rather than confrontation, inclusion rather than exclusion, and oppose all forms of unilateralism and protectionism, and oppose all forms of hegemonism and power politics. This is a further enrichment and development of the concept of a community with a shared future for mankind and fully demonstrates President Xi Jinping’s intense responsibility for maintaining and promoting world peace and justice. The upcoming Beijing Winter Olympics will play the main theme of “Together to the Future” and will also compose a new movement for the building of a community with a shared future for mankind."
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022","Dear friends, 2021 was a year of milestone significance in the history of the party and the country. We solemnly celebrated the 100th anniversary of the founding of the Chinese Communist Party, achieved the first centennial objective, and started a new journey to build a modernized socialist country in an all-round way and to march toward the second centennial objective. China’s economic development and epidemic prevention and control maintain its leading position in the world. In the first three quarters of 2021, GDP increased by 9.8% year-on-year, and the annual growth rate reached 8.1%. In 2021, China had two distinctive identifiers, which were common prosperity and open development."
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022","We have established a well-off society in an all-round way, given a historic solution to the problem of absolute poverty, and embarked on the grand road of common prosperity. Over the past 40 years, China has lifted more than 800 million people out of poverty, contributed more than 70% of global poverty reduction, and achieved the poverty reduction goal of the United Nations 2030 Agenda for Sustainable Development 10 years ahead of schedule. A few months ago, a reporter from the UK magazine The Economist visited Malipo County, Yunnan Province, which is designated by the Ministry of Foreign Affairs as a region for assistance and support. The reporter published an article titled The confidence of China’s Communist Party is striking, reporting the story of Chinese diplomats who went to Malipo County to serve as deputy county magistrates and volunteer teachers and praising that “the Chinese Communist Party is serving a rising China” and “the concern of President Xi Jinping can be felt even in remote villages” [Translator’s note: These quotes are taken slightly out of context. The original article is more objective: “They want the masses to believe that, even in the remotest villages, their welfare is the concern of an all-knowing leader, Xi Jinping, served by officials striving to follow his stern but wise example.”] When he left his post at the end of last year, SCO Secretary-General Norov said excitedly that, in his three years in China he had the honor to witness the 70th anniversary of the founding of the People’s Republic of China and the 100th anniversary of the founding of the Communist Party of China. Having witnessed China’s poverty alleviation and anti-epidemic struggle, he was very moved, feeling admiration for and optimism about China from the bottom of his heart!"
Chinese Diplomacy Forges Bravely Ahead in a Chaotic and Intertwined World,"Ministry of Foreign Affairs , Le Yucheng ","Jan 18, 2022","We continue to push forward reforms, expand opening up, and share development opportunities with all other countries around the world. 2021 marked the 20th anniversary of China’s accession to the World Trade Organization (WTO). China’s opening up to the outside world is marching forward at a high level. In the first 11 months of 2021, China’s foreign trade increased by 22% year-on-year, and the scale of our annual foreign trade exceeded US$6 trillion. At last year’s Fourth China International Import Expo, nearly 3,000 companies from 127 countries and regions participated in the exhibition. The number of countries and companies exceeded the previous expo, and the value of intended transactions exceeded US$70 billion. 120,000 tins of Afghan pine nuts that had just arrived in China at that time were bought up in the “blink of an eye” during the live broadcast, and Russian manufacturers sold more than RMB4.6 million in chocolate and ice cream within seconds, once again proving the huge potential of the Chinese consumer market. China formally applied to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP), showing China’s resolute determination to expand opening up and promote regional economic cooperation. With the entry into force of the Regional Comprehensive Economic Partnership (RCEP) at the beginning of this year, China will open its door wider and wider, providing more opportunities for cooperation to the world."
