title,author,date_pub,full_text
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022",Summary:
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022","The outbreak of the conflict in Ukraine was sudden, but as to its root cause, it is the inevitable consequence of the complex security game between the United States, Russia, and Ukraine after the Cold War. The “gray rhino” of war has entered the field, and the order within the field will be an overlapping of destruction and reconstruction."
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022","After more than two years of havoc wrought by the COVID-19 pandemic, and following Sweden’s becoming the first country in the world to declare the end of the pandemic on February 9, many European countries have followed suit by lifting all pandemic restrictions. Just as humanity seemed to have just seen a glimmer of light in this fierce battle against COVID-19, another hot war came unexpectedly to the Eastern European hinterland. Early in the morning of February 24, Russian President Vladimir Putin made an emergency televised address announcing the decision to launch a special military operation in the Donbas region. This special military operation then quickly turned into a full-scale war in Ukraine. In the blink of an eye, a Cold War shroud once again loomed over the European continent, and people even wondered aloud whether World War III was coming."
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022","When there is an avalanche, no snowflake is innocent. The outbreak of the conflict in Ukraine was sudden, but as to its root cause, it is the inevitable consequence of the complex security game between the United States, Russia, and Ukraine after the Cold War. The “gray rhino” of war has entered the field, and the order within the field will be an overlapping of destruction and reconstruction."
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022",The conflict in Ukraine is in essence the result of U.S.-Russian strategic interaction
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022","In Mackinder’s [1904] geopolitical map, whoever controls the “heartland” of Eastern Europe will control the world. It was through its control of Eastern Europe that the former Soviet Union established a bipolar pattern to counterbalance the hegemonic United States. The collapse of the Soviet Union emptied the “heart” of the Eurasian organism, leaving a power vacuum at the center of the continent. The United States and Russia then started a struggle over this region, based on the establishment of their respective security borders, that has lasted thirty years. Russia needed a strategic buffer zone to reduce its security pressure from the west, while the United States incorporated the former Soviet sphere of influence into its own strategic space through successive eastern expansions of NATO, squeezing Russia’s strategic space step by step, and thus increasing Russia’s security anxiety."
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022","In The Grand Chessboard, Zbigniew Brzezinski talks about how Russia “is more likely to become a problem, unless America fosters a setting that helps to convince the Russians that the best choice for their country is an increasingly organic connection with a transatlantic Europe.” In 1993, then-Russian President Boris Yeltsin publicly endorsed Poland’s membership in the transatlantic alliance, and thought that the process was in Russia’s national interest. Current Russian President Vladimir Putin has proposed joining NATO three times. It is thus clear that post-Cold War Russia has tried to ease relations with the United States and Europe. However, the United States has never treated Russia as an equal partner, always seeing it as an adversary, and ignoring Russia’s legitimate security concerns. Russia’s assertiveness in Ukraine is a projection of Russia’s stress-induced reaction under the heavy pressure of NATO’s eastward expansion. If one says Russia today has become an enemy of the United States and Europe by going to war against Ukraine, then this enemy role is also a consequence of the United States’ failure in shaping its post-Cold War security strategy toward Russia."
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022",Ukraine’s ingrained and intractable domestic contradictions are the root cause of the conflict
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022","Ukraine’s own fragmentation and complexity have kept it mired in a muddle of interwoven internal and external problems, creating a diplomatic option dilemma, and eventually plunging it into the vortex of war. Many analysts believe that the U.S.-Russian rivalry dragged Ukraine into the war, but in essence, it was Ukraine’s own persistent ailments that created the battlefield for the great powers to fight over."
Destruction and Reconstruction of Order in the Field: Reflections on Ukraine,"China Social Sciences Network , Yao Lu ","Mar 1, 2022","First, there is Ukraine’s special geopolitical environment. For Russia, Ukraine is the last defensive barrier in a “strategic buffer zone,” while for NATO it is the front line of offense for containing Russia. Although NATO has always been ambiguous about Ukraine’s demand to join NATO, for Russia, which is highly sensitive to security needs, the Ukraine issue is a bottom line and a core interest. Forces from the East and West have never abandoned the struggle over Ukraine."
