title,author,date_pub,full_text
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021","Since the reform and opening-up, China’s international relations research has gone through decades of development and has now entered a brand-new stage. Nowadays, the world is undergoing major changes unseen in a century, and relevant discipline development is constantly adapting to the great changes of the times. How to scientifically and accurately understand the development trend of China’s international relations discipline, promote the return of fundamental and theoretical research on international relations, and continuously enhance the scientific level of the discipline has become important problems that need to be solved urgently for colleagues in China’s international relations academic communities."
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021",The Motive Force for the Development of International Relations Discipline
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021","There are two major driving forces for the development of disciplines. The first is the natural growth of knowledge, which means the increase of knowledge would continuously form new disciplines. For example, classical physics was first developed, then relativistic astrophysics and quantum mechanics. With the acquisition and increase of new knowledge, new disciplines are born. The path of knowledge accumulation can be divided into two patterns: First, with continuous development, disciplines are subdivided into many different branches. For example, after physics and chemistry become two disciplines, chemistry is divided into polymer chemistry, organic chemistry, inorganic chemistry, and so on. The other pattern is interdisciplinary integration into a new discipline. For example, physics and chemistry are integrated into the physicochemical subject. The second is to promote the development of new disciplines under human guidance, which can also be divided into two types. One is guided by the government. For example, in the first decade of the 21st century, China’s Marxist theory was designated (by the government) as a first-level discipline, no longer being a second-level discipline under the first-level discipline of political science. The other is guided by the academic community. For example, to promote international and regional studies in the New Era, a group of academic pacemakers and young or middle-aged “backbone teachers” are working hard to make it a [government-designated] first-level discipline."
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021","The development of international relations discipline is the result of these two driving forces. In addition, the development of a discipline is inseparable from the promotion of scientific methods. Historical experience shows that only by adhering to scientific methods can we defeat regression in the real world and promote academic progress. At present, mankind has entered an era of “uneasy peace”, that is, a world without war but full of fear because people have a new understanding of the uncertainty of international politics. In this context, big data provides more possibilities for exploring new research paths and methods for international relations research. The concept of the big data research method is that we don’t need to know what the causal relationship is, and we don’t need to pay attention to how uncertain things are, but exhaust all the data to reach the conclusion directly. Therefore, in terms of scientific methods, it is appropriate to take an open mind to it rather than deny it. International issues on different levels can be studied by different methods, and what is important is to improve the reliability of research methods."
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021",Four Judgments on the Development Trend of China’s International Relations Discipline
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021",The development of China’s international relations discipline has shown the following four trends:
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021","First, basic and theoretical research is being weakened. Among the keynote discussion topics of the 14th Annual Meeting of the Chinese Community of Political Science and International Studies in 2021, there are fewer discussion topics on international relations theories, international relations database construction, and basic theories. As far as the publication of academic journals is concerned, articles published in academic journals on international relations have increased, but intellectual innovation has decreased. The main reason is that there are more policy-oriented studies, and the innovation by policy-oriented articles lies not in knowledge-based innovation, but in the practicality of solving specific problems. However, basic research can often explore the mechanism and principle behind issues and can form a profound theoretical exposition of research problems, thus having a great impact on disciplines. When a hot international issue or an urgent problem is solved, those policy suggestions become “antiques”. If there are more scholars in policy studies, there will be fewer scholars creating academic knowledge, which leads to a decrease in the amount of knowledge created."
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021","Second, the return of the tendency to oppose using scientific methods to study international relations. Whether the scientific method is based on classical physics, quantum mechanics, big data, or other scientific knowledge, using them to study international relations can improve the scientific level of this discipline. The current trend against scientific research methods has picked up. Some academic journals at leading universities on international relations have published successive articles criticizing the scientific approach to the study of international relations, saying that the scientific approach has multiple flaws. The scientific approach certainly has flaws, because every research method has flaws. However, compared with traditional research approaches, the scientific approach has two advantages. One is that it has fewer flaws than the former, and the other is that it can be improved continuously. The scientific approach can avoid many inherent flaws of traditional approaches, mainly the issue of unreliability. In fact, to oppose the scientific methods of studying international relations is to oppose the improvement of research methods and the scientification of international relations research."
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021","Third, the admissions threshold is decreasing, the level of professional education declining, and the market for errors is increasing. For example, the admissions threshold to international relations majors for undergraduates is lowering. International relations has low entry scores compared with other majors. Also, in the postgraduate entrance examinations, the specialization of examination questions has decreased, with less examination of the fundamentals of the discipline. International relations teachers are emphasizing professionalism less and expressing their views more in other areas. All of the above practices are lowering the bar for international relations majors."
Development Orientation and Reflection of China’s International Relations Discipline,"Chinese Academy of Social Sciences (CASS) , Yan Xuetong ","Oct 14, 2021","Fourth, judging academic achievements by standards in the society rather than academic standards. Online articles that are read over 100,000 times on WeChat have become equivalent to Social Sciences Citation Index (SSCI) articles, which is equaling online celebrity to the level of academic status. Online celebrity is the result of the market of public opinion with divergent thinking, and many related articles are imaginary without an objective basis. In fact, innovation is based on the formation of correctly divergent and convergent thinking. Divergent thinking can help scholars transcend the constraints of existing knowledge and form infinite answers or opinions, but it depends on convergent thinking to eliminate all unreasonable answers and scientifically test several answers that have not been excluded. Replacing academic standards with influence in the society leads to regarding the divergent thinking within the current “online celebrity” articles as innovation, which is a subjective imagination."
