title,author,date_pub,full_text
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022","For a long time, capital has played an irreplaceable role in China’s economic development. However, over this past period of time, there has been a trend of disorderly expansion of capital in China, which has brought important challenges to the supervision of capital factors and financial stability. Resolutely opposing monopoly and unfair competition and preventing the disorderly expansion of capital have become important policy tasks in the near future."
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022",Basic performance of the disorderly expansion of capital
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022",(1) Capital Expansion Models
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022","Capital is one of the basic factors of production. Narrow capital mainly refers to equity capital, while broad capital includes not only equity capital but also debt capital. From the perspective of goals, capital expansion can be divided into industrial chain expansion, market-based expansion, resource-based expansion, and permit-based expansion. Product chain expansion mainly focuses on integrating upstream and downstream resources of the product chain to form economies of scale and scope. Market-based expansion aims to acquire a larger market share, focusing on horizontal mergers and acquisitions and economies of scale. Resource-based expansion aims to occupy various resources, such as technology, markets, and product chains, and pays more attention to the construction of ecosystems. Permit-based expansion uses institutional permits, business permits, or franchising for the purpose of capital expansion."
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022","An understanding of capital expansion in terms of industries offers more direct policy value. There are three main modes of capital expansion: Expansion within the industry, expansion into related industries, and expansion into unrelated industries. First, an expansion within an industry includes horizontal expansion and vertical expansion. Horizontal expansion is mainly used to expand the scale of the industry, which is mainly manifested as “copying” the mature production, operation, or business model of an enterprise and expanding its production capacity, output, or service scope. For example, an automobile manufacturing company acquires or builds more manufacturing plants to produce multiple types of products. Vertical expansion is the expansion up or down along the product chain, the purpose of which is to internalize external costs, reduce costs, and improve efficiency. For example, car manufacturers may invest in steel, rubber, and other industries in the upstream of the product chain and invest in sales enterprises in the downstream of the product chain."
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022","Second, the expansion into related industries refers to an expansion into other industries related to the development of a given industry. For example, in order to achieve diversified financing purposes, real estate companies invest, participate in, or even control commercial banks, industrial funds, or other financial institutions. Automobile manufacturers set up consumer finance companies for sales and service facilitation. Technology companies expand into fintech to improve their technological application capabilities and develop diversified financial businesses or, alternatively, traditional financial companies invest in setting up fintech companies or establishing e-commerce platforms to cope with the pressure of digital transformation."
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022","Third, the expansion into unrelated industries is mainly into areas that are not clearly related to a given industry. For example, network service providers and real estate companies investing in automobile manufacturing; air-conditioning manufacturers investing in mobile phone manufacturing; home appliance companies investing in pharmaceutical and biological industries; computer companies investing in transportation services. This type of expansion is all about investing in other areas that are not part of a given industry. There are three potential reasons for large corporations to diversify across borders. The first is diversification and expansion based on development and transformation. When this occurs, corporations are very optimistic about the development prospects of hot industries and make cross-border investments for higher profits or for business transformation. The second is for a diversified expansion based on corporate valuation or financing convenience. Hot industries may be very attractive to other investors, and the market valuation premium can be used to increase the overall valuation of the company so as to improve its balance sheet and ease pressure on capital financing. The third is diversification and expansion based on the transfer of funds. When it is difficult to continue financing in an industry or for a project, it is relatively easy to obtain investment through hot projects, funding for which can then be transferred to the original industry or other unrelated fields."
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022",(2) Main manifestations of disorderly expansion of capital
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022","There may be a certain degree of rationality to capital expansion whether from the perspective of goals or from the industrial dimension. However, when capital expansion deviates from national policy goals and from basic value principles, arbitrarily raises the “threshold” of competition, and is used to conduct regulatory evasion or arbitrage, it gradually devolves into disorderly capital expansion. The disorderly performance of resource-based and license-based capital expansion has become more prominent, while the disorderly expansion of capital in unrelated industries has grown quite serious."
"Disorderly Expansion of Capital: Performance, Risks, Root Causes, and Responses","China Development Observation , Jiang Zhaohui , Zheng Liansheng ","Mar 25, 2022","The disorderly expansion of domestic capital is universal, to a certain extent, and it is more serious in the integration of industry and finance, in real estate, and in the financial sector. At the industrial level, the disorderly expansion of domestic capital runs through a larger part of the industry, gradually forming alienated industrial capital, real estate capital, and financial capital. The use of capital factors and capital expansion permeate all areas of economic development, while disorderly expansion is more prominent in asset management, real estate, local financing, emerging technologies, and other fields. In the financial sector, some real enterprises and financial institutions, in the name of diversified expansion or comprehensive operation, control or hold various types of financial permits, substantially carry out mixed operations, and even evade supervision with the support of capital operations and conduct regulatory arbitrage to form alienated financial capital."
