title,author,date_pub,full_text
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021","Represented by China and India, the economic power of emerging economies in Asia has risen rapidly, so that the vast area from the Pacific Ocean to the Indian Ocean presents a clear upward trend in geopolitico-economics (地缘政治经济). This has been accompanied by the emergence of the “Indo-Pacific” concept, and the “Indo-Pacific” region has thus become an emerging geopolitical region that is the subject of intense debates in international politics academic circles. Some countries in the Asia-Pacific region as well as the United States and Europe have launched successive Indo-Pacific strategies, which not only reflects the keen interest of the international community in the Indo-Pacific region, but also shows that the development of the Indo-Pacific region certainly has significant international political, economic, and security implications. In the words of an Australian scholar, “the traditional Asia-Pacific era has come to an end, and the world has entered the Indo-Pacific era.” 1 However, as “Indo-Pacific” is a relatively new geopolitical construction in international politics, the reason why it was able to quickly enter the strategic agenda of major countries around the world is the fact that, to a large extent, it embodies the geopolitical intentions and practices of the United States and reflects the fierce strategic competition and confrontation of the United States with China. It is precisely the negative impact of this confrontational strategic agenda that initially led to the formation of the “Indo-Pacific” concept and faced the so-called “Indo-Pacific” region with the basic need to establish a peaceful and stable regional order. Without a peaceful and stable regional order, a shadow will inevitably be cast over the development prospects of this region. Therefore, this has given discussions of the issue of security and order in the “Indo-Pacific” region a particular urgency."
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021",I. Theoretical Path of Research on the Regional Security Order
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021","There are different opinions concerning research on the regional security order. These mainly include the ideas of “porous regional orders” proposed by Peter Kazanstein, the “regional security complexes (RSCs)” proposed by Barry Buzan, and the “regional security communities” explained by Amitav Acharya using ASEAN as an example. The “porous regional order” described by Kazanstein refers to the regional order in Europe and Asia established under the influence of the “imperial power” of the United States and led by regional central countries. 2 Obviously, from a realist perspective, a regional order is defined as a political and economic process associated with great power relations or hegemony. This sort of power politics path must be strongly rejected in the construction of the security order in the Indo-Pacific region because the current U.S. thinking on strategic competition with China has put the region in a predicament of extreme insecurity. Acharya’s “regional security community” is established based on the most fundamental, consistent, and long-term convergence of interests among actors in order to avoid war. This is what Karl Deutsch calls a “non-war community.” 3 Obviously, this is not in line with the reality of the construction of the Indo-Pacific regional security order. After all, the Indo-Pacific regional security order is far from reaching the point where all countries in the region jointly renounce armed confrontation. Buzan’s theory of RSCs holds up the regional level as the appropriate level for conducting many applied security analyses. It aims to provide a simplified analytical framework for predicting and interpreting developments within a region. An RSC refers to such a regional level—countries or other units are closely linked to each other to the extent that their security cannot be considered separately from each other. Geographical boundaries, anarchic structures, polarities (material structures), and friendly-hostile patterns (social structures) are the four major variables that define the structure of RSCs. 4 An RSC is a relatively distinguishable, operable, inclusive, and abstract concept. It provides, in the words of Buzan and Ole Wæver, “a framework that is sufficiently open and abstract that it allows for far-reaching differentiation to develop among regions, while maintaining a general set of categories with which to describe this.” 5 This is what makes it a convenient analytical framework that we can use to analyze the security order in the Indo-Pacific region. Interestingly, in a 2003 work in which Buzan and Wæver proposed the RSC theory, they also proposed an “Asian supercomplex” encompassing East Asia, South Asia, and Australia. This was a sort of anticipation of today’s “Indo-Pacific” geopolitical region. 6"
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021","The RSC theory provides an analytical framework and predicts the emergence of an Asian supercomplex similar to the Indo-Pacific geographic concept. However, how the internal material power relations of such an Asian supercomplex will evolve and how its social relations will develop are our real concerns. The RSC theory provides an open analytical framework and, in a general sense, focuses on the possibility of developing a “regional security continuum” in a general sense. This means that, as the internal structure of a security complex changes, its social structure can evolve from a conflict format to a security community through security mechanisms. 7 However, out of a certain Western-centrism, the ideological bias of the so-called “democratic peace theory,” an infatuation with U.S. hegemony, and a suspicion and fear of different civilizations and the rise of China, Buzan and Wæver negatively hold that the potential social structures of the Asian supercomplex can be reduced to an extremely narrow range, saying “The East Asian RSC seems almost certain to end up either towards the milder end of the conflict formation scenario or somewhere near the weak end of the regional security regime.” They see China as a “belligerent” and the United States as a proponent of the balance of power that is reluctant to get involved in Asia. 8 In fact, the current geopolitical confrontation in the Indo-Pacific region stems from the realist power politics manipulation by the United States in this region as foreseen or hoped for by Buzan and Wæver. The ideological biases of the authors and their fascination with U.S. hegemony obviously limit the theory’s explanatory power for the current Indo-Pacific regional security order—after all, the United States, a force from outside the region, cannot function as an endogenous driving force for regional security construction. For this reason, the United States cannot provide a benign and rational solution to solve the dilemmas of this RSC."
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021","However, the pursuit of a path out of the security confrontation predicament is the primary concern of scholars of this region in their research on the regional order, and it is also the theoretical and practical aim of this paper. As the Chinese scholar Zheng Xianwu said, if the East Asia region does not want to carry on the growth and spread of hostility and other factors of insecurity that lead to turbulent situations such as crises and conflicts, there is only one choice. This is to create a stable and lasting regional security order by actively developing security regionalism (安全区域主义) on the basis of existing security regionalization (安全区域化). 9 In view of the fact that, in the current Indo-Pacific region, it is difficult to say that there is some dominant concept of security regionalism with the objective of a friendly regional security order. Moreover, taking a long view, the Indo-Pacific region has no clear prospect of developing a regional security mechanism, to say nothing of the possibility of forming some kind of Indo-Pacific regional security community. Based on this situation, this paper invokes another more fundamental concept—regionness (地区性), to provide the possibility of theoretical discussion about the construction of a security order in the Indo-Pacific region. The concept of “regionness” was proposed by Swedish scholars Björn Hettne and Fredrik Söderbaum and others, and Chinese scholars Pang Zhongying discussed the issue of regionness construction in East Asia from the three dimensions of politics, economy, and culture. Qin Yaqing, Geng Xiefeng, Zheng Xianwu, and others have also given theoretical explanations of Asian regionness issues such as the East Asian model, Asian concepts, and Asian methods. 10"
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021","Regionness is a concept or idea used to express the degree and level of regionalization development and emphasizes the constructedness of regions. It emphasizes that regions are always in the process of construction, and the enhancement of regionness promotes an increased level of regionalization, which indicates better chances for success in the process of regional construction. The weakening of regionness leads to a decline in the level of regionalization, which means that the process of regional construction has failed or is moving towards failure. Thus, regionness connotes a gradual and dynamic construction process. 11 It can be said that regionness, used at a lower level, can provide a conceptual basis for discussing the construction of a security order in the Indo-Pacific region. Moreover, it is not necessary to cover all the following aspects and follow some kind of gradual historical process and cognitive process: Geographically, regionness embodies a geopolitico-economic space with specific distinguishable geographic boundaries; economically, regionness is the source of common markets, capital (financial), and knowledge (conceptual) for the countries concerned; culturally, regionness embodies the harmonious coexistence of multiple cultures; politically, regionness embodies a certain collective political will and political commitment to jointly build a regional order. 12"
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021","As a region whose security relations can be discussed distinctly from other regions, because the Indo-Pacific region possesses lower-level regionness such as occupying a certain geographical space and having close regional economic ties, this provides a theoretical basis for discussing the issue of the security order in the Indo-Pacific region. Of course, we must point out that various countries currently have different views as to the geographic scope of the “Indo-Pacific” region. In the broad definition adopted by Japan, it is a broad area extending from the Pacific Ocean to the Indian Ocean and the east coast of Africa. In the narrow definition adopted by the U.S. strategic community, it refers to the area of the eastern Indian Ocean extending from the east coast of the Pacific Ocean [太平洋东岸, i.e. the west coast of the Americas] to the west coast of India. These differences in the definition of the geographic scope of the Indo-Pacific conceal differences in the strategic propositions and interests of the Indo-Pacific countries. However, for a scientific discussion of the regional security order, we must proceed from a general consensus on the geographic definition. As mentioned above, from the perspective of the regional security order, the definition of the geographic space of the Indo-Pacific region must be considered from at least the following two aspects: The first is that the region must feature convenient geographical transportation, moderate distances, and close economic ties, with the material reality or potential of regionness; the second is that the region must be closely connected in a certain security relationship, be clearly distinguishable from other surrounding areas, and possess a certain uniqueness as regards regional security. Therefore, an overly broad definition of the geographic scope of the Indo-Pacific region obviously does not meet our expectations for a “region”. A relatively clear and limited geographic framework is the condition for the Indo-Pacific to be a valid “region” in international politics. In fact, if we include the complete patchwork of regions from the Pacific Ocean to the peripheries of the Indian Ocean, with their very different geopolitico-economic and security characteristics, it can never constitute a “region.” Therefore, this paper adopts a relatively narrow perspective to define the Indo-Pacific region. That is to say, in geographic terms, the vast coastal and marine areas from the Western Pacific Ocean through Asia to the Eastern Indian Ocean include several sub-regions, such as the Western Pacific, East Asia, Southeast Asia, South Asia, Oceania, and the East Indian Ocean. The southern part of the Asian continent, which consists of East Asia, Southeast Asia, and South Asia, is the geopolitical center of the Indo-Pacific region. This definition largely coincides geographically with the Asian supercomplex proposed by Buzan."
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021",II. The Evolution of U.S. Indo-Pacific Strategy and Its Security Order Propositions
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021","The U.S. Indo-Pacific strategic plan originated from the late Bush administration and Obama administration and was established during the Trump administration. Since the Obama administration put forward the “Pivot to Asia” and “Rebalancing Toward Asia-Pacific” strategy, the United States began to substantively discuss how to deal with the rise of China. Its fundamental intention is to ensure U.S. maritime hegemony and its dominance over the Indo-Pacific region, guard against challenges from China, and build a regional security order in the Indo-Pacific region that relies on U.S. power and constrains China’s influence."
Disputes About the “Indo-Pacific” Regional Security Order and China’s Vision of Regional Order,"Foreign Affairs Review , Ge Tengfei ","May 3, 2021",(i) The Obama administration conceived an Indo-Pacific strategy to create a regional security order that addresses diverse security challenges
