title,author,date_pub,full_text
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","The COVID-19 epidemic sweeping across the world is having a profound impact on development models of human society under globalization and on the world order. In the face of this pandemic, it is necessary to rethink national development strategy and national security strategy, as well as the corresponding issues of economic structure and industrial structure, and especially issues of financial understanding and positioning."
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","Looked at from any angle, finance is always at the heart of modern economic and social networks, and its mode and state of development are related to the efficiency and security of economic and social resource allocation, as well as to whether the economy and society can achieve long-term peace and stability and develop sustainably."
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","Over the past several decades, some in China’s financial circles have always, consciously or unconsciously, taken the United States as a model of modern finance, and have displayed a certain degree of blindness. This sort of blindness has its origins in the influence of neoliberalism. However, the performance of the United States in this pandemic has been chaotic, shocking the whole world, and causing people with different ideologies and values to wonder why this is the case."
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","As Joseph Stiglitz, the Nobel Prize-winning U.S. economist, said recently, “The United States has in the past always followed a neoliberal philosophy … believing that markets can solve all problems by themselves. The United States has been conducting this experiment over the last half-century, and now we must admit: The experiment has failed.” Perhaps these changes, which have occurred and continue to occur, can help some in the domestic financial community dispel the myth of the American financial model."
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","According to Kerry Brown, a sinologist at King’s College London, there is a mindset in Western society about Chinese culture, and the first thing that is needed is to liberate the mind. I believe that China’s financial community today also needs to liberate its mind and think about China based on China’s national conditions and on socialist values. We must have an ideological emancipation, and do away with the financial development path of “foreign superstition” and “foreign stereotypes.”"
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022",Financialization of the economy is unsustainable
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","In contrast to the forty-year-long financial suppression policy under Roosevelt’s New Deal, since the 1980s, the United States under the banner of neoliberalism has allowed the financial industry to deviate from the industrial service model of serving as the financing intermediary for the real economy, and in the name of innovation, to insanely chase profits through financial derivatives and financially leveraged speculative arbitrage, gradually transforming into a naked financial transaction model. By 2008, the model had “reached its peak.” The global financial crisis then erupted, hitting the global economy hard and continuing to affect it to this day."
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","Unfortunately, we seem not to have had time to deeply analyze and think about the deeper-level cause and effect of the 2008 global financial crisis. After only a short pause, we have quickened the pace of imitating American finance, and started the financialization of the economy."
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","People are rushing to invest in finance and get into finance, and large numbers of new banks, insurance companies, and other financial institutions continue to emerge. There were 238 commercial banks and insurance companies in China in 2006, before the U.S. financial crisis. In 2019, the number of commercial banks and insurance companies in China had increased to 447, an increase of 88% in 13 years. Insurance companies in particular increased even more, by 120%."
Do Away with “U.S. Financial Model Superstition”! China Must Go its Own Way in Finance,"Origin and Original Intent , Zhang Yundong ","Mar 15, 2022","Private equity funds with betting on IPOs and speculative arbitrage as their aim have popped up like mushrooms, along with hundreds of thousands of unregistered similar businesses. Shadow banking business, financial management business of various financial institutions, P2P, “shell” company buying and “speculation” with junk shares of listed companies, etc., have run rampant, and real estate and commodities are being financialized."
