title,author,date_pub,full_text
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","On July 1, 2021, General Secretary Xi Jinping emphasized in his important speech at the celebration of the 100th anniversary of the founding of the Communist Party: “solving the Taiwan issue and realizing the complete reunification of the motherland are the unswerving historical tasks of the Chinese Communist Party.” He also reiterated “promoting the process of peaceful reunification of the motherland, resolutely smashing any Taiwan independence attempts, and jointly creating a bright future for national rejuvenation.” 1 Since 2021, COVID-19 has continued to spread around the world, the global economy has suffered setbacks in getting restarted, and the evolution of power relations between major countries and their norms are accelerating.2 Under Biden’s “democratic alliance,” the degree of confrontation and harm has continued to deepen.3 In this context, the Taiwan issue is more complicated. The mainland’s policy towards Taiwan should remain overall stable and maintain strategic determination, and in the face of the new international situation and the political reality on the island, a more focused and strong strategy must be taken to break through the present situation and promote cross-Strait relations so as to “overcome difficulties and move forward.”"
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","From the perspective of legal politics, the political basis for cross-Strait negotiation has disappeared since the DPP returned to power in 2016 and denied the “1992 Consensus.” With this, the mainland has been using the political decision and systematic expositions of “home field reunification” to maintain a controllable order in cross-Strait relations and strive for the best prospects for peaceful reunification. The Taiwan-related discourse in the 19th Party Congress report had already taken an important “home field” turn (i.e. focusing on one’s own side). On January 2, 2019, at the 40th anniversary meeting of the Message to Compatriots in Taiwan, General Secretary Xi Jinping clearly proposed an exploration of the “One Country, Two Systems” formula for Taiwan as a principled and open framework for cross-Strait political consultation and peaceful reunification. This attracted great attention from political and academic circles on both sides of the Strait, and the peaceful reunification of the two sides of the Strait has entered the stage of practical plan consultation. 4"
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","In recent years, the new situation of China-U.S. strategic competition and the “cold confrontation” between the two sides of the Strait have been superimposed on one another, and the “One Country, Two Systems” Taiwan formula has been stigmatized by Taiwan independence forces on the island of Taiwan. However, it still has important constitutional value and future-oriented practical significance.5 The more Taiwan independence forces and external forces strongly oppose and resist the formula and path, the more likely it is that it suitably reflects the correct thinking and method of realizing national reunification. There is the need and the space in the “One Country, Two Systems” Taiwan formula to further clarify the source, legal theory, and practical orientation."
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","The basis and environment for the two sides to explore the “One Country, Two Systems” Taiwan formula is more complicated than Hong Kong affairs, and there are unavoidable difficulties and challenges. It includes both the obstructing factors of Taiwan independence forces and the interference factors of external forces. The related challenges tend to increase under the conditions of fluctuations in China-U.S. relations and the relative decline in the power of the ruling faction on the island. 6 The exploration and promotion of the “One Country, Two Systems” Taiwan formula is not only a matter of the clarification and allocation of institutional principles and rights and obligations but also of the promotion and undertaking of related mentality building. The undertaking of mentality building presents a certain challenge for the national philosophy and civilization discourse on national rejuvenation, but it is also a macro issue that Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era strives to respond to and answer. Based on the new-era framework of national rejuvenation and a community with a shared future for humankind, the “One Country, Two Systems” Taiwan formula may be able to face and overcome the risks and challenges faced by cross-Strait relations and effectively complete the mentality building of cross-Strait reunification. This article attempts to discuss these closely related basic legal and institutional Taiwan-related issues in order to contribute to the thinking and practice of exploring how to deepen the “One Country, Two Systems” Taiwan formula and make it more concrete."
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","1.  Policy background and typical characteristics of the “One Country, Two Systems” Taiwan formula"
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","To resolve the Taiwan issue peacefully, the great concept of “One Country, Two Systems” was put forward and put into practice first in Hong Kong and Macau. “One Country, Two Systems” is a formula for peaceful reunification. Its essence is reunification, and its method is peace. Overall, it demonstrates China’s peaceful approach and goodwill towards compatriots in the Hong Kong, Macau, and Taiwan regions, as well as its fundamental moral criticism of the Cold War model, and its will to transcend it. The “One Country, Two Systems” concept is lofty, and its strategic goal is not only to achieve complete national reunification but also to try to resolve the binary opposition between socialism and capitalism through peaceful means and to demonstrate the strong inclusiveness and the superiority of socialism. This strategic vision, within the same sovereign order, uses the methods of recognition of a pluralistic governance system and the establishment of a constitutional system with the long-term coexistence of the state and the local, to explore the higher goal and vision of “One Country, Two Systems” and eliminating differences between the two “isms,” approaching a shared identity, and achieving integration. In this sense, the “One Country, Two Systems” Taiwan formula is of major institutional significance for achieving cross-Strait reunification and permanent peace and supporting the great rejuvenation of the Chinese nation."
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","In the speech from January 2, 2019, the “One Country, Two Systems” Taiwan formula is presented as a framework-like vision which is both based on Taiwan-related policy and is future-facing, proposed in response to the overall goal of national rejuvenation introduced at the 19th Party Congress and to the reality of cross-Strait relations. The vision incorporates both the fixed premise of “One China’s” sovereignty, security, and development interests and the flexible space for imagination of “One Country, Two Systems,” as well as a broad agenda and institutional prospects open to cross-Strait democratic consultation. The “One Country, Two Systems” Taiwan formula is an inevitable requirement for national rejuvenation, and it is also a comprehensive practical proposition for seeking institutional breakthroughs in cross-Strait relations and completing the final reunification of the two sides."
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","However, what this historical process represents is the creative development of Chinese civilization and its political system, and what it faces is the challenge of the Taiwan-centered so-called “democratic values” and the American hegemony behind it. From the Three Principles of the People of the KMT era to the Taiwan independence under DPP rule, the island is permeated with stigma against “One Country, Two Systems” and an opportunist mentality based on so-called “democratic values” and “relying on the United States and rejecting reunification.” In the external environment, the United States, based on hegemonic interests and strategic demands, continuously promotes the “self-arming” of the Taiwan authorities and carries out “stealth colonization” of the Taiwan region, pushing its allies to jointly guarantee Taiwan’s so-called “liberal and democratic” system. Thus, it ties the region to the “chariot” of China-U.S. strategic competition and geopolitical confrontation. It is the above-mentioned internal and external challenges and huge pressures that the “One Country, Two Systems” Taiwan formula needs to deal with and break through."
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","Therefore, the “One Country, Two Systems” Taiwan formula has to it a remarkable sense of historical urgency, sense of strategic advancement, and sense of institutional clarity. The typical features and essential elements of the formula include the following."
"Exploring Institutional Preparations and Mentality Building for the “One Country, Two Systems” Taiwan Formula","Modern Taiwan Studies , Tian Feilong ","Jul 1, 2021","First, firmly establishing “One Country” and its legal connotations, that is, China’s national sovereignty, security, and development interests are the fundamental premise and the object of institutional priority protection. No consultation, negotiation or design regarding “Two Systems” shall be permitted to harm this premise. This is the inherent connotation of “One Country, Two Systems,” and it is also a special revelation from Hong Kong’s experience."
