title,author,date_pub,full_text
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","In mid-May, a news conference was held in Ningde, Fujian Province. At the conference, Xi Jinping, secretary of the Ningde Prefecture Party Committee, shared many views on how to grasp the basic points of current news work. His views are very inspiring to us journalists and are specially organized for our readers."
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","With calm analysis and thinking, recognize the current situation"
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","Xi Jinping believes that at present, it is necessary to further strengthen the understanding of the status and role of journalism and to further strengthen the Party’s leadership over journalism. Raising awareness and strengthening leadership must be carried out in light of the current situation. Journalism must grasp the pulse of the times and recognize the tasks and responsibilities entrusted to us by the current situation. The achievements of the ten-year reform are enormous, but it also faces many difficulties and problems. On the one hand, journalism cannot be conservative, ignoring reform with deaf ears to every voice. On the other hand, you cannot copy what others say. At present, there are various social trends of thought. We should think calmly through our own minds and not be dominated by the ephemeral. It takes time to calmly analyze and judge affairs, and rushing to make judgments often leads to a one-sided or even wrong conclusion. Judging from some of the problems currently reflected, it does seem necessary to speed up the process of democracy and the construction of the legal system. As for how to accelerate and to what extent, there are certain scientific implications. Otherwise, democracy will be absolutized, premature, and separated from the current stage. In that case, what was originally very reasonable may become a very wrong thing."
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","What is democracy? Democracy cannot be defined in general terms. Democracy in a socialist country, I personally understand, should be a legal embodiment of the interests of the people. It is not the will of a certain class or certain people or any of the demands of any one class. Demanding extremes from others or the country is in itself a demand of others to be democratic to oneself while one does not have any sense of accountability or responsibility. This is unacceptable."
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","Just imagine, if people can do whatever they want, deciding not to engage in family planning and foregoing the task of requisitioning, would this work? Therefore, democracy itself cannot be absolute. It must have certain constraints. At the same time, democratic requirements are also phased and cannot be premature. We now have a phased approach to the cultivation of democratic qualities and the training of democracy. This is the current state of democracy. Can it be used maturely? Let us discuss the election of village committees. Discuss this use of democracy. Some places have done well, knowing how to plan well for the family with the ability to serve the fundamental interests of the village people. In some places, good clan elders are chosen. This has resulted in a paralyzed and semi-paralyzed state in rural grassroots organizations. Therefore, when we ask any question, we should not abandon its premise, background, or certain conditions. Otherwise, it will be difficult to even discuss such things. Is the Cultural Revolution not a specimen of the Great Democracy? This kind of “great democracy” is not instilled with science or the legal system, but rather with superstition and ignorance, and the result was a great turmoil. Anyone can organize a few people to raid their homes, and anyone can band together a fighting team. Today, you defeat me, and tomorrow, I defeat you. Can such hard times be repeated? Without stability and unity, nothing would be possible. The problem of democracy can only be solved on the track of the legal system."
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","There is also the issue of corruption, which is the most likely to stir righteous indignation. It should be said that every honest journalist and every person with a conscience speaks volumes about corruption and righteous indignation. This issue, however, has to be dealt with calmly. Now, we must not merely rage against corruption. Rather, we must reach a practical solution to corruption. Some criticize corruption, while simultaneously enjoying certain privileges. It can be seen that, from delivery to cremation, transactions may occur at every stage of life, and there may be unhealthy trends. What power can we give to our stethoscope for corruption? However, even it can also generate transactions, as can the steering wheel. This problem deserves our deep thought, and it is worth our in-depth analysis to explore the reasons and reach an effective solution. Otherwise, the problem becomes oversimplified."
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","To grasp the pulse of the times and understand the role of news, we must realize that news is the mouthpiece of the Party and the people, and it is responsible for the important task of reflecting and guiding public opinion. Our Party has always had a tradition of using newspapers, radio, television, and other propaganda tools to publicize the Party’s line, principles, and policies, to educate the people, to reflect the people’s voice, to promote righteousness, to expose negative and corrupt phenomena, and to mobilize and organize the masses to participate in the socialist construction cause. The Party spirit we emphasize contains the profound connotation of the people’s very nature. Journalists must not only publicize the Party’s propositions but also fully reflect the people’s wishes and demands, so as to unify the two. As a science, journalism is closely related to politics. However, it does not mean that news can be equated with politics, and it does not mean that its authenticity can be ignored for political needs. Therefore, it is necessary to emphasize the Party nature of news work, but not to ignore the regularity of news work itself."
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","At present, China’s reform is in a critical period. The mentality of the people is diverse, and there is constant friction among the various interests. As for how to solve these problems, a very important point is to give full play to the role of the news media in propagating reform and propagating the Party’s policies. Reform is a great social practice, and the news media must timely and accurately convey the Party and government’s principles, policies, and various information in the process of implementation, prompting Party organizations and governments at all levels to correct deviations in a timely manner such that the reform will be more direct and spur healthier growth. As for some vague awarenesses that exist in the masses, news media should be guided to alleviate conflicts in communication between the Party, the government, and the people and in ideological understandings between people in different regions. We must improve people’s understanding and support for reform and guide people’s thoughts and actions to “One Center, Two Basic Points” so as to guide to the great historical mission of “realizing the four modernizations and revitalizing China.” It should be affirmed that journalism has written a glorious page in the ten-year reform, made great contributions to the reform and opening up, and made great efforts as an important part of the Party’s development of political advantages. Being good at using news tools to promote work is actually a manifestation of leadership and modern working methods. The connection between leaders and the people comes in nothing more than two forms: One is mystical, and the other is open. Mystification is often associated with feudalism, closure, and economic backwardness; openness is often associated with a high degree of civilizational progress. Party organizations at all levels in our region should attach great importance to news work and effectively strengthen their leadership over news work."
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989","In the near future, we should be good at using relatively modern media means to vigorously develop local newspapers, radio, and television stations. We must further improve the system of press conferences. In the spirit of doing more practical things for news work and doing what we can, we should gradually help news organizations solve problems such as funding, staffing, vehicles, office locations, housing, equipment, and treatment."
"Grasping the Basis of Journalism ——Xi Jinping, Secretary of Fujian Ningde Prefectural Party Committee, Talks about Journalism","Chinese Journalist , Xi Jinping ","Jul 30, 1989",Do a good job in the guidance of public opinion and carry forward the righteousness of the society
