title,author,date_pub,full_text
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","SWIFT is currently the most important global payment instruction messaging system, but it is not the case that without SWIFT cross-border economic transactions absolutely cannot be carried out. The disconnection of services by SWIFT is itself not a fundamental issue. The real concern is the possible impact that could be generated by the U.S.-European camp implementing severe economic sanctions or even fully decoupling."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","On February 26 (U.S. time), the White House issued a joint statement by the leaders of the European Union, the United States, and Canada on their decision to ensure the removal of selected Russian banks from the SWIFT information system. (Note that this was not the removal of all Russian banks registered with SWIFT). This has been interpreted by many as: The United States and Europe have used a “financial nuclear bomb,” a “financial killer” that will shut down Russia’s foreign trade and international financial transactions, causing a devastating blow to Russia’s economic development and social stability."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022",This still needs to be scrutinized carefully.
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","First, it should be clear that SWIFT is only a part of the international payment settlement system, not all of it"
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","The components of the international payment settlement system include settlement currency selection, payment instruction messaging systems, settlement funds account systems, and the actual processing of payment settlement. SWIFT is only one of the payment instruction messaging systems."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","Settlement currency selection: When economic transactions occur between countries with different currencies, it is necessary to first determine the currency of denomination and settlement for the economic transactions. This may be the currency of the party in the economic transaction with the stronger voice, or it may be another country’s currency that is more internationalized. It is through an extensive global selection process that the relative shares or statuses of different countries’ currencies in international payments and foreign exchange reserves are formed. Behind this selection is a comparison of the overall national power and international influence of different countries, and only the currency of the country with the strongest international influence can become the most dominant international currency (international hard currency). At present, the dollar is the number one international currency. Its share of international payments is around 40%, and its share in international foreign exchange reserves is around 60%. The euro ranks second. Its share of international payments is close to 40%, and its share in international foreign exchange reserves is around 25%. Other national currencies lag far behind the dollar and euro."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","Payment instruction messaging system: When economic transactions between countries occur, it is necessary for the payer to issue a payment instruction to its clearing institution (a bank in which it has an account). The clearing institution then deducts the payment accordingly and transfers it to the recipient’s account at the recipient’s bank, or reduces its own deposit in the recipient’s bank and issues a payment notice to the recipient’s bank. After the recipient’s bank receives the instruction, it registers an increase of its own deposit in the payer’s bank or a reduction of the payer’s deposit in its own bank, at the same time transferring the amount to the account of the recipient, and sends a notice of receipt of payment to the recipient. So, to realize cross-border settlement, it is necessary to connect the payment instruction message specification and processing systems of each country. Since different countries have different languages, different legal systems, and different time standards, it would be very troublesome and uneconomical if each country were to establish independent payment instruction messaging systems with other countries, and the high cost and low efficiency of doing so might even hinder the development of mutual economic transactions. At present, SWIFT is the most widely used payment instruction messaging system in the world."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","Payment funds account system: International payment settlement involves the opening of funds accounts at clearing institutions and having sufficient balance of funds (including overdraft limit) to ensure the funds needed to settle payment. Because international payment settlement may involve multiple international currencies, clearing institutions are required to open many settlement accounts in banks of many countries and strengthen the management of settlement account funds (positions). Since international payment settlement involves different currencies, languages, etc., it is far more complex than domestic settlement in a single domestic currency and language. In order to prevent international payment settlement from negatively affecting their domestic settlement systems, many countries have established a relatively independent international payment settlement account system, forming a risk isolation wall while maintaining certain financial links with the domestic payment settlement system. For example, within the United States there is the Fedwire U.S. dollar system, whereas the cross-border system is CHIPS. Within China there is the High-Value Payment System (HVPS) for real-time settlement in renminbi (RMB), whereas for cross-border settlement there is the Cross-border Interbank Payment System (CIPS). The payment settlement account system in each country has strong sovereignty attributes and needs to be subject to close supervision by the country where it is located. Worldwide, the final payment settlement account for a country’s currency is in the country whose currency it is (the final payment settlement account for the U.S. dollar is CHIPS, the final payment settlement account for the RMB is CIPS, and so on) because the supply of a currency is ultimately controlled by the country that issues it."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","It needs to be clarified that systems such as CHIPS and CIPS are first and foremost funds account systems. They are primarily for the currencies of their respective countries, and what they mainly resolve are the “flows of funds” of international settlements. This is not the same as being able to completely replace the payment instruction messaging system. They basically have to connect with SWIFT in order to complete international payment settlement business. SWIFT is a payment instruction messaging system. SWIFT itself does not involve the funds accounts of member units, and it mainly resolves the “information flows” of international payment settlement."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","Actual processing of payment settlement: To settle the payment in a cross-border economic transaction, it is necessary to determine the specific clearing institution and settlement account, thereby determining the specific path for settlement instruction transmission and processing. The clearing institution carries out settlement account processing accordingly and deducts from the payer’s deposit. The processing is not considered completed until the transfer is made to the recipient’s account. If there is any problem, error finding and handling will still need to be carried out."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","One can see from the foregoing that SWIFT, as the infrastructure for the standard formulation of payment instruction messages and for transmitting and processing instructions, is a very important link in international payment settlement, but it is only one of the links, not the whole of international payment settlement. Also, although SWIFT is currently the most important global payment instruction messaging system, it is not the case that cross-border economic transactions absolutely cannot be carried out without SWIFT. In fact, SWIFT was announced only in 1973, and it took a long time for it to become a payment instruction messaging system with global coverage. Cross-border economic transactions also existed before there was SWIFT. It is only that the development of cross-border economic exchanges was better facilitated after the emergence of SWIFT. Likewise, when the Soviet Union and the United States were sharply opposed to each other and it was hard for the Eastern socialist camp to obtain SWIFT services, its internal transnational economic transactions still existed. The currency of the most powerful country in the camp could be chosen as the currency for denomination and settlement, with payments settled by means of encrypted telegrams, mail, etc. Even the necessity of settling payments one by one was obviated by adopting “bookkeeping settlement,” that is, within the scope of an agreement, the economic transactions occurring between the two sides were first entered in their account books, then differences were periodically (e.g., annually) aggregated, and settlement was only carried out on the balance. If a country is excluded by SWIFT now, that country can still imitate SWIFT’s messaging rules and establish a new payment instruction messaging system with other countries for settling economic transaction payments over the internet and other channels, which is not difficult technically, though its cost of operation and efficiency might not be comparable to those of SWIFT. So, describing SWIFT as a “financial nuclear bomb or killer app” is in fact a bit of an exaggeration."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","Second, what needs to be clarified even more are the relationships between payment settlement and economic transactions, and between cutting off SWIFT and the implementation of economic sanctions"
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","Payment settlement is for economic transactions. If there were no transnational economic transactions, there would be no need for international payment settlement. Safe, efficient, and convenient settlement of international payments actively promotes the development of transnational economic transactions. Blocking the use of SWIFT will also have a profound impact on the development of a country’s foreign economic transactions, but blocking the use of SWIFT is only a means of economic sanctioning. The prerequisite for cutting off a country from the SWIFT information system is that the United States and Europe impose severe economic sanctions on the country. Without economic sanctions, the United States and Europe unilaterally blocking the SWIFT connection to Russia would also block their economic transactions with the country. Therefore, the economic sanctions against Russia by the U.S.-European camp are the main role, while cutting off SWIFT services is only a supporting role, and that order cannot be reversed."
How to View Russia’s Ejection From SWIFT,"Sina News , Wang Yongli ","Feb 28, 2022","Hence, the widely circulated statement that “Iran lost nearly half of its oil export revenue and a large amount of foreign trade as a result of the United States push to cut off the SWIFT connection to Iran in 2012” is actually putting the cart before the horse. The fundamental reason for the significant reduction in Iran’s oil exports and other foreign trade was that the United States and Europe had imposed a severe blockade on Iran’s oil exports and other foreign trade, including their own cut-off of Iranian oil imports, not simply because SWIFT had cut off the connection to Iran."
