title,author,date_pub,full_text
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022","Since the release of the EU’s latest policy report on China in 2019, Sino-European relations have undergone dramatic changes against a backdrop of major international situations such as the U.S.-China game, the global COVID-19 pandemic, and the Russia-Ukraine conflict. In the face of these unprecedented changes, how will the so-called economic and trade “decoupling” from China, which is being intensely discussed and even promoted within the EU, develop? What are the similarities and differences between European and U.S. policies towards China? In what areas and aspects can China and Europe still carry out or promote practical cooperation? From China’s perspective, where should Europe be placed in China’s foreign strategy, and what role should it play?"
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022",Some members of the Fudan Europe Watch academic community (an academic community formed by young scholars of European studies at Fudan University) and some special guests discussed the above questions and expressed their views as follows.
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022",Some of the experts of the Fudan Europe Watch academic community (in alphabetical order by surname)
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022","Jian Junbo – Deputy Director and Associate Professor, Center for China-EU Relations, Fudan University"
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022","Ma Bin – Associate Professor, Center for Russian and Central Asian Studies, Fudan University; Deputy Director, Center of Shanghai Cooperation Organization Studies"
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022","Peng Chongzhou – Postdoctoral Fellow, School of International Relations and Public Affairs, Fudan University"
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022","Yan Shaohua – Assistant Professor, Center for China-EU Relations, Fudan University"
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022","Yao Xu – Assistant Professor, Institute of Development Studies, Fudan University"
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022","Zhang Ji – Assistant Dean and Research Fellow, School of International Relations and Public Affairs, Fudan University"
Improving Sino-European Relations Is Just as Important as Preventing “Sino-U.S. Relations From Spiraling Out of Control”,"Fudan Development Institute , Fudan Europe Watch ","Jun 1, 2022", 
