title,author,date_pub,full_text
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","The Yom Kippur War broke out in October 1973. Oil-exporting Arab nations imposed an oil embargo on Western countries which supported Israel, triggering the first global oil crisis. Oil prices skyrocketed, dealing a major blow to Western economies and causing society to fall into chaos. That oil embargo is the most well-known example of exporting countries using energy as a weapon."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","In recent years, more and more “energy wars” have broken out around the world. However, it is no longer the energy-exporting countries that are wielding energy as a weapon, but the major importing countries of the West. They leverage their advantages and hegemony in global finance, logistics, and other fields to frequently and consciously use energy as a weapon to attack competitors, blocking energy exports by competitors. Obviously, these actions are nothing like the 1973 oil embargo. Nonetheless, such use of energy as a weapon similarly causes turmoil in the international energy market."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","China is already the world’s largest importer of oil, natural gas, and coal. The outbreak and continuation of energy wars have seriously harmed China’s energy economic interests and formed a challenge to China’s sustainable energy security. How should the Chinese government, enterprises, and society respond?"
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022",Rough Seas of Global Energy
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","In an ideal world, the rise and fall of energy prices and market ups and downs would be entirely determined by the “invisible hand” of the market. However, energy is an important material basis for the normal operation of human society, and energy commodities often have a political aspect. In recent years, some major powers have become increasingly enamored with using oil and gas as a weapon to achieve their strategic goals, making the strategic nature of oil and gas more pronounced. The international oil and gas market is in the grip of political forces, with heightened volatility and overall tension."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","In response to climate change, the international community has become determined to reduce fossil fuel consumption. However, due to complex economic and technical reasons and the influence of path dependence, for a long time to come, global oil and gas consumption will not decline. On the contrary, it will increase significantly."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","On the other hand, the maneuvering of great powers and the intensification of geopolitical tensions are causing increasing damage to the world’s oil and gas supply."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","For example, major oil and gas countries such as Russia, Iran, and Venezuela are currently subject to Western sanctions, which has a significant impact on the global oil and gas market."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","Iran and Venezuela would be the world’s largest oil producers and exporters. But due to reasons such as long-standing energy sanctions from the United States and other countries, their oil production and export volumes have been greatly reduced. After the Islamic Revolution broke out in Iran in 1978, Iran was hit with sanctions from Western countries led by the United States. On July 14, 2015, after years of negotiations, Iran and the United States, Russia, China, the United Kingdom, France, and Germany finally signed the Iran nuclear agreement. Iran promised to abandon its nuclear weapons program in exchange for the lifting of oil, financial, and other sanctions imposed on it by the United States and other Western countries. However, in May 2018, Trump announced the withdrawal of the United States from the nuclear agreement, and Iran’s oil exports were again subject to sanctions, which continue to the present day. Iranian oil exports are estimated to have dropped by about 2 million barrels a day due to the sanctions."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","Venezuela can “feel the pain” of Iran. Though Venezuela has the largest oil reserves in the world, since 1999, due to reasons such as sanctions from Western countries led by the United States, Venezuela’s oil output and export volume have contracted sharply. According to OPEC data, in January 2001, Venezuela’s daily crude oil output was 3.02 million barrels, while in January 2022 it was only 670,000 barrels, a decrease of 2.35 million barrels."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","It can be conservatively estimated that, due to the sanctions imposed by the United States and other Western countries, the crude oil exports of Iran and Venezuela have dropped by more than 4 million barrels per day, which is equivalent to about 1/10 of the global crude oil trade volume."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","Russia has a vast territory and abundant resources. Its importance in the global supply of energy, industrial metals, agricultural products, and other commodities far exceeds that of Iran and Venezuela. When it comes to fossil fuel, Russia is the world champion in all areas. The possibility of sanctions on Russian energy exports has created a hurricane in the global energy industry."
"In an Increasingly Tumultuous World, How Can China’s Energy Achieve Energy Sustainable Security?","Energy , Wang Haibin ","Mar 16, 2022","Looking at individual items, Russia’s energy data ranks among the best in the world in many respects. According to data from BP, as of the end of 2020, Russia’s oil, gas and coal reserves ranked among the top in the world: Russian proven natural gas reserves are 37.4 trillion cubic meters, accounting for 20% of global reserves, ranking first in the world; Russian proven coal reserves are 162.2 billion tons, accounting for about 15% of global reserves, ranking second after the United States; and Russian proven oil reserves are 107.8 billion tons, accounting for 6.2% of the world’s total, ranking sixth in the world."
