title,author,date_pub,full_text
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022",[…]
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022",Determined China
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","Although the Russia-Ukraine conflict is far from Asia, the global energy market is unitary in nature. In international markets, prices for primary energy—coal, oil and natural gas—are all soaring, requiring the use of similar thinking to that used to respond to energy security crises in order to deal with the current situation. Giving due consideration to both economic growth and emissions reduction is the only option for China’s energy strategy."
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","Will soaring international oil prices affect China, a major oil and gas consumer?"
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","On March 7, Lian Weiliang, deputy director of the National Development and Reform Commission, answered this at a press conference held at the State Council Information Office: given that a relatively high proportion of China’s crude oil and natural gas is extracted abroad, it will be affected, and the cost of imports will see something of an objective rise, but overall the impact is manageable."
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022",This answer is rooted in facts.
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","Data released by the National Energy Administration show that in 2021, China’s crude oil imports were 513 million tons, and although this is a decline of 5.3 percent year-on-year, a first-ever decline, the external dependency ratio was still as high as 72 percent. As for external dependency in natural gas, data for 2021 are not yet available, but natural gas imports in 2020 amounted to 136.5 billion cubic meters, with a high external dependency ratio of 42 percent."
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","A high degree of external dependency means that to a great degree supply and consumption will be influenced when there are changes in international market conditions. It is precisely in this sense that the tight international oil and gas supply and price spikes have an impact on China. However, this impact is still under control."
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","On March 8, the Chinese Ministry of Foreign Affairs said that China and Russia would continue to carry out normal trade cooperation, including in the field of oil and gas, which eased domestic worries about energy security somewhat. Previously, during Putin’s visit to China for the Winter Olympics, Chinese and Russian authorities and enterprises signed a series of cooperation documents, which included the China National Petroleum Corporation and Gazprom Agreement on the Purchase and Sale of Far Eastern Gas and the Supplementary Agreement 3 on the ‘Contract for the Purchase and Sale of Crude Oil to Secure Oil Supply to Refineries in Western China‘ and others. Gazprom issued an announcement on February 4 stating that after the Russian-Chinese Eastern Gas Pipeline is commissioned, Gazprom’s annual pipeline gas supply to China will increase by 10 billion cubic meters, which, together with the “Power of Siberia” pipeline, will bring the total annual gas supply to China up to 48 billion cubic meters. The continued deepening of energy cooperation between Russia and China will provide an important guarantee for China to achieve its “dual carbon” [peak carbon and carbon neutrality] goals."
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","Regarding natural gas, given that about half of domestic gas prices are managed at the gate station, that part of gas prices does not change with the international market. At the same time, for a high percentage of China’s imported gas sources, the links to oil prices are by long-term agreements, with relatively stable prices and weak pass-through effects. Only a small portion of LNG prices purchased on the spot market follows the market, and in contrast to Europe, China’s LNG prices fluctuate significantly less than the international market due to the stabilizing anchor effect of managing gas prices at the gate station. During the 97% price surge in Japan and South Korea early last year and the 165% surge in Europe in December, China’s LNG prices rose only by 6.6% and 34%, respectively."
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","But in the case of refined oil prices, since the Russia-Ukraine conflict began, domestic refined oil prices have also risen with international crude oil prices. On March 17, the National Development and Reform Commission announced an increase in domestic gasoline prices of 750 yuan per ton, and an increase in diesel prices of 720 yuan per ton. Translated into liter prices, No. 92 gasoline increased by 0.58 yuan per liter, No. 95 gasoline increased by 0.62 yuan per liter, and No. 0 diesel increased by 0.61 yuan per liter. On March 31, the National Development and Reform Commission issued a further news release, stating that as of midnight, March 31, domestic gasoline and diesel prices were being raised by 110 yuan per ton. Translated into liters, the prices of No. 92 gasoline, No. 95 gasoline and No. 0 diesel were all raised by 0.09 yuan per liter. This was the “seventh consecutive increase” in gasoline prices since December 31 last year."
In an Oil and Gas Fumed Atmosphere ——The Russia-Ukraine Conflict and the Suddenly Magnified Energy Security Perspective [Excerpt],"China State-owned Enterprise Management , Gao Fanting ","Apr 1, 2022","The chain reaction triggered by rising oil prices continues to unfold. For consumers, every rise and fall in oil prices is a matter of vital interest. For China, high oil prices are a further warning of the importance of diversifying energy supplies for energy security."
