title,author,date_pub,full_text
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","The Tsinghua People’s Bank of China School of Finance Chief Economists Forum was successfully held on May 14, 2022. The theme of the forum was “Turbulent 2022—Global & China Economy and Policy Outlook.” It entailed in-depth discussions centered on four major roundtable topics. Ju Jiandong, Unigroup Chair Professor of Finance, Tsinghua University People’s Bank of China School of Finance, and director of the Center for International Finance and Economics Research (CIFER) at the Tsinghua National Institute for Financial Research, attended the third roundtable discussion “Innovation, Finance, and S&T Competition” and gave a talk."
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","Ju Jiandong believes that upgrading the industrial structure necessitates the formation of an “innovation-scale” virtuous cycle. It is only by overcoming international technology constraints and monopolies, ensuring a certain amount of market share for domestic technologies, and cultivating and developing the competitiveness of domestic technologies that we can realize Chinese technological innovation and industrial upgrading. In view of this, Ju Jiandong proposed a policy of “countering international technology containment” (反国际技术遏制政策), ensuring a 30% domestic market share for Chinese technology, so as to provide the necessary market demand for Chinese technology and pave the way to Chinese technological upgrades. Ju Jiandong suggested that a two trillion RMB per year economic stimulus plan be employed over the next 10 years to promote such a full production chain policy of “countering international technology containment.” Through precise monetary injections, this would build an independent and self-reliant high-technology industrial system in an open economic environment, thus promoting Chinese technological upgrades and realizing [the aim that] “the economy must be kept stable and development must be safe.” Ju Jiandong pointed out that this stimulus plan could increase China’s GDP growth rate by 1%."
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022",The following is a partial and accurate record of Ju Jiandong’s talk:
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","Everyone taking part in this roundtable discussion is an expert, and we’re all experts at the cutting edge who have long studied our country’s S&T competition. We just mentioned how, given Chinese-U.S. S&T competition, international technology constraints on industrial upgrading can be overcome. We discussed chips. Chips are a typical, gradually changing technology. In the case of the transition from 10 nanometers to 7 nanometers, technological innovations were achieved through update iterations of the old technology and a gradual accumulation. If our industrial structure cannot be upgraded, then there will be no way to promote economic growth."
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","How is the industrial structure to be upgraded? Thinking about it from an intellectual point of view, we find that, on the theoretical level, there is an “innovation-scale” cycle, wherein once R&D inputs have led to technological progress, technological progress wins a certain market share, and, with market share, there is finally profit; and only with profit is it possible to provide feedback on the R&D inputs. If this kind of virtuous cycle encounters an international technology constraint, such as a chip constraint, which prevents our industries from upgrading, the cycle will come to a halt."
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","Let us suppose that an intermediate link in our “innovation-scale” becomes stuck. For example, our market share is cut off and it becomes impossible to achieve technological progress and industrial upgrading. Whether it’s the United States’ technological containment of Japan in the 1980s or the containment of China in China-U.S. trade disputes, we find that the United States’ containment policy has two characteristics: first, it hits leading enterprises that dare, and are able, to challenge a U.S. technological monopoly, such as Huawei; second, it maintains U.S. monopolies in world (including China) core technology markets and blocks the paths to Chinese technological upgrades."
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","We’ve said that our industries need upgrading. Of all our chips, the best is Semiconductor Manufacturing International Corporation’s 14-nanometer. Can they rise to the next levels by progressing to 10 nanometers? 7 nanometers? I’m afraid they can’t because there’s no market. China’s chip market is dominated by the United States. So long as you don’t challenge U.S. technological hegemony, China’s mobile phone enterprises can import U.S. chips. So the upgrading path forward for China’s high-end chips is cut off because all these mobile phone enterprises in the middle use U.S. chips."
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","So I’ll pose this question: in the case of a civilian product, if your technology is relatively backwards such that even the Chinese domestic market won’t buy it—there’s no domestic market—how do you upgrade the technology? The United States is, on the one hand, hitting out at the lead enterprises while, on the other hand, it is realizing U.S. monopolies in technology markets. These two core tricks break our industrial upgrading cycle."
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","How do you break out of the containment by international giants? I’d like to offer an opinion, which you are all welcome to criticize and correct. If we don’t break international technology’s monopoly over the Chinese market to make China’s technological upgrading possible, China’s technological innovations and industrial upgrading will be impossible to achieve. As for breaking the international technology monopoly, whatever measures are taken, it will definitely be necessary to cultivate domestic technological competitiveness, and domestic technological competitiveness definitely requires ensuring a certain market share—ensuring that the market share of foreign core technologies does not exceed 70%. Chinese technology must have at least a 30% share of the Chinese market. I call this the “policy to counter international technology containment.”"
Industrial Structure Upgrading Requires Forming an “Innovation-Scale” Virtuous Cycle,"Tsinghua People's Bank of China School of Finance (PBCSF) , Ju Jiandong ","May 17, 2022","I’ll give an example. Let’s say we have a brand called Little Fruit Mobile. To ensure that 30% of the chip market downstream is a domestic technology market, it is necessary to start from downstream mobile phones. If, in keeping with the requirement, 30% of the Little Fruit Mobile phones use Chinese chips, then there’s no problem. If less than 30% of the Little Fruit Mobile phones use Chinese chips as required, then there will have to be a punitive tax."
