title,author,date_pub,full_text
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021","The Resolution of the Central Committee of the Chinese Communist Party on the Major Achievements and Historical Experience of the Party’s Hundred Years of Struggle (hereinafter referred to as the “Resolution”) adopted by the Sixth Plenary Session of the 19th Central Committee of the Chinese Communist Party (hereinafter referred to as the Resolution) guide the whole of the Party and the people of all ethnic groups in the country to take history as a mirror, create the future, and make concerted efforts to forge ahead. It is a Marxist programmatic document that creates new great achievements in the new era. The Resolution clearly runs through the main line of the Party’s original intention and mission, scientifically summarizes the Party’s valuable experience in insisting on self-revolution, and profoundly expounds the strategic thinking of leading the great social revolution with great self-revolution, which embodies the Chinese Communists’ understanding of the Communist Party’s governing laws and socialism in the new era. The Resolution marks a new height and new realm for understanding the laws of construction and the laws of human social development. Conscientiously studying and implementing the spirit of the Sixth Plenary Session of the 19th Central Committee of the Chinese Communist Party, unswervingly promoting the great self-revolution of the Party, ensuring that the Party will always be a strong leadership core in the historical process of upholding and developing socialism with Chinese characteristics in the new era, and better leading the people is of great and far-reaching significance to realizing the historical mission of the great rejuvenation of the Chinese nation."
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021",1. The history of the Party’s century-long struggle is the history of leading the great social revolution with the great self-revolution
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021","The Resolution runs through a century of party history, adheres to dialectical materialism and historical materialism, and reveals the historical logic and profound truth of the Party’s courage to self-revolution and to lead the great social revolution with great self-revolution."
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021","(1) Leading the great social revolution with the great self-revolution is an important part of Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era. The Resolution sums up the rich connotation of Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era in the “Ten Clarifications,” takes “leading the great social revolution with great self-revolution” as an important content, and profoundly reveals that self-revolution and social revolution go hand in hand and promote one another. The dialectical relationship of co-progress fully reflects the historical initiative of the Chinese Communists to consciously transform the subjective world while transforming the objective world, so as to better transform the objective world. General Secretary Xi Jinping emphasized that the courage to self-revolution is a distinctive symbol of our party’s difference from other political parties, and it is also the key to the Party’s longevity. Blacksmithing must be hard on its own: Adhere to and develop socialism with Chinese characteristics as our party must have the courage to carry out self-revolution. The spirit of self-revolution is a strong support for the Party’s governing ability. We must adhere to the unity of integrity and innovation, strengthen and improve ourselves with the spirit of reform and innovation, and continue to open up the future through reforming the old and making new ones. Comprehensively and strictly governing the Party is an inherent requirement of self-revolution. We must always maintain the self-awareness of facing the problem and the courage to turn inward. We must take anti-corruption as a major political task that the Party’s self-revolution must grasp for the long term. General Secretary Xi Jinping’s strategic thinking on leading the great social revolution with great self-revolution, inheriting and developing the Marxist theory of party building, and profoundly summarizing the Party’s historical experience, especially the practical experience of comprehensively and strictly governing the Party in the new era, demonstrates the original mission, political responsibility, and historical consciousness of the Chinese Communists, and has profound ideological connotations and great value for the times."
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021","(2) The courage to self-revolution is the distinctive character of the Chinese Communist Party. The Resolution points out: “Advanced Marxist political parties are not born but are rather tempered through continuous self-revolution.” Through a century of ups and downs, our party has always “adhered to what is good for the interests of the people and has corrected what was wrong for the interests of the people.” It has repeatedly risen up in times of crisis and has set things right after mistakes. It has become an invincible and unstoppable Marxist political party. Our party represents the fundamental interests of the vast majority of the Chinese people and has no special interests of its own. This is the source of courage and confidence in daring to achieve self-revolution. The practice of a hundred years of struggle has proved that the greatness of our party is not that it does not make mistakes but that it never shies away from treating what ails us and dares to face problems. Our party has the courage to achieve self-revolution. This is also the characteristic of our party as a Marxist party and is the secret to our vitality."
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021","(3) Leading the great social revolution with the great self-revolution highly condenses the historical experience of the Chinese Communist Party’s century-long struggle. The 100-year journey of the Chinese Communist Party is not only a magnificent history of social revolution but also a history of self-revolution. The Resolution points out that over the past 100 years, the Party has led the people in a great struggle, making breakthroughs in progress, rising up from setbacks, and improving from retrospectives. From the August 7th Conference, the Gutian Conference to the Zunyi Conference, from the Yan’an Rectification Movement to the Third Plenary Session of the Eleventh Central Committee, and to the new era of comprehensive and strict party governance, our party has always followed the historical trend, kept pace with the times, and forged ahead. In the struggle of life and death and arduous struggle, it has continued to grow and develop. Our party has remained united and has led the people to create the great achievements of the new democratic revolution, the great achievements of the socialist revolution and construction, the great achievements of reform and opening up and the socialist modernization drive, and the great achievements of socialism with Chinese characteristics in the new era. A great social revolution forges and achieves a great party; a great self-revolution guarantees and promotes a great cause. This is the valuable experience of the Party’s continuous progress from victory to victory over the past century, and it is also an important guide for the Party to grasp the laws of historical development and strive for a new journey."
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021","(4) In the new era, insisting on leading the great social revolution with great self-revolution plays an important strategic and overall role. Since the 18th Party Congress, the Party Central Committee with Comrade Xi Jinping at its core has overseen the great struggle, the great project, the great cause, and the great dream and has led the great social revolution with the great self-revolution. With the courage of scraping bones to cure poison, we have resected stubborn diseases from the Party. To fight corruption with a will as strong as a rock, we have provided a strong guarantee for the overall promotion of the “Five in One” overall layout and the coordinated promotion of the “Four Comprehensive” strategic layout to promote historic achievements and historic changes in the cause of the Party and the country. The Resolution pointed out that, through resolute struggle, the role of political guidance and political guarantee of comprehensively and strictly governing the Party will be brought into full play. Our Party eliminates its own cancers through self-purification, enhances its overall image through self-improvement, cultivates creativity through self-innovation, and enhances its sense of responsibility through self-improvement. It has formed a high degree of self-revolution to lead the great social revolution and has realized the overall improvement of the Party’s overall leadership and long-term governance capabilities."
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021",2. Deeply grasp the valuable experience of the Party’s self-revolution in the new era
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021","The Resolution highlights the course of struggle in the new era and systematically summarizes the historic achievements and historic changes of our party in upholding and developing socialism with Chinese characteristics in the new era from 13 aspects. The courage to pursue self-revolution and the comprehensive and strict governance of the Party are the distinctive features that run through the Party. Adhering to strict ideology, strict supervision, strict discipline, strict management of officials, strict style, and strict anti-corruption provides valuable experience for the party to continue to move forward on this new journey."
Leading the Great Social Revolution with Great Self-Revolution (Studying and Implementing the Spirit of the Sixth Plenary Session of the 19th CCP Central Committee),"People's Daily , Zhao Leji ","Nov 18, 2021","(1) Adhere to the armed forces of scientific theories and master sharp ideological weapons to transform the world. The Resolution points out that the Party’s century-long struggle demonstrates the strong vitality of Marxism. Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era is contemporary Chinese Marxism and 21st century Marxism and is an action guide for leading the Party’s great self-revolution and promoting the great social revolution. Since the 18th Party Congress, our party has insisted on taking the Party’s innovative theoretical armament as the foundation of its soul and has made great efforts to learn, understand, and grasp the Marxist positions, viewpoints, and methods contained therein so that scientific theories can truly be grasped and applied by the whole party. The ideological weapons of law and understanding to transform the world have been continuously transformed into a vivid practice of building a prosperous, strong, democratic, culturally advanced, harmonious, and beautiful socialist modernized country. Adhere to ideological building of the Party and the theory to strengthen the Party so that the whole party always maintains a unified thinking, firm will, coordinated action, and strong combat effectiveness and ensures that the great social revolution led by the Party always advances in the right direction."
