title,author,date_pub,full_text
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","In a televised address on the morning of February 24, Russian president Putin announced that a special military operation was being launched in the Donbas region, but said that there were no plans to occupy Ukraine. Some hours later that day, President Zelensky of the Ukraine announced that Ukraine and Russia were severing diplomatic relations. At this point, Russian and Ukrainian swords have crossed."
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","Unlike many other war scenarios since World War II, this war is being waged by two countries with Slavic ethnic majorities. It should be said that the Ukraine issue has a complex historical context, and the evolution of the situation up to the present is the result of the combined effect of various factors. Some sober strategists believe it is NATO’s eastward expansion, in which the United States and the West have continued the Cold War mentality, that has triggered the Ukraine crisis."
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022",1. Ukrainian-Russian friendship has been the main current for a thousand years
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","The Slavs are a Eurasian ethnic group, divided into Eastern Slavs, Western Slavs, and Yugoslavs. The ethnic majorities of Russia, Belarus, and Ukraine are all Eastern Slavs."
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","Around the 10th century A.D., Eastern Slav tribes combined to form the ancient Rus tribe. In order to change a fragmented situation of internal strife, the Eastern Slavs recruited the Varangian chieftain Rurik from Northern Europe to come reign in Novgorod, between present day St. Petersburg and Moscow. In the year 862, Eastern Slavs in Novgorod established the first Rus kingdom—the Rurik dynasty. Afterward, Grand Duke Rurik continued to penetrate inland, gaining control over some cities along the banks of the Dnieper River, including Kiev. The Varangians established a Slavic kingdom and started to Slavicize themselves. After Rurik died in 879, his successor, Oleg, led the Varangians in taking Kiev, then conquered several neighboring regions and established the Duchy of Rus, with Kiev as its capital. This was known in history as the “Kievan Rus,” or ancient Rus."
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","Thus, tracing the history of Russian and Ukrainian nations and peoples, there is no doubt that they are inextricably linked. On this point, China’s famous scholar and author of the book History of Russia, Zhang Jianhua, sees Kievan Rus, the Tsarist Empire, the Soviet Union, and the Russian Republic as a heritage relationship, included in the “general history of Russia.”"
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","Between the 12th and 14th centuries, the fragmented ancient Rus tribe split into three branches—Russians, Ukrainians, and Belarussians. From the14th century, Ukrainians began to break away from ancient Rus, forming a single nation with a unique language, culture and living customs."
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","In 1648, unable to bear Polish-Lithuanian rule, Ukrainian Cossacks launched a major uprising, which was suppressed by the Polish army. In 1654, the Ukrainian Cossack leader Bohdan Khmelnytsky asked Russia for protection and signed the Pereyaslav Agreement with the Russian Tsar, who was invited to rule Eastern Ukraine. At that time, Eastern Ukraine, located on the left bank of the Dnieper River, was officially merged with the Russian Empire, starting a period of alliance between Ukraine and Russia. Within the Empire as a whole, Russians generally called themselves “Great Russia” and accounted for 44%, while Ukraine was called “Little Russia” and accounted for 18%."
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","In 1954, to celebrate the “300th anniversary of the fraternal alliance between Ukraine and Russia,” Soviet leader Nikita Khrushchev led the Presidium of the Supreme Soviet of the USSR to pass a resolution giving the Crimean Peninsula, which had been included in the Russian Empire in 1783, from the Russian Soviet Federative Socialist Republic to the Ukrainian Republic as a “symbol of eternal friendship.” At the time, both Russia and Ukraine were both republics of the Soviet Union. In the final analysis, Crimea’s change of territory was carried out within one country, and did not make any big waves."
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","In the late 18th century, the Polish-Lithuanian kingdom became a vassal state of the Russian Empire. At the end of the 18th century, the Russian Empire colluded with Austria and Prussia to carve up all of Polish-Lithuanian territory, and all of Ukraine was incorporated into the territory of Tsarist Russia. In this period, the division of Ukraine into two lands, east and west, was evident. The people of eastern Ukraine, who were Eastern Orthodox and had been combined with Russia for over a century, were little different from Russians. The western Ukraine region, on the other hand, which was Catholic and had been part of the Polish-Lithuanian kingdom for more than a century, was dissatisfied with Tsarist Russian rule and clashed frequently with the east’s Eastern Orthodox adherents."
NATO’s Eastward Expansion Triggered the Ukraine Crisis,"Guangming Daily , Han Xianyang ","Feb 26, 2022","Russia’s February Revolution and October Revolution in 1917, which Ukrainian nationalists saw as a golden opportunity for independence, led to the establishment of the “Ukrainian People’s Republic.” Not long afterwards, the Bolsheviks also established the Ukrainian Soviet Republic in the east. Unable to resist the attack of the Soviet Red Army, the Ukrainian People’s Republic sought help from Germany, attacked Soviet Russia and occupied Kiev. After that, the Soviet Red Army defeated the armies of Petliura, Wrangel, and Makhno, and Ukraine became a political entity again. At the suggestion of Lenin, the Ukrainian Soviet Republic joined the Union of Soviet Socialist Republics as a state in 1922 and became one of the founding states of the USSR."
