title,author,date_pub,full_text
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","In the context of the intensified competition between China and the United States, the increasing downward pressure on the domestic economy, and the continuous impact of the COVID-19 pandemic, whether there is a period of strategic opportunity for China’s development has become a puzzle for many people.1 In this regard, the communiqué of the Fifth Plenary Session of the 19th CCP Central Committee in 2020 and the 14th Five-Year Plan for National Economic and Social Development of the People’s Republic of China and the Outline of Vision 2035 in March 2021 clearly pointed out that the current and future periods are still periods of important strategic opportunities for China’s development but that there are new developments and changes in both opportunities and challenges. This follows the notion raised by the CCP Central Committee in 2002 that “the first two decades of the 21st century, for China, is an important period of strategic opportunities that must be firmly grasped for making great achievements.” Once again, this prompts major strategic research and judgment on China’s development environment in the new era and puts forward higher requirements for China’s development and foreign exchanges in the future. Analyzing the origin, status quo, and trend of the “period of strategic opportunity” in the new era is of great practical significance for understanding the current internal and external environments facing China, and it is also a valuable guide for advancing the next round of deepening reform and comprehensive opening up."
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022",1. The ideological traceability and policy inheritance of the “period of strategic opportunity”
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","Chinese Communists have always had rich experience and great practice in identifying and seizing strategic opportunities.2 From accurately judging the overall situation, reversing the strategic situation, and finally winning victory in the War of Resistance Against Japanese Aggression and the War of Liberation, seizing contradictions between the United States and the Soviet Union and achieving strategic breakthroughs in the early days of the founding of New China, and excelling at grasping and taking advantage of strategic opportunities, it has always been the key for the Chinese Communists to assess the situation and make progress in their careers at a historical juncture."
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","Since the end of the Cold War, the CCP Central Committee’s thinking on strategic opportunities in the domestic and foreign environments can be roughly divided into three periods."
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","The first is the period of a spark of insight for the research and judgment of the “period of strategic opportunity.” In the early 1990s, with the disintegration of the Soviet Union, China’s reform, opening up, and modernization drive were at a new major historical juncture, and changes in domestic and foreign situations were elusive. Deng Xiaoping reviewed the current situation from a new historical height and made important expositions. In March 1990, Deng Xiaoping said in a conversation with a responsible comrade of the Central Committee: “There are many contradictions in the world… There are contradictions that we can take advantage of. There are favorable conditions for us. There are opportunities. The question is how we grasp them.”3 He also noted that there would be an era of peace in the world and an absence of a new world war, saying “… we must firmly grasp the center of economic construction and do not lose this opportunity… we must take advantage of the opportunity to develop China.”4 In December 1990, Deng Xiaoping once again put forward the idea of “making good use of opportunities to solve development problems,” saying that “the situation at home and abroad is better than we expected… if this is maintained for 50 or 60 years, socialist China will be invincible.”5"
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","Deng Xiaoping’s thoughts on “opportunity” and “occasions” and accurate analysis of the actual situation at home and abroad have had a profound impact on the convening of the 14th Party Congress and the opening of a new situation of socialist modernization. In October 1992, the report of the 14th Party Congress clearly pointed out: “Now the domestic conditions are in place, the international environment is favorable, there are both challenges and opportunities, and it is a good time for us to speed up our development.”6 By accurately judging the international situation and the stage characteristics of China’s domestic development, the CCP Central Committee formulated correct guidelines for foreign relations and domestic development policies and has continued to promote China’s rapid economic growth in the next three decades, the rapid improvement of people’s living standards, and the rapid rise of comprehensive national strength and international status."
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","The second is the period of policy formation for the research and judgment of the “period of strategic opportunity.” On May 31, 2002, Jiang Zemin first proposed the concept of a “period of strategic opportunity” in his speech at the Party School of the CCP Central Committee. In November of that year, the report of the 16th Party Congress officially adopted the formulation of “an important period of strategic opportunity” in a central document for the first time: “Looking at the overall situation, the first two decades of the 21st century are an important period of strategic opportunity where we can live and make a difference.”7 Since then, the central decision-making level has continued to use this formulation, and the emphasis on the seriousness of internal and external challenges has been continuously strengthened.8 The report of the 17th Party Congress in 2007 stated: “The opportunities are unprecedented, and challenges are also unprecedented, though the opportunities outweigh the challenges… We must seize and make good use of important strategic opportunities, be realistic and pragmatic, forge ahead, continue to build a moderately prosperous society in an all-round way and accelerate socialist modernization, and complete our noble mission as entrusted by the times.”9 In 2010, the Fifth Plenary Session of the Seventeenth CCP Central Committee further pointed out: “Based on a comprehensive assessment of the international and domestic situation, China’s development is still in a period of important strategic opportunities that can make great achievements, facing both rare historical opportunities and many foreseeable and unforeseeable risks.”10"
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","The cause of socialism with Chinese characteristics has entered a new era, and the research and judgment of the “important period of strategic opportunity” have not changed, but the emphasis on “opportunity awareness and risk awareness” has increased significantly. The report of the 18th Party Congress in 2012 emphasized: “We must accurately judge the changes in the connotation and conditions of the important period of strategic opportunity, fully grasp the opportunity, deal with the challenge calmly, win the initiative, gain the advantage, and win the future.”11 The 2014 Central Economic Work Conference continued, clearly emphasizing: “The judgment that China’s development is still in a period of important strategic opportunities that can make great achievements has not changed. What has changed is the connotation and conditions of the important period of strategic opportunity.”12 In October 2015, in the face of profound and complex changes in the international and domestic environment, General Secretary Xi Jinping once again clearly pointed out at the Fifth Plenary Session of the 18th CPC Central Committee: “Although the international and domestic environments have undergone profound and complex changes, our significant judgment to develop important occasions for strategic opportunity has not changed.”13"
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","Entering the second decade of the 21st century, the CCP Central Committee has deeply realized that the internal and external conditions and environments faced by the “important period of strategic opportunity” have produced many influencing variables that may be unfavorable to China’s development, and China has also nurtured and accumulated a large number of new development advantages. China’s development has long faced a dialectical relationship between “crisis” and “opportunity,” “internal” and “external” coordination, “disaster” and “blessing,” and “competition” and “integration.” Such expressions appear frequently in the documents of the CCP Central Committee. It can be seen that the strategic opportunity after the “first 20 years of the 21st century” has become an important topic of the CCP Central Committee. In October 2017, the report of the 19th Party Congress pointed out: “China’s development is still in an important period of strategic opportunity, the prospects are very bright, and the challenges are also very severe.”14 In May 2019, General Secretary Xi Jinping once again clearly pointed out in his speech when he chaired a symposium on the rise of the central region: “China is still in an important period of strategic opportunity for development, but the international situation it faces is increasingly complex. We must be soberly aware of the long-term and complex nature of various unfavorable factors at home and abroad and be properly prepared to deal with various difficult situations.”15 The prefix “still” before the “period of strategic opportunity” reflects the fact-seeking and calm strategic determination of the CCP Central Committee with Comrade Xi Jinping at its core, as well as the strategic perseverance for long-term continuation of domestic and foreign policies."
"On the Strategic Opportunity Period in the New Era: Origin, Status Quo, and Future","Journal of the Central Institute of Socialism , Wang Wen ","Aug 15, 2022","The third is the period of maintenance and extension of the research and judgment of the “period of strategic opportunity.” In 2020, at the end of the “first 20 years of the 21st century,” how to “maintain and extend the period of important strategic opportunity for China’s development” will be put on the agenda.16 The communiqué of the Fifth Plenary Session of the 19th CCP Central Committee added a temporal adverb to this statement for the first time, clearly stating: “At present and in the future, China’s development is still in an important period of strategic opportunity, but there are new developments and changes in both opportunities and challenges.”17 In March 2021, the 14th Five-Year Plan for National Economic and Social Development of the People’s Republic of China and the Outline of Vision 2035 adopted the same expression in the communique of the Fifth Plenary Session of the 19th CCP Central Committee through policy planning. This shows that in the view of the CCP Central Committee, at least until 2035, the “important period of strategic opportunity” will exist for a long time."
