title,author,date_pub,full_text
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022","At present, the global COVID-19 pandemic is still spreading, the global economy’s recovery is fragile, the challenges of climate change are pronounced, and China’s economic and social development tasks are extremely heavy and arduous. The Party Central Committee believes that, to address these once-in-a-century changes and the epidemic of a century, and to promote stable and healthy economic and social development, we must focus on the nation’s major strategic needs, stabilize the fundamentals of agriculture, do a good job of “three rural issues”1 work, and continue to comprehensively promote rural revitalization of the countryside, so as to ensure stable agricultural production, the steady increase of farmers’ income, and rural stability and peace."
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022","To do a good job of “three rural issues” work in 2022, we must: Be guided by Xi Jinping’s thought on socialism with Chinese characteristics in the new era; fully implement the spirit of the 19th Party Congress and all the plenary sessions of the 19th CCP Central Committee; deeply implement the spirit of the Central Economic Work Conference; adhere to the general work keynote of seeking progress while maintaining stability; ground our efforts in the new development stage, thoroughly implementing the new development concept, creating a new development pattern, and promoting high-quality development; promote common prosperity; adhere to and strengthen the Party’s overall leadership on work relating to the “three rural issues;” firmly adhere to the two bottom lines of assuring national food security and preventing large-scale return to poverty; give prominence to annual tasks, targeted initiatives, and practical guidance; fully bring into play the leadership role of rural grassroots Party organizations; and do a solid and orderly job of the key tasks of rural development, rural construction, and rural governance, so as to promote new progress in rural revitalization and make new strides in agricultural and rural modernization."
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022",I. Make every effort to ensure food production and supply of important agricultural products
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022","1. Stabilize annual grain planting area and production. Insist on the Chinese rice bowl being firmly in our own hands at all times, with that rice bowl being filled mainly with Chinese grain; fully implement the joint responsibility of Party and government for food security; and strictly assess the food security responsibility system, ensuring that grain planting area is stable and production is maintained at over 650 million metric tons. Maintain [grain planted] area and yield in main production areas, main marketing (consumption) areas, and areas where production and consumption are in balance; constantly improve the overall grain production capacity of the main production areas; effectively stabilize and improve the food self-sufficiency rate of the main consumption areas; and ensure basic grain self-sufficiency in areas where production and consumption are in balance. Promote the building of a national food security industry belt. Vigorously carry out green, high quality, and efficiency-oriented actions, deeply implement high-quality grain projects, and improve grain yields and quality. Promote in-depth water conservation and water use control in Yellow River basin agriculture, and stabilize the grain planting area by improving water use efficiency and developing dryland agriculture. Actively respond to the adverse conditions affecting wheat, including late sowing, strengthen winter and spring field management, and promote the strengthening of weak seedlings."
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022","2. Vigorously implement projects to boost soybean and oilseed production capacity. Increase farmland crop rotation subsidies and incentives for major oil crop-producing counties, with the focus on support for well-suited areas, key varieties, and agribusiness service entities; promote corn-soybean strip intercropping in the Yellow River-Huai River-Hai River, Northwest, and Southwest regions; carry out grain-soybean rotation in the Northeast; promote pilot projects on converting from irrigated to dryland farming and switching from paddy rice to soybeans in areas of excessive groundwater extraction in Heilongjiang Province; and in the Yangtze River basin, develop expanded rapeseed planting in winter fallow farmland. Carry out demonstrations of soybean planting on saline-alkali land. Support expansion of tea oil (Camellia oleifera) planting area, and transform and upgrade low-yielding forests."
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022","3. Assure the supply of “vegetable basket” products. Increase efforts to implement the mayoral responsibility system for “vegetable basket” 2 products (non-staple foods). Stabilize long-term support policies for hog production, stabilize basic production capacity, and prevent large fluctuations in hog production. Accelerate the expansion of beef, lamb, and dairy production, and promote pilot demonstrations of grassland animal husbandry transformation and upgrading. Stabilize the area under aquaculture and improve the quality of fisheries development. Stabilize the land area for year-round vegetable supply in large and medium-sized cities, vigorously promote the construction of facilities for vegetable cultivation in the northern region build bases for vegetables from the south to be shipped north, and improve capacity to guarantee vegetable supply in an emergency. Refine the target price policy for cotton. Explore the development of full cost insurance and planting income insurance for sugarcane. Carry out pilot projects on renewal and renovation of natural rubber and old rubber plantations."
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022","4. Reasonably assure farmers’ profits from grain production. In accordance with the requirements of the goal of allowing farmers to grow grain profitably, and encouraging enthusiastic grain production in main production areas, we shall strengthen mechanisms to assure farmers’ profits from grain production. In 2022, appropriately raise the minimum purchase prices for rice and wheat, stabilize producer subsidies for corn and soybeans as well as rice subsidies, and achieve full coverage of full cost insurance and planting income insurance in the main producing provinces and major grain-producing counties for the three major grain crops (wheat, rice, and corn). Increase the incentives for major grain-producing counties, and innovate mechanisms for cooperation between grain production and grain consumption areas. Support family farms, farmers’ cooperatives, and leading agricultural industrialization enterprises in planting more and better grain. Focusing on key weak links and small farmers, accelerate the development of agricultural social services, and support agricultural service companies, farmers’ cooperatives, rural collective economic organizations, grassroots supply and marketing cooperatives, and other types of entities in vigorously developing single-segment, multi-segment, and full-process agricultural production trusteeship services, to carry out contract farming, processing and logistics, product marketing, etc., so as to improve the comprehensive benefits of growing grain."
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022","5. Coordinate the regulation of important agricultural products. Strengthen the monitoring and early warning system for the entire agricultural product supply chain, promote the establishment of a unified system for the release of information on the supply and demand of agricultural products, and strengthen regulation and emergency response guarantees based on the category and variety [of agricultural product]. Deepen reform of the regulatory system and mechanisms in the field of grain purchasing and sale, carry out special rectification, and strictly punish systemic corruption according to law. Strengthen the construction of “smart” grain depots, promote both human and technological oversight, and bolster the dynamic supervision of grain stocks. Strictly control the processing of corn-based fuel ethanol. Do a good job in the production, storage, and transportation of fertilizer and other agricultural materials, so as to guarantee supply and price stability. Adhere to the priority of conservation, implement the food conservation action plan, deeply promote food saving and loss reduction throughout the whole chain of production, transportation, storage, processing, and consumption, strengthen food security education, and oppose food waste."
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022",II. Reinforce basic supports for modern agriculture
Opinions of the Central Committee of the Chinese Communist Party and the State Council on ‘Doing a Good Job in the Key Work of Comprehensively Promoting Rural Revitalization in 2022’,"Xinhua News Agency , Central Committee , State Council ","Feb 22, 2022","6. Implement hard measures “with teeth” to protect farmland. Implement joint Party and government responsibility for the protection of farmland, and strictly adhere to the red line of 1.8 billion mu [~120 million hectares/~297 million acres] of farmland. Consistent with order in terms of total farmland and permanent basic farmland, ecological protection red lines, and urban development boundaries, coordinate the delineation and implementation of these three control lines, decompose and allocate level-by-level the tasks and locations for the full amounts of farmland and permanent basic farmland protection targets, and have central and local governments sign cultivated land protection target responsibility documents to serve as inflexible targets for implementing strict assessment, one-vote vetoing 3, and lifelong accountability. Differentiate and clarify the use of farmland, and strictly implement order of prioritization for farmland use, in which farmland is to be used primarily for the production of grain, cotton, oil, sugar, vegetables, and other agricultural products, as well as forage and feed, permanent basic farmland should be focused on grain production, and high-standard farmland is, in principle, to be used entirely for grain production. Guide the new development of forestry and orchard industries on hills and mountainsides, encourage utilization of the “four kinds of barren” land resources, and avoid competition with grain for land. Implement and refine the policy on balancing farmland occupation and supplementation, establish whole-process regulatory mechanisms for the approval, implementation, acceptance, and stewardship of supplementary farmland projects, and ensure that the supplementary farmland can be used on a long-term and stable basis, achieving parity between the production capacity of farmland that is occupied for development and farmland that is supplemented in its place. Improve the national coordinated management approach to cross-provincial supplementation of farmland. Step up supervision of farmland-related law enforcement, and strictly investigate and deal with illegal occupation of farmland for non-agricultural construction. Strengthen the control of farmland use, and strictly control the conversion of farmland to land used for other agricultural purposes (for example, indoor livestock facilities). Consolidate and improve the safe use of contaminated farmland. In a steady and orderly fashion, carry out special pilot projects for rectification of the indiscriminate occupation of farmland for housing construction in rural areas. Consolidate the results of the special clean-up and rectification of the “greenhouse building” problem. Implement the review, audit, and risk prevention system for flows of industrial and commercial capital into rural land."
