title,author,date_pub,full_text
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022","Putin has been in power in Russia for more than 20 years since 2000. During this period, apart from recovering its growth at a higher rate with the help of high oil prices before 2008, since 2009, the Russian economy has been hovering at a low rate of growth and even fell into recession several times. The economic miracle that Putin has repeatedly promised has failed to materialize, and Russia’s position in the world economic system continues to decline uncontrollably. Thus, an important question naturally arises for the researcher: What causes such a result? There are, of course, different dimensions when studying this issue, and the results may also be a matter of opinion. I will attempt to explore the influence of political system and social ecology on Russia’s economic development from the perspective of the reaction of the superstructure to the economic base."
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022",1. Trajectory of Russian Economic Development
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022","According to the policy adjustment at the subjective level and the economic performance at the objective level, we can divide the Russian economic development over the past 20 years into four stages."
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022","The first phase, from 2000 to 2004, can be called the “reformist” period. During Putin’s first presidential term, the “Gref Program” was formulated and implemented, which the government adopted in 2000 as The Socioeconomic Development Strategy for the Russian Federation until 2010. During this period, the government advanced taxation, progressive pension and civil service reforms, passed the Land Law, vigorously removed administrative barriers to starting a business, and accelerated negotiations for Russia’s accession to the WTO. With these reforms, Russia’s economic growth accelerated, foreign investment inflows increased, and the ruble began to strengthen."
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022","The second phase was from 2004 to the first half of 2008, running through Putin’s second term as president. This stage can be called the “state capitalism” stage, and its most prominent feature was large-scale re-nationalization. Marked by the “Yukos Incident,” the Russian government tried to lead the economic revival by building a large state-owned enterprise behemoth. During this period, most reforms ceased, and major reforms continued only in the macroeconomic and financial spheres. The first phase of reforms, however, undoubtedly brought tangible results: The national debt was almost fully paid off, and a stabilization fund and a key element of a competitive banking system, the deposit insurance system, were established. Falling inflation and the introduction of deposit insurance have created new opportunities for the development of the financial sector and increased corporate and consumer lending. Macroeconomic stability and investment rating upgrades have contributed to a sharp increase in foreign investment. During Putin’s first two presidencies, the economy grew at an average annual rate of about 7 percent. In the decade from 1999 to 2008, Russia’s economy nearly doubled (GDP growth in dollar terms was higher, from $210 billion in 1999 to $1.8 trillion in 2008, a 7.5-fold increase, due to rising oil prices and foreign investment inflows that led to a substantial strengthening of the ruble). This was the most glorious decade in Russia’s modern economic history, with economic growth comparable to the economic recovery during the New Economic Policy (NEP) period and higher than the average annual growth rate of 5% during the Soviet Union’s industrialization under Stalin. Of course, in addition to the follow-up effects of the first-stage reforms, the sharp rise in international oil prices has become an important external factor for the relatively high-speed growth of the Russian economy in this decade. From 1998 to 2008, the average international oil price rose from US$13 per barrel to US$97, an increase of almost 6.5 times. Therefore, some Russian economists believe that high oil prices contributed to 30-50% of the economic growth under Putin’s first two presidential terms."
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022","The third stage is from the second half of 2008 to 2013, which covers the global economic crisis and Russia’s economic recovery. In fact, the high-speed growth of the Russian economy all but ended in 2008. Although the government formulated The Concept for Long-term Social and Economic Development of the Russian Federation 2020 in 2008 and put forward the development ideas of integrating into the global economic system, increasing investment in human resources, and realizing innovative development, however, with the advent of the global financial crisis, the plans proposed by the development concept have come to naught, and no substantial reforms have actually taken place. In the decade after the crisis (2010-2019), the Russian economy grew at an average annual rate of less than 2%. In January 2011, Putin instructed the HSE University and the Plekhanov Russian University of Economics to organize a large number of experts to formulate a new Strategy 2020. To this end, 21 working groups were set up to reformulate a comprehensive reform plan. The main goal of Strategy 2020 was to try to remove barriers to investment in business and human resources and create a “new model of economic growth.” At the same time, in order to participate in the 2012 presidential election, another plan for the development of Russia was released in 2012 and became Putin’s election platform. Its economic section was published in January 30, 2012 issue of Sputnik under the title We Need a New Economy. On May 7, 2012, after being re-elected as president, Putin signed the 12-item May Decree, one of which was a decree on the country’s long-term economic policy. He proposed to promote a fundamental improvement in the investment climate, reduce excessive state intervention in economic life, and predicted that this would increase labor productivity by half within seven years and increase investment to 27% of GDP. In reality, however, the promised reforms have not been implemented and the expected economic outcomes have not been realized. After a brief recovery after the 2010-2011 crisis, economic growth began to decline rapidly again."
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022","The fourth phase, from 2014 to the present, is the period in which Russia has become increasingly isolated and stagnant from the global economy in the wake of the Crimea crisis. In fact, the Russian economy was weak in 2013, when the economic growth rate was only 1.8%. The subsequent drop in oil prices, the Crimean crisis, Western sanctions, and the COVID-19 pandemic have hit the Russian economy hard, with an average annual growth rate of only 0.35% from 2014 to 2020. Russia’s GDP in dollar terms remained at 2008 levels, and its share of the world economy fell from 3% in 2008 to 2% in 2018. Investment did not grow to 27% of GDP, but stayed at 20-22%. Foreign investment declined and capital outflows accelerated, totaling US$320 billion from 2014 to 2018."
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022",2. Sociopolitical Roots of Economic Downturn
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022","There are undoubtedly many reasons why the growth of the Russian economy has grown from a relatively high speed to a sustained low level, such that it even fell into recession several times in the past 20 years. External factors such as falling oil prices and Western sanctions have indeed limited Russia’s economic development to a certain extent, the most fundamental reason, however, is that the political system, political culture, method of governance, social ecology, and other superstructure factors have made the endogenous power of economic development insufficient."
Political and Social Roots of the Russian Economy and Prospects for National Development,"Eurasian Economy , Feng Yujun ","Feb 14, 2022","Beginning with the Yukos incident in 2003, the previous institutional environment, which was based on a socialist market economy and the reduction of state intervention, gradually changed and gave way to a new political and economic system centered on political authoritarianism and state capitalism. The increasing vertical power system constantly changes the political atmosphere and social ecology in Russia and has had a significant negative impact on economic development."
