title,author,date_pub,full_text
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","Since the founding of New China more than 60 years ago, as the international situation and China’s domestic and foreign policies have evolved, China’s international military security crisis behavior has undergone profound changes. Especially in the last 20 years, in China’s national security decisionmaking mechanisms, crisis management mechanisms have been continuously strengthened, its guidelines and principles of crisis management have been increasingly enriched and developed, and China’s ability to carry out crisis management has been significantly strengthened."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","Based on the basic theory of crisis management, this paper focuses on the major international military security crises experienced by China. It compares, analyzes, and summarizes China’s crisis behavior (with particular attention to crisis management) in different periods, paints a general picture, summarizes its changes and the reasons for these changes, and puts forward prospects for its future development."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011",I. Definitions and research object
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","In order to discuss and summarize China’s international security crisis behavior, we must first provide clear and accurate definitions of key terms and our research object."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011",(i) On international military security crises
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","As normally defined, international military security crises refers to a situation where the relationships between countries are in a dangerous state where military conflict or even war may erupt. Such a crisis involves three factors: First, the core or major interests of the parties involved in the crisis are threatened. Second, there is a time limit or a sense of urgency. Third, there is a serious danger of military conflict. 1"
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","An international military security crisis is conceptually different from an international security crisis. The former is only a subset of the latter. International security crisis has a more expansive definition, including both traditional and non-traditional international security crises. The concept of an international military security crisis basically overlaps with the concept of a traditional international security crisis, mainly involving disputes over territory and sovereignty as well as geopolitical conflicts. In addition, under the new situation, it also involves certain non-traditional security crises, such as international terrorism crises and the proliferation of weapons of mass destruction. However, it is quite different from more non-traditional international security crises, such as financial crises, energy scarcity crises, and international crises that may be caused by climate change, environmental pollution, and the international spread of infectious diseases. The latter usually does not have the potential of directly triggering a military conflict."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","International military security crises are divided into potential and actual. When a relevant country (or countries) has a conflict of interest in military security, but the degree of confrontation or external conditions have not yet reached a certain critical point, the crisis is in the latent stage. At this stage, the crisis is called a potential crisis. When the degree of confrontation intensifies or the conflict of interests is rapidly exacerbated due to changes in external conditions, the possibility of military conflict increases sharply, and the potential crisis becomes an actual crisis. Of course, there are also some crises that persist for a long time with alternating periods of high and low intensity, so it is hard to divide them into potential and actual crises. In these crises, the sense of urgency is relatively diminished, but the inherent conflict of interests and the risk of triggering a military conflict are always there."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","Some international military security crises are called quasi-crises because their nature and extent are somewhat different. These crises involve relatively serious conflicts of military security interests and time pressure and may cause serious damage to the political and diplomatic relations of the relevant countries, but generally do not lead to military conflicts and wars.2 Such crises are mostly sudden or unexpected events that produce limited direct consequences. But even in such crises, the possibility of a misfire accidentally triggering a military conflict [擦枪走火, to accidentally shoot a gun while polishing it] remains serious. In addition, given the extreme urgency in time, the risk of a military conflict will rise sharply in the event of a miscalculation of the nature of the crisis."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011",(ii) On military confrontation and crisis management
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","In the face of an international military security crisis, crisis participants usually have two types of approaches: One approach is to determine to resolve conflicts of interest by military means in order to safeguard one’s own interests, even at the cost of war. This paper defines this approach as military confrontation. A military confrontation may be a proactive decision, an action forced upon the actor, or the result of the failure of crisis management. Another approach is to strive to safeguard one’s own interests on the one hand, while making every effort to control the risk of crisis escalation, prevent the outbreak of military conflicts, and gradually mitigate the crisis on the other hand. This is crisis management. In the process of crisis management, the two sides involved in the crisis usually adopt various crisis negotiation strategies, both gamesmanship and cooperation, both conflict and compromise. In most cases, successful military crisis management does not seek to resolve conflicts of interest, but rather looks to avoid worst-case scenarios.3"
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","In addition to the two clearly different crisis behaviors described above, a third situation sometimes occurs, whether crisis management is the main approach, but it is supplemented by military confrontation, with the latter approach serving the former. In this case, the degree of military confrontation is limited."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011",(iii) Research object
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","According to the above definitions, the research content of this paper involves the main international military security crises experienced by New China, including actual crises, potential crises, and quasi-crises. Such crises either occur directly between China and foreign countries, or although they occur between other countries, they lead to intervention by China because they have a significant impact on China’s national security interests. Among these crises, the Taiwan Strait crisis is particularly distinctive. The Taiwan question is a part of China’s internal affairs, but due to the long-term U.S. policy of interference in Taiwan, this issue has a certain “international character.” Military conflicts and crises between the two sides of the Taiwan Strait have repeatedly triggered military security crises between China and the United States."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","Among the many international military security crises that China has experienced, some have directly triggered military confrontations between China and foreign countries. Others have triggered military conflicts or even wars, although both crisis management and military confrontation have been combined in the development of the crises. Still, others were contained or mitigated by the practice of crisis management. This paper deals with two major international military security crisis behaviors practiced by China—military confrontation and crisis management. However, the focus of our research is on crisis management. The former approach is involved in order to better study and explain the latter, and to demonstrate the profound changes in China’s behavior in international military security crises."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","Many non-traditional security crises that are quite different from military security crises are outside the scope of this study, but the global nuclear proliferation crisis, especially around China’s periphery, provides an important context for our study. In addition, we should point out that, after the start of the 21st century, the crises and challenges brought about by international terrorism have attracted more and more attention from China. So far, China has been less involved in international crisis management in this area, but in the long run, it is inevitable that China will gradually intervene more in the future."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011",II. Overview of crises response
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011",This section is divided into two periods and provides a brief analysis of the major crisis events that China has experienced over the past 60 years.
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011",(i) Cold War period
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","When the People’s Republic of China was founded in 1949, the Cold War had already begun, and it lasted for more than 40 years after China’s founding. During this period, faced with frequent international military security crises, China repeatedly intervened in or became involved in military conflicts and wars."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","The Indochina War was the first war in which New China intervened. Shortly after the end of World War II, the Indochinese Communist Party, led by Ho Chi Minh, launched a struggle against French colonialism. In early 1950, they requested that China send troops to join the war. At that time, because they wanted to support the national liberation movement and eliminate the threat of Western colonial forces facing China’s periphery, the Chinese leaders did not hesitate to make the decision to aid Vietnam in resisting the French. However, after careful consideration, they decided not to send troops to join the war directly, but to intervene by sending a military advisory group and providing weapons and material assistance. In 1953, after the war in Indochina entered a state where the forces were evenly balanced, France tried to seek a compromise, but the United States wanted France to continue to fight, and actively planned to send troops to aid the French. Under these conditions, China participated in the Geneva Conference and worked hard on all parties to the conflict, especially the Vietnamese side. China made important contributions to the signing4 of the Geneva Armistice Agreement in July 1954."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","The Korean War was a major local war in which China was directly involved. The Korean War erupted on June 25, 1950. Very quickly, U.S. military intervention turned a Korean civil war into an international war and posed a serious threat to China’s national security. The Chinese leaders decided to prepare in two ways: On the one hand, they ordered troops to quickly concentrate on the border between China and North Korea, and on the other hand, they actively carried out diplomatic activities in the hope of easing tensions and preventing the war from expanding and directly involving China.5 At that time, China and the United States had no diplomatic relations, communication was very difficult, and there was a serious lack of mutual understanding. Due to these as well as other reasons, the United States wrongly judged that China could not send troops to take part in the war.6 After the U.S. military ignored a series of warnings from China in crossing the “38th parallel” on a large scale and approaching the Yalu River, the long-brewing major military confrontation became a reality even though both sides had wanted to avoid it. From October 19, 1950, when the Volunteers secretly crossed the Yalu River and went on to push the U.S. military back to the “38th parallel” to the signing of the Korean Armistice Agreement on July 27, 1953, the War to Resist U.S. Aggression and Aid Korea lasted for nearly three years. This war had a significant and far-reaching influence on the subsequent strengthening of military security crisis management between China and the United States."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","In 1954 and 1958, China twice launched military struggles against Taiwan in the Taiwan Strait known as the “shelling of Kinmen.” The goal of the former struggle (August 1954 to May of the following year) was to liberate the islands off the coast of Zhejiang, combat the harassment by Chiang Kai-shek’s army toward the coast of the mainland, and prevent the United States from signing a military alliance treaty with the Taiwan region. The goal of the latter struggle (August to October 1958) was to counter the harassment by Chiang’s army of the mainland of the motherland, take the opportunity to seize the islands off the coast of Fujian occupied by Chiang, and clarify the scope of the Mutual Defense Treaty between the United States of America and the Republic of China.7 In the two crises in the Taiwan Strait, the United States responded strongly both times, not only concentrating its forces on the Taiwan Strait, but also publicly issuing nuclear threats to China. Chinese leaders insisted on the military struggle against Taiwan, while at the same time trying to avoid direct military conflict with the United States. 8 They did not end military operations until some of the goals of the military struggle were achieved. Through these two military struggles, Chinese leaders clearly identified the bottom lines of the U.S. side and made important judgments: The United States is determined to protect the Taiwan region militarily, but it does not support the use of China’s coastal islands by Taiwan authorities to harass the mainland and is even less willing to become involved in a military conflict between the two sides of the strait on these islands; the Taiwan issue will be protracted due to U.S. interference. Mao Zedong decided to adjust his policy. He abandoned the original plan to capture the two islands of Kinmen and Matsu in order to oppose the United States’ attempt to create “two Chinas.”"
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","In 1962, a serious military conflict occurred between China and India concerning a territorial dispute. In the autumn of 1959, armed men from the two countries exchanged fire on the border for the first time. At that time, in order to ease tensions, China proposed to India in November that the two sides retreat from the Line of Actual Control, and unilaterally retreated 20 kilometers after the Indian side rejected the suggestion. In early 1960, after negotiating with some neighboring countries to demarcate boundary lines, China once again gave a concrete proposal to India for the signing of a boundary agreement, but this was once again rejected by the Indian side. At the end of 1961, India began to send troops to encroach on the disputed western sector. Then, in June of the following year, it began to cross the Line of Actual Control between the two sides in the disputed eastern sector in order to set up military points.9 In the face of China’s renewed proposal for negotiations, India stated that it could only discuss the issue of China’s “withdrawal.” In this situation, Chinese leaders made the judgment that India was taking advantage of the difficulties faced by China 10 to forcibly change the status quo on the border using a policy of military encroachment. In order to maintain the status quo along the border and maintain the stability of the border, China decided to conduct a border self-defense counterattack against India. On October 20, the People’s Liberation Army (PLA) launched an attack on the invading Indian army. In late November, China announced a ceasefire and withdrew its troops within 20 kilometers of the Chinese side of the Line of Actual Control."
Research on China’s Behavior in International Military Security Crises,"World Economics and Politics , Zhang Tuosheng ","Apr 14, 2011","The effort to aid Vietnam to resist the United States was China’s longest indirect military conflict with the United States during the Cold War. In August 1964, the United States comprehensively escalated the Vietnam War and began a policy of “strike the south and bomb the north” against Vietnam. China responded strongly, clearly announcing that it would send personnel to Vietnam to fight the U.S. military and attack any U.S. planes that invaded Chinese airspace.11 At the same time, China still hoped to prevent a direct large-scale military conflict with the United States and prevent the flames of the Vietnam War from spreading within China’s borders. In the first half of 1965, Chinese leaders sent the following messages to the United States through various channels: China had no intention of provoking a war against the United States, China’s response would be reciprocal, the United States must not cross the 17th parallel, and China would not send troops to southern Vietnam. If U.S. military operations against northern Vietnam were limited to naval and air operations, the participation of Chinese troops in the north would be limited to combat support.12 This time, the United States clearly noted the signals sent by China. Up to the end of the war, the United States did not launch a ground war against northern Vietnam, and it always strictly prohibited U.S. military aircraft from entering China on combat missions. After 1968, as the war transitioned to “Vietnamization,” the military security crisis between China and the United States gradually eased. In 1970, all Chinese support troops withdrew to China.13 In this crisis, the format and outcome of the confrontation between China and the United States were very different than in the Korean War. The two countries not only avoided direct military conflict, but also embarked on the road of de-escalation before the crisis was concluded.14"
