title,author,date_pub,full_text
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021","For Russia to achieve national revitalization, it is not a simple historical process. It requires both the support of the country’s citizens and a sound external environment. After President Vladimir Putin came into power, he launched a series of domestic and foreign strategies, hoping to achieve these ambitious goals and restore Russia’s status as a great power. Although Russia’s national strength has recovered significantly with the help of its resource advantages, due to the decade of impact following the international financial crisis and the Crimea crisis, Russia’s economic development has been sluggish, and social divisions have become increasingly serious. and the United States and Europe have continued to strengthen economic and diplomatic sanctions against Russia to weaken the country’s international influence. Against the background of the COVID-19 pandemic, drastic changes in the international landscape have created opportunities for Russia’s comprehensive revitalization but have also brought about unprecedented and severe challenges."
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021",1. Russia’s Great Power Revival: Basic Course and Target Selection
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021","After the disintegration of the Soviet Union, Russia fell at once into a serious crisis. The economy nearly collapsed, and the political situation was turbulent. When Putin became president in 2000, Russia was going through a very difficult historical period. Putin had a clear understanding of this: “For the first time in the past 200 to 300 years, Russia faces the real danger that it could be relegated to the second, or even the third tier of global powers.” From ordinary people to national elites, Russians began to long for the former glory of the Soviet Union and strongly hoped for national revitalization. Putin leaned into this appeal with confidence: “Russia was and will remain a great power. It is preconditioned by the inseparable characteristics of its geopolitical, economic and cultural existence.”1 Putin has made Russia a “great power on an equal footing with the United States” as his governing goal, which has been highly recognized by the people. The realization of Russia’s historic revival as a great power is regarded as the source of legitimacy for Putin’s long-term rule, and he has been in power steadily for more than 20 years."
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021",(1) Russia’s tortuous road to national revitalization
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021","If we examine Russia’s national revitalization in a cycle of about 10 years, then the first cycle is the period of Yeltsin’s reign (1991-1999). Due to the decision to expand the power of the Federal Assembly following the revision of the constitution, the Russian ruling authorities attached great importance to the election and made arrangements in advance to ensure that the political party United Russia could guarantee an absolute advantage in party elections and elections for single-seat constituencies, thus continuing to hold an absolute majority in the parliament. With this majority, they would be able to provide legislative support for Putin to formulate policies and introduce strategies, facing no obstacles in the appointment of important positions. In this way, they would guarantee the swift implementation of Putin’s orders, safeguard national sovereignty, and ensure social stability with a “strong” regime, providing a solid political guarantee for the implementation of Putin’s major policies and the strategic national revitalization. Although Yeltsin adjusted his diplomatic strategy after suffering international setbacks, implemented a “double-headed eagle” policy that took into account the East and the West, and established a strategic partnership of coordination with China in 1996, the economic transformation progressed slowly and economic development was stagnant for a long time."
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021","The second cycle spanned a longer period, including the eight years when Putin was first president and the four years when Medvedev was president and Putin was prime minister. At this stage, Russia seemed to be very close to Putin’s goal. The ruling authorities first strengthened the control of the central government over the localities, solved the Chechen problem that had plagued Russia’s national unity and security for many years, and then ruled out the threat to the regime from the oligarchs. Diplomatically, Russia got along well with Europe, and the relationship between Russia and the United States was rekindled. Even the “Five-Day War” with Georgia over South Ossetia in 2008 did not affect the relationship with the United States and Europe, receiving active mediation from France and Germany. Due to high energy prices, the economy has maintained high growth for several consecutive years, and the country’s wealth has increased rapidly, but it has also caused the economy to be highly dependent on energy, solidifying an untenable economic structure. After the outbreak of the global financial crisis, the Russian economy was hit hard, and it spread to other CIS countries."
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021","The third cycle ran from 2012 to 2021. Putin once again took over power from Medvedev, who had been in power for four years, despite opposition from the West, and soon encountered the crisis in Ukraine. The geopolitical confrontation with the West has led to severe economic sanctions from the United States and Europe, but Russia still maintains a strong aggressiveness in diplomacy, sending troops to Syria and putting forward the “Turn to the East” and “Greater Eurasian Partnership” plans. Russia has not been defeated by Western sanctions and remains strong on the international stage, though economic difficulties have hindered Putin’s dream of becoming a great power. The rapid deterioration of the COVID-19 pandemic and the international environment, coupled with the tremendous pressure of domestic social division, has forced Putin to change his strategic plan. The revival of Russia’s great power has also entered a new period of adjustment."
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021","With the help of the high price of oil, Russia’s GDP rapidly climbed from the 22nd in the world to the ninth in the world in the middle of the second cycle, returning to a level last seen before the fall of the Soviet Union. Since then, however, growth has remained stagnant. As the economy relies upon energy and raw materials, it is also often affected by price fluctuations in the international market. If you only look at economic performance, it seems difficult for Russia to maintain its original status. However, in terms of land area, resource endowment, and technological potential, it is hard to compare Russia to other countries. Russia’s military strength, in particular, still strikes fear in the United States. In fact, Putin’s national revitalization strategy reflects Russia’s real national interests to a considerable extent, and the country has begun to restore its self-confidence as a great power, which has been widely recognized by domestic elites and ordinary people alike. After Crimea returned to Russia in 2014, Putin’s approval rating in the polls soared rapidly, reaching as high as 89%, indicating that Putin’s strongman politics has a high degree of trust, known as the “Crimea Consensus.”"
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021",(2) Adjustment and change of social and economic development goals
"Russia’s Great Power Revival Strategy: Goals, Practices, and Challenges","Academic Journal of Russian Studies , Sun Zhuangzhi ","Dec 10, 2021","Economic strength is the most important manifestation of a country’s comprehensive strength, and the setting and completion of economic goals occupies a particularly important position in Putin’s national revitalization strategy. During Putin’s first term, energy prices in the international market brought rapid growth to the Russian economy, the country increased its investment in society, and people’s living standards were instantly and significantly improved. But affected by the financial crisis, Russia’s economy fell into a slump again, so Putin issued a broad plan to revive the society and economy after returning to the Kremlin in May 2012, known as the “May Orders.” The ambitious plan included 11 elements, covering social policy, improving health care and education systems, and addressing housing supply and the quality of community services. In Putin’s view, relying on strong state control and huge resource advantages, Russia could soon become a global economic power, and even at first, experts thought that the estimates were too conservative (if the annual GDP growth rate is not less than 8%, it could reach the level of Portugal or Spain in 15 years; if a growth rate of 10% is maintained, it can reach the level of the United Kingdom or France in 15 years). He believed that “we are not that far behind these countries, we can catch up faster.”2 Putin personally grasped the implementation of the “May Orders” and convened various government departments many times to listen to reports on the implementation of the orders. Many ministers were “rebuked” by the president for their poor implementation.3 There are many reasons for the failure of the “May Orders” to be completed on time, and the Western sanctions and withdrawal of capital after the Ukraine crisis is undoubtedly an important reason."
