title,author,date_pub,full_text
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022",I. Regarding general ideas
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","1. In building the basic systems for data, it is recommended that the fundamental goals be to fully realize the value of data elements, promote the development of the digital economy, and facilitate sharing by all the people in the dividends of data development, and that the main lines be to optimize the layout structure of data elements, guarantee the equal use of data by various social entities, and promote the compliant and efficient circulation and use of data."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","2. It is recommended that the focus be on empowering the real economy, supported by improving the development environment for data element markets, and enhancing security assurance ability, that the institutional barriers that hinder the supply, circulation, and use of data elements be removed, and that we link-up with and lead international high-standard digital rules."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022",II. Regarding the data property rights system
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","3. It is recommended that we explore the establishment of a modern data property rights system, and promote the orderly separation and circulation of related rights such as data holding rights and use rights, so as to meet demands for data circulation and use."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","4. It is recommended that we should recognize and protect the legitimate rights and interests of all data element participants, and rationally define the rights and obligations of all data element market participants"
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","5. It is recommended that we fully protect the legitimate rights and interests of data sources, and require that the consent of data sources should be obtaining, or legal reasons should exist, for data processors to hold, use, or license others to use data, so as to ensure that data sources enjoy the right to access or transfer the data they generate."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","6. It is recommended that data processors be allowed to manage their lawfully held data independently, so as to prevent acts that interfere with or violate the legal rights of data processors."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","7. It is recommended that we respect the labor expenditures of data processors, such as for data collection and processing, and recognize and protect their rights with respect to data acquired in accordance with legal provisions or contractual agreements, fully assuring the rights of data processors to use data and obtain benefits therefrom."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","8. It is recommended that the differentiated, graded, and authorized use of public data, personal data, and enterprise data be promoted, so as to strengthen the supply of high-quality data elements."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","9. For public data generated by government departments and institutions at all levels in their performance of administrative duties and business operations, it is recommended that all localities and departments be encouraged to clarify management departments, and exercise their duties of opening public data and authorizing usage on behalf of their respective regions and industries in a unified fashion."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","10. For enterprise data that is collected and processed by various market entities in production and business activities and does not involve personal information or the public interest, it is recommended that the right of market entities to hold, control, and benefit from the data be promoted, so as to ensure that the invested labor and other factor resources receive reasonable returns."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","11. For data that contains personal information, it is recommended that data processors should be encouraged to collect, hold, and use the data according to the scope authorized by individuals."
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022",III. Regarding systems for the circulation and trading of data elements
Some Views on Basic Systems for Data,National Development and Reform Commission (NDRC) ,"Mar 21, 2022","12. It is recommended that the rules for data circulation be further refined and standardized, and that a trading system be built that combines circulation in use with exchange-based and over-the-counter trading."
