title,author,date_pub,full_text
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017",Circular of the XUAR Party Committee Office
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017",[2017] Issue 53
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017",Speech at the First Plenary Session
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","(October 30, 2017)"
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","This plenary session is a very important meeting held under the new situation, wherein the whole Party and the whole country are full of pride in studying and implementing the spirit of the 19th Party Congress. The main tasks are to thoroughly study and implement the spirit of the 19th Party Congress, study and implement Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, implement the spirit of General Secretary Xi Jinping’s important speeches and important instructions on Xinjiang work, implement the Strategy for Governing Xinjiang of the Party Central Committee with Comrade Xi Jinping as its core (以习近平同志为核心的党中央治疆方略), especially the overall objective of social stability and long-term stability, and mobilize the vast ranks of Party members, and cadres and masses of all ethnic groups, in the region to unify their thoughts with the spirit of the 19th Party Congress, concentrate their strength to realize the tasks set by the 19th Party Congress, and write the Xinjiang chapter of the Chinese dream of the great rejuvenation of the Chinese nation in the new era."
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","Next, on behalf of the Standing Committee of the Party Committee of the Autonomous Region, I will give opinions on four aspects."
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","I.      Fully understand the epoch-making and milestone significance of the 19th Party Congress and strengthen the sense of political responsibility and historical mission to study, propagate, and implement the spirit of the 19th Party Congress"
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","From October 18 to 24, 2017, the 19th Party Congress was held in Beijing, attracting worldwide attention. This was a very important congress held at the decisive stage of building a moderately prosperous society in all respects and at a critical period when socialism with Chinese characteristics had entered a new era. It was a congress that started a new journey for the cause of the Party and the country at a new historical starting point. It was a congress that did not forget our original intention, remembered our mission, held the banner high, and forged ahead in unity. It was a congress that was an extremely important event in the history of the Party and had a profound influence on the world. It was a major event in the political life of the entire Party and the people of all ethnic groups nationwide. It was a great event of great concern to the international community. It was a milestone in the history of the Party, the history of the People’s Republic of China, and the history of the development of the Chinese nation and will surely be forever remembered in the annals of history."
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","The important report made by General Secretary Xi Jinping on behalf of the 18th Central Committee was given from a commanding height, was forward-looking, and mindful of the overall situation, grasped the general trends, reflected on the present in light of the past, looked to the future, and was profound, stunning, visionary, majestic, passionate, and inspiring. It gave an in-depth analysis of the development and changes of the international and domestic situation, a concise summary of the historic changes in the cause of the Party and the country since the 18th Party Congress, and scientifically-attained major political conclusions such as that socialism with Chinese characteristics has entered a new era and that the principal contradiction in our society has transformed into the contradiction between the people’s ever-growing needs for a better life and unbalanced and inadequate development. It systematically expounded Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, clearly put forward the basic strategy for upholding and developing socialism with Chinese characteristics in the new era, and profoundly answered a series of major theoretical and practical questions about upholding and developing socialism with Chinese characteristics in the new era. It fully laid out the great cause of socialism with Chinese characteristics in the new era and the great new project of Party building, further explicated the direction of advance for the undertakings of the Party and the country, and greatly inspired the high fighting spirit of the whole Party and the people of all ethnic groups nationwide to build a powerful modern socialist country in an all-round way. The whole speech shone with the light of the truth of Marxism. It is a good report that raises the flag, points the direction, clarifies the strategy, and draws a blueprint. It is a brilliant programmatic Marxist document, and it is the political declaration and action plan for our Party as we enter a new era, embark on a new journey, and write a new chapter. It is of great political significance. It solemnly declares to the world the answers to the important questions of what flag our Party will hold in the new era, what path it will take, what state of mind it will adopt, what historical mission it will undertake, and what goals it will fight for. It has unified the thinking and will of the whole Party, strengthened the “Four Consciousness” of the whole Party, firmed up the “Four Matters of Confidence” of the whole Party, and ensured that the cause of the Party and the country will always advance successfully in the right direction. It is of great theoretical significance. It proposes and expounds that Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era is the biggest highlight and the greatest historical contribution of the report to the 19th Party Congress. It has comprehensively enriched and developed Marxism and opened up a new realm of Marxism. It has written a new chapter of the Sinicization of Marxism, established the ideological banner of upholding and developing socialism with Chinese characteristics in the new era, and provided a powerful ideological weapon for guiding all the work of the Party and the country. It is of great historical significance. It clearly proposes that socialism with Chinese characteristics has entered a new era. It has calibrated the new historical orientation of China’s development, given the Chinese Communists a new historical mission in the new era, and issued marching orders to forge ahead in a new era and start a new journey. It is of great practical significance. It makes strategic arrangements for the development of socialism with Chinese characteristics in the new era, makes overall plans and deployments for work in all fields, and has lifted the practice of the great struggle, the great project, the great cause, and the great dream to a new level."
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017",The Work Report of the Central Commission for Discipline Inspection adopted by the congress thoroughly implements the spirit of the report to the 19th Party Congress and is permeated throughout with Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era. It gave a comprehensive summary of the historic achievements in comprehensively and strictly governing the Party and conducting a deep-reaching struggle against corruption under the strong leadership of the Party Central Committee with Comrade Xi Jinping as its core. It scientifically summarized the valuable experience gained in the past five years and fully reflected the firm determination of the Party Central Committee with Comrade Xi Jinping as its core to comprehensively and strictly govern the Party and win an overwhelming victory in the fight against corruption.
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","The amendments to the Party Charter adopted by the congress clearly proposed resolutely protecting the authority and centralized and unified leadership of the Party Central Committee with Comrade Xi Jinping as its core and established Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era as the guiding thought that our Party must adhere to over the long term. They fully embodied the achievements of the Party’s theoretical innovation, practical innovation, and institutional innovation since the 18th Party Congress and reflected the major theoretical viewpoints and major strategic ideas established in the report to the 19th Party Congress. They provided the fundamental criteria and guide to action in order to build the Party to be more vigorous and stronger, and make sure that the Party is always the vanguard of the times and the backbone of the nation, and that the Party is always a Marxist ruling party."
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","At the First Plenary Session of the 19th Central Committee, a new central leadership group with Comrade Xi Jinping as its core was elected. Comrade Xi Jinping was re-elected as General Secretary of the Central Committee and Chairman of the Central Military Commission. This is the choice of history, the people, and the times. It is the good fortune of the Party, the country, and the nation. It fully reflected the common aspiration of the whole Party, the whole army, and the people of all ethnic groups nationwide. At the same time, a group of experienced, morally upstanding, talented, and hard-working comrades entered the central leadership institutions, fully demonstrating that the cause of socialism with Chinese characteristics is flourishing and full of vitality."
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","The conscientious study, propagation, and implementation of the spirit of the 19th Party Congress are related to the overall situation of the work of the Party and the country, are related to the long-term development of the cause of socialism with Chinese characteristics, are related to the fundamental interests of the majority of the people, and are related to the social stability and long-term stability of Xinjiang. It is of major practical significance and far-reaching historical significance for mobilizing the whole region’s Party organizations at all levels and its vast ranks of Party members, and cadres and masses of all ethnic groups, to work tirelessly under the strong leadership of the Party Central Committee with Comrade Xi Jinping as its core, and under the guidance of Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, with full confidence to win a decisive victory in building a moderately prosperous society in all respects, win the great victory of socialism with Chinese characteristics in the new era, and realize the Chinese dream of the great rejuvenation of the Chinese nation."
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017",II.     Deeply comprehend the spirit of the 19th Party Congress and earnestly grasp the brilliance of Marxist truth that runs through it
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","To study the spirit of the 19th Party Congress, the key is to study the important report made by General Secretary Xi Jinping and the Party Charter, study Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, and work hard on studying to understand, on comprehending in full, and on putting concretely into practice, so as to deeply understand the theme of the 19th Party Congress, deeply understand the historical status and rich connotations of Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, deeply understand the historic changes in the cause of the Party and the country since the 18th Party Congress, deeply understand that socialism with Chinese characteristics has entered a new era, deeply understand the change in the principal contradiction in our society, deeply understand the historical mission of the Chinese Communist Party (CCP) in the new era, deeply understand the achievement of the first centenary goal and the march toward the second centenary goal, deeply understand the major deployments such as those in socialist economic construction, political construction, cultural construction, social construction, and ecological civilization construction, deeply understand the important deployments in national defense and military construction, work related to Hong Kong, Macau, and Taiwan, and diplomatic work, deeply understand the major deployment of unswervingly implementing comprehensive and strict Party self-governance,  grasp the ideological essence and core essentials, and effectively make use of this to arm the mind, guide practice, and press ahead with work."
Speech by Comrade Chen Quanguo at the First and Second Plenary Sessions of the Fourth Plenary Session of the Ninth Committee of the Xinjiang Uyghur Autonomous Region of the Chinese Communist Party,Chen Quanguo ,"Oct 30, 2017","(i) A new era accomplishes historical changes. In his report, General Secretary Xi Jinping pointed out that the five years since the 18th Party Congress have been an extremely remarkable five years in the development process of the Party and the country. Over the past five years, the Party Central Committee with Comrade Xi Jinping as its core has scientifically grasped the development trends of today’s world and contemporary China, adapted to practical requirements and the aspirations of the people, raised the flag to set the orientation and devised strategies, taken command of the great struggle, the great project, the great cause, and the great dream, and holistically promoted the “Five Spheres in One” overall layout and coordinated the promotion of the “Four Comprehensives” strategic layout. With great political courage and a strong readiness to shoulder responsibility, it has proposed a series of new concepts, new ideas, and new strategies, issued a series of major principles and policies, introduced a series of major measures, and promoted a series of major tasks. It has solved many difficult problems that for a long time solutions were hoped for but not found, accomplished many great things that had previously been wanted but not accomplished, and promoted historic changes in the cause of the Party and the country. The face of the Party, the face of the country, the face of the people, the face of the military, and the face of the Chinese nation have undergone unprecedented changes. These historic changes are comprehensive and groundbreaking, they are deep-seated and fundamental, and they have a significant and far-reaching impact on the development of the Party and the country. After long-term efforts, socialism with Chinese characteristics has entered a new era. This is a new historical orienting point in China’s development. The entrance of socialism with Chinese characteristics into a new era means that the Chinese nation, which since modern times has suffered so much, has welcomed the great leap from standing up and becoming rich to becoming strong and has welcomed a bright future for the great rejuvenation of the Chinese nation. It means that scientific socialism resounds with great vitality in 21st century China and has raised high the great banner of socialism with Chinese characteristics on the world stage. It means that the path, theory, system, and culture of socialism with Chinese characteristics continue to develop, and have opened up a path for developing countries to modernize, providing a brand-new choice for those countries and nations in the world who want to both accelerate their development and maintain their independence, and contributing Chinese wisdom and Chinese solutions to solving the problems of humanity. This new era is an era of inheriting the past and ushering in the future, continuing the past and opening up the future, and continuing to win the great victory of socialism with Chinese characteristics under new historical conditions. It is an era of decisive victory in building a moderately prosperous society in all respects and from there building a powerful modern socialist country in an all-round way. It is an era in which people of all ethnic groups throughout the country will work together in unity, constantly create better lives, and gradually realize common prosperity for all the people. It is an era when all Chinese sons and daughters work together with one heart and strive to realize the Chinese dream of the great rejuvenation of the Chinese nation. It is an era in which China is increasingly approaching the center of the world stage and continues to make greater contributions to mankind. With the entrance of socialism with Chinese characteristics into a new era, the principal contradiction in our society has transformed into the contradiction between the people’s ever-growing needs for a better life and unbalanced and inadequate development, which has introduced many new demands for the work of the Party and the state. That socialism with Chinese characteristics has entered a new era is of major significance in the history of the development of the People’s Republic of China and the development of the Chinese nation, as well as in the history of the development of world socialism and the history of human society. We must deeply realize that the most important and critical reason that the Party and the country can achieve brilliant achievements and historic changes is that our Party has General Secretary Xi Jinping as the core leader at the helm and has the strong leadership of the Party Central Committee with Comrade Xi Jinping as its core. We must resolutely protect the core position and authority of General Secretary Xi Jinping, resolutely protect the authority and the centralized and unified leadership of the Party Central Committee, and continuously push forward various undertakings in accordance with the requirements of the new era."
