title,author,date_pub,full_text
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","Recently, China’s first algorithm recommendation case was adjudicated, Beijing iQIYI Technology Co., Ltd. (hereinafter “iQIYI”) v. Beijing ByteDance Technology Co., Ltd. (hereinafter “ByteDance”)."
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","iQIYI claimed that it legally enjoys the exclusive right to the worldwide dissemination of the hit television show “Story of Yanxi Palace” over information networks. Without authorization, ByteDance used information stream recommendation technology on the Toutiao App which it operates to disseminate and recommend to the public short videos uploaded by users during the show’s broadcasting. These videos received a very high number of playbacks. Given that ByteDance knew, or should have known, that this was infringing content, it failed to perform its duty of reasonable care, there was subjective fault, and it had infringed on iQIYI’s right of information network dissemination for “Story of Yanxi Palace.”"
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","To this, ByteDance responded that the short videos involved were all captured and uploaded by users, while ByteDance itself had only provided information storage space services; it had fulfilled its duty of reasonable care, there was no subjective fault, and this did not constitute infringement."
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","The People’s Court of Haidian District, Beijing held that ByteDance had sufficient conditions, capabilities, and reasonable grounds to know that many of its Toutiao users had committed a large number of infringing behaviors, and that this constituted a case of “should know” as stipulated in law. The measures taken by ByteDance in this case had failed to reach the “necessary” level. ByteDance had not only provided information storage space services, but had also provided information stream recommendation services, and should have fulfilled a higher duty of care with respect to users’ infringements. In the end, the court held that ByteDance’s conduct in this case constituted assisted infringement, and ordered that ByteDance compensate iQIYI for 1.5 million RMB in economic losses and 500,000 RMB in reasonable litigation expenses, a total of 2 million RMB."
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","This case prompted people to think about tort liability in the use of algorithm recommendation technology. For example, how can we identify subjective fault and behavioral components of a platform when using algorithm recommendations? Does the platform have the obligation to review the specific content recommended by algorithms, and what is the legal basis for this? If the platform must undertake this obligation, to what extent does this obligation extend? As a provider of algorithm recommendation services, how can the platform effectively defend itself legally? Etc."
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","In fact, when a platform provides algorithm recommendation services, there are two difficulties in judging whether its recommendation behavior constitutes infringement."
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","First, the service model of algorithm recommendation is to obtain user authorization. The platform then pushes personalized content after analyzing user behavior through the algorithm. Although the right to decide to accept the pushed content rests with the user, the control over material actions, such as the generation and synthesis of specific content as well as the push method, time, frequency, and effect, rests with the platform. The question is whether, after accepting the user’s choice, the platform still needs to take the initiative to conduct a substantive review of the recommended content and methods, and based on this, judge whether the platform knows or should know the effect of its behavior and must bear the legal duty of care."
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","Second, based on the platform’s material control over the algorithm recommendation service, it should assume more obligations for the legal and regulatory compliance of the recommended content and formats. According to the controller principle ubiquitous in the data field, the determination of responsibility for platform algorithm recommendation behavior can also be handled with reference to the controller principle. That is, the platform, as the main controller of the algorithm recommendation service, has the first and primary responsibility, and it is necessary to clarify the effectiveness and appropriateness of necessary measures taken by the platform. In this way, we can identify and determine what obligations the platform should undertake in practice as a user and controller of algorithm recommendation technology as well as the legal defense rights enjoyed by the platform. At the same time, in addition to the platform’s duty of care with regard to the use of algorithm recommendation technology, should it also undertake necessary review responsibilities for the content and objects involved in the technology? If so, does this mean that the platform needs, to some extent, to intervene or restrict its users’ right to choose or even their right to self-determination with respect to information services?"
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","This once again raises the possibility of detracting from the rights and interests of users in order to regulate platforms. That is, for the purpose of consolidating or even expanding the platform’s duty of care, should they be granted more control powers? Although this could prevent and limit the harm caused by a platform’s abuse of algorithm technology and protect the legitimate rights and interests of other operators, it may also improperly detract from the legitimate rights and interests of consumers and users on the platform. If we want to balance the legitimate rights and interests of various subjects in the algorithm recommendation service process, this is an unavoidable problem. Further, at a deeper level, this involves finding a balance between regulating the use of algorithms and incentivizing algorithm innovation."
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022",How to Identify What a Platform “Should Know”
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","It is generally believed that “knows” (明知) implies that the platform is clearly aware of the existence of infringement. In practice, this is generally reflected in knowledge from a notification (通知知道) or “actual knowledge” (实际知道) about the existence of infringement through a channel such as a contract negotiation or business cooperation. The term “should know” (应知), meanwhile, indicates that, after fulfilling its reasonable duty of care, the platform should be aware of infringement. The former [“knows”] looks at whether the platform has actively intervened in infringing content and behavior, while the latter [“should know”] is more concerned with whether the platform has passively failed to fulfill its due duty of care obligations. At the same time, the latter is more complicated than the former."
Standardizing Platform Recommendations: It’s Not That Simple,"Caijing E-Law E, Chen Bing ","Mar 24, 2022","When investigating whether a platform “should know” of the existence of infringement, the judgment must take the platform’s duty of care and its performance thereof into account."
