title,author,date_pub,full_text
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","The world is currently undergoing profound changes unseen in a century. The whole world has entered a period of turbulent change, and the political and economic landscape is undergoing profound change, adding many uncertainties to China’s economic development and energy security. The energy industry itself is undergoing tremendous changes, a new global energy industry pattern is taking shape, the energy security situation facing China is changing, the 30.60 targets have created new demands for the development of China’s energy industry, and the connotations of energy security in the traditional sense have changed. How we plan China’s energy security under the new pattern and ensure national energy security given such profound changes is of great and far-reaching significance."
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021",1     Judgment on the Energy Security Situation Facing China
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","General Secretary Xi Jinping emphasizes that energy security is an overall and strategic issue related to the country’s economic and social development. At a time of rapid technological changes, increasingly fierce competition between major powers, and energy transition in full swing, China must have a thorough understanding of its energy security situation, see clearly the new risks it faces, and plan a new path for national energy security."
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","1.1     Resource security risk: overall global oil and gas resources are sufficient, and the overall resource supply is guaranteed if no extreme special events occur"
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","From the perspective of oil and gas resource supply in China, over the past 40 years of reform and opening, China’s economy has grown rapidly and has become the second-largest economy in the world. Coupled with the decline in domestic oil production in the past few years, China’s dependence on foreign oil has continued to rise. In 2017, it surpassed the United States to become the world’s largest crude oil importer. In 2020, China’s foreign dependence on crude oil reached 73%, and its dependence on foreign natural gas had also climbed to 43%. Judging from the data, China’s energy security issues seem to be more urgent and prominent. But from the perspective of global oil and gas resource supply, the current world oil and gas market is generally in sufficient supply, which is very much conducive to China making full use of the international market to expand resource channels. Since 2009, with the success of the “shale revolution” in the United States, the international oil situation has undergone fundamental changes. At the same time, with the continuous progress of exploration and development technology, especially after 2014, oil production in the United States, Norway, Brazil, and Canada has continued to grow, the oil market’s resource supply is sufficient and it is generally in a state of oversupply. In addition, technological advances have meant that resource supply is no longer the main issue for energy security. Tremendous progress in S&T makes the potential resources of energy supply very rich. According to BP’s forecast, by 2050, the world’s proven fossil fuel resource reserves will have increased from 2.9 trillion barrels of oil equivalent to between 4.6 trillion and 4.8 trillion barrels of oil equivalent, nearly doubling. Thus, before 2035, when China has achieved moderately prosperous society in all respects and the basic realization of socialist modernization, the international oil and gas supply situation which China faces should be relatively relaxed, with ample guarantees for diversified import sources. In addition, from the perspective of oil demand, due to the development of electric vehicles and hydrogen energy technology, the century-old trend of continuous and rapid increase in oil demand is now being reversed. It is expected that peak oil demand will be ushered in from 2025–2030, after which China’s dependence on foreign oil and gas will experience a declining trend. Based on a comprehensive judgment, China’s oil and gas resource supply risks will not become more and more urgent, but will rather become more and more relaxed as the oil peak approaches."
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","1.2     Energy price risk: it will be hard for oil prices to reach a high of more than $100, and the risk of price surges is small"
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","Throughout the century-old history of energy development, due to the scarcity of oil and gas resources, past geopolitical conflicts to a great degree stemmed from oil, which caused the market to rise and fall. For a China which is highly dependent on imports, high oil prices increase foreign exchange expenditures, driving a rise in the price of goods, reducing GDP growth, and negatively impacting economic development. From the perspective of the development trend of future geopolitical conflicts, things will still be very complicated and serious and even aggravated."
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","The United States’ “shale oil and gas revolution” has made the U.S. the world’s largest oil producer and net exporter. After 2020 it achieved full energy independence, and began pursuing the formation of a new “energy hegemony” on the global energy map. In recent years, it has often played its card of having the power to control energy, and it has continuously suppressed Iran’s crude oil exports, sanctioned Venezuela to reduce crude oil exports, and has threatened to sanction Russia and Germany’s natural gas pipeline projects, adding variables to the whole world’s energy trade and international cooperation. At the same time, the development of S&T has also made the geopolitical forms of conflict more sensitive, fragile, and unpredictable. For example, in 2019, under the “double insurance” offensive of Yemen’s Houthi armed drone fleet and cruise missiles, Saudi Arabia’s oil production capacity was instantly “chopped in half,” and the world’s output of refined oil fell by five percentage points. Fortunately, however, in the bigger context of increasingly loose oil and gas resources, the high sensitivity of oil prices to geopolitical conflicts has been greatly reduced. Generally, there will be no long-term fluctuations following geopolitical events, and the oil supply pattern and logic of oil price changes have been quietly changing. Therefore, it can be judged that regardless of future intensifications of geopolitical conflicts, the emergence of a large-scale global oil crisis like that of the 1990s is today almost impossible. Even if there were to be large-scale turmoil in the Middle East and direct conflict between world powers, oil prices could, over a short period, fluctuate sharply to a high of more than $100 but in the long run, the energy transition will bring downward pressure on oil and gas prices. It is expected that future oil prices will for a long time remain at a relatively stable level of $50~$70 per barrel, and there will not be a long-term risk of high oil prices which would have a negative impact on the Chinese economy."
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","1.3     International trade cooperation risks: great power maneuvering and conflict  intensifies, global cooperation, seaway blockades, and trade sanctions risks grow"
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021","With the intensification of maneuvering and conflicts between major powers, energy security and the environment for international cooperation deteriorate sharply. Even if future resource supply is relatively sufficient, it is necessary to fully estimate and prepare for the high degree of uncertainty in energy trade cooperation brought about by high geopolitical risks. It is estimated that the risks mainly come from several dimensions. First, the security risks of major international shipping channels are rising, and hidden dangers affecting strategic oil and gas channels are increasing. In particular, the security of China’s oil import transportation relies on sea transportation and the Malacca Strait waterway and oil and gas shipping companies fear sanctions, and their oil and gas transportation business in sensitive countries being restricted. Second, the risk of trade sanctions has increased. Due to the distribution of some oil and gas production in sensitive areas, Chinese energy companies may enter entity sanctions lists, and overseas fund settlement accounts may be frozen, hindering oil and gas trade with sanctioned countries. Third is the risk of international energy cooperation projects. In the context of intense great power maneuvering, due to the implementation of “long-arm jurisdiction” by the United States, some countries have a reduced willingness to cooperate in projects with China and may even refuse to do so, the introduction of key energy technologies and core oil and gas equipment faces blockages, and the “stranglehold” problem is becoming increasingly apparent. The United States and its allies are trying to obstruct the Belt and Road Initiative, and the energy cooperation projects which China and the resource countries along the Belt and Road have in place or have been negotiating will become more uncertain, and once shelved or canceled, initial investments will become sunk costs. Therefore, it is necessary to intensively establish bottom-line thinking and plan in advance for possible risks and coping strategies."
Strategies for Breaking Through China’s Energy Security Constraints Under the New Pattern,"Petroleum & Petrochemical Today , Fu Wenli ","Jun 1, 2021",1.4     Supply structural risk: the general trend of energy transition determines that the focus of long-term energy security risks will shift from oil and gas to electricity
