title,author,date_pub,full_text
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","At present, China-U.S. and China-Japan security relations are facing extremely and relatively great security risks, respectively. Strengthening crisis management has become the primary and strategic task in China-U.S. and China-Japan security relations. If crisis management is ineffective and security frictions lead to military crises or even military conflicts, China-U.S. relations will inevitably move towards full confrontation; China-Japan relations may once again lose opportunities for improvement and development and fall back into tension and confrontation."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","Since the end of the Cold War, China-U.S.-Japan security relations have become the most important group of trilateral security relations concerning peace, stability, and development in East Asia and the Asia-Pacific region. Specifically, China-U.S. and China-Japan security relations have faced ups and downs and have had a great influence on one another. At present, with the great changes in the international situation, these two groups of relations have entered a critical moment."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","At the end of 2017, as the Trump administration of the United States made major adjustments to its China policy, the United States began to apply pressure on China in various fields such as politics, economics, S&T, military security, and people-to-people and cultural exchanges, resulting in a serious deterioration of China-U.S. relations. At present, China-U.S. security relations are facing high risks. Once a crisis breaks out, it will be extremely difficult to manage and control. Under this situation, strengthening crisis management has become the top priority in China-U.S. security relations and a strategic task for the two countries to avoid entering into a cold war or even a hot war."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","Quite unlike China-U.S. relations, after years of serious deterioration and fierce collisions and with the joint efforts of both parties, China-Japan relations returned to a normal development track in 2018. However, the security relationship is still the weakest bond in the relationship between China and Japan, and the situation of high security risks on both sides has not fundamentally changed; negative factors in security relations are on the rise yet again. Under this situation, strengthening crisis management has also become the primary task in the security relationship between China and Japan; its success or failure will have a decisive impact on whether the overall relationship between China and Japan can continue to develop in the direction of stability and improvement."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","This paper first discusses the differences, frictions, and risks in the China-U.S. and China-Japan security relations, analyzes the serious harm they may bring to bilateral relations, and points out the extreme importance of China-U.S. and China-Japan strengthening of crisis management. Secondly, it analyzes and compares the situations of crisis management awareness, crisis management mechanism construction, and security and defense dialogues between China and the United States and China and Japan and clarifies the direction of efforts by China and the United States and China and Japan to strengthen crisis management. Finally, based on the above analysis, some policy suggestions are put forward on how to strengthen the crisis management between China and the United States and China and Japan."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021",I. China-U.S. and China-Japan security risks and the necessity and urgency of strengthening crisis management
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021",(i) China-U.S. security risks and the necessity of strengthening crisis management
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","Since the end of 2017, for the first time since the end of the Cold War, China-U.S. relations have experienced a comprehensive and serious deterioration. At present, the most striking are the trade war, tech war, and diplomatic war between China and the United States, as well as the possibility of “comprehensive decoupling” and the “political and ideological battle” between the two countries. However, the greatest risk is the military security friction between the two sides. If China and the United States cannot manage this effectively, China and the United States may not only have a military crisis but may even have a serious military conflict."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","At present, the greatest security risk between China and the United States lies in the Taiwan Strait. This is not only because cross-Strait relations have deteriorated again since 2016, and the views of China and the United States on the DPP Tsai Ing-wen regime are severely opposed, but also because the United States has been playing the “Taiwan card” to exert pressure on China. Under this situation, the situation in the Taiwan Strait has entered the most dangerous moment since the end of the Cold War. In the past three years, PLA military planes and warships have repeatedly flown and sailed around the island of Taiwan to implement military deterrence against “Taiwan independence” and external interfering forces. With the obvious intensification of military operations between China and the United States in the Taiwan Strait, the possibility of a military crisis or military conflict in the Taiwan Strait due to misjudgment or miscalculation has risen sharply. The bigger risk is that if the “Taiwan independence” forces and foreign intervening forces openly cross the red line set by China’s Anti-Secession Law, China will be forced to use non-peaceful means, including military means, to fight against separatism. Under this situation, China and the United States may fall into military conflict or even war in the Taiwan Strait."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","The second major risk in the China-U.S. security relationship is military friction in the South China Sea. In recent years, while the United States has publicly intervened in disputes over sovereignty and rights between China and its neighbors, as it continues to strengthen military reconnaissance of China’s approaching, intensifying the “Freedom of Navigation Operation” (FONOP) in the waters surrounding Chinese-owned islands and reefs in the South China Sea, and frequently dispatching more strategic weapons platforms, including aircraft carriers, into and out of the South China Sea, it has also held several joint military operations and large-scale joint military exercises with its allies in the South China Sea. Former U.S. Secretary of State Mike Pompeo issued a statement on the South China Sea in 2019, completely denying China’s claims to sovereignty and rights and interests in the South China Sea, in an attempt to intensify maritime disputes between China and relevant countries in the South China Sea and undermine the negotiation between China and ASEAN countries to establish the South China Sea code of conduct and joint efforts to maintain stability in the South China Sea. Under this severe situation, the PLA has vigorously strengthened the surveillance and expulsion of U.S. ships and aircraft that conduct close-in reconnaissance and FONOPs in the South China Sea and has conducted more military exercises, including missile test launches, in the South China Sea."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","It must also be pointed out that, whether in the Taiwan Strait or the South China Sea, although the U.S. military has continuously proposed that it is willing to strengthen crisis communication and management with the PLA, the U.S. government has adopted an approach of near-maximum pressure on China politically, diplomatically, and militarily. This greatly increases the risk of military crises and conflicts between the two sides."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","In addition, in the China-U.S. security relationship, a long list of actual and potential risks can also be drawn: For example, the nuclear dialogue between the United States and the DPRK has completely broken down, and the situation on the peninsula has grown ever tenser; the United States and its allies have strengthened their anti-missile deployment against China in East Asia; the United States deploys land-based intermediate-range and low-yield tactical nuclear weapons in the Asia-Pacific; outer space and cyber security incidents have occurred between China and the United States; there is an arms race between China and the United States in the development of non-nuclear strategic weapons, AI weapons, and hypersonic weapons; there have been maritime incidents with China and Japan."
Strengthening Crisis Management is the Top Priority in Current China-U.S. and China-Japan Security Relations,"China International Strategy Review , Zhang Tuosheng ","Dec 31, 2021","After the end of the Cold War, the Taiwan Strait crisis broke out between China and the United States from 1995 to 1996, and then in 1999 and 2001, the embassy bombing and aircraft collision occurred successively. Since the China-U.S. relationship was mainly based on contact and cooperation at that time, and both sides paid attention to the overall situation of the relationship between the two countries, the three crises were relieved relatively quickly. In the period after 2012, with the escalation of the North Korean nuclear crisis and the maritime crises between China, Japan, and the Philippines, the risk of China and the United States being involved in crises and conflicts due to third-party factors has increased significantly but the risk of a direct military crisis between the two countries is small. However, the current situation has changed significantly. China-U.S. relations have changed from a “cooperation-competition” relationship to a seriously unbalanced “competition-cooperation” relationship. Even in the “strategic competition relationship,” confrontation factors between the two countries have increased significantly. Military and security frictions between the two sides continue to intensify, military dialogues and exchanges are rapidly declining, and the security relationship is seriously deteriorating. Under such circumstances, if China-U.S. military security frictions trigger a military crisis, the risk of a military conflict will be greatly increased, and crisis management will be much more difficult than in the past. Moreover, once the military crisis gets out of control, a military conflict may quickly plunge China-U.S. relations into the abyss of a “new cold war.”"
