title,author,date_pub,full_text
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022","Solving the Taiwan issue and realizing the complete reunification of the motherland is the unswerving historical task of the CCP, the common will of all Chinese sons and daughters, and an inevitable requirement for realizing the great rejuvenation of the Chinese nation. Our party has made unremitting efforts for a long time, advancing with the times, formulating and implementing policies for Taiwan, and vigorously promoting the process of national reunification. Since the 18th Party Congress, the CCP Central Committee with Comrade Xi Jinping at the core has comprehensively promoted innovation in the theory and practice of Taiwan work, firmly grasped the dominance and initiative in cross-strait relations, and continuously strengthened the time and trend of complete reunification of the motherland. In the new era and new journey, we must thoroughly study and implement the Party’s overall strategy for solving the Taiwan issue in the new era and strive to advance the process of national reunification."
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022",Glorious history of the CCP’s continuous struggle for the reunification of the motherland
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022",The CCP has always been committed to the happiness of the Chinese people and the rejuvenation of the Chinese nation. It has united and led the sons and daughters of the Chinese people to continuously strive for the national long-cherished wish and historical mission of accomplishing the great cause of the reunification of the motherland and has written a glorious chapter in the Party’s century-long struggle.
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022","During the period of the New Democratic Revolution, our party actively cultivated Taiwan’s revolutionary forces, guided the establishment of the Communist Party of Taiwan, supported compatriots in Taiwan in resisting Japanese colonial rule, made a clear stand for the recovery of Taiwan, helped form the Taiwan Volunteer Team and other anti-Japanese armed forces, and has united all Chinese people, including compatriots in Taiwan, to fight bloody battles, win the great victory of the Anti-Japanese War, and to realize the return of Taiwan to the motherland."
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022","During the period of socialist revolution and construction, our party put forward an important proposition for peaceful settlement of the Taiwan issue, thwarted both Taiwan authorities’ attempts to “counter-attack the mainland” and the United States’ attempts to create “two Chinas,” and promoted the formation of a situation in which the international community recognizes the one-China principle, in order to resolve the Taiwan issue and lay the necessary foundation for the realization of peaceful reunification."
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022","In the new era of reform and opening up and socialist modernization, our party has established the basic policy of “peaceful reunification and One Country, Two Systems.” We have promoted the breaking of the long-term isolation between both sides of the Strait and reached the 1992 Consensus that embodies the one-China principle. We have promoted cross-Strait negotiation and consultation and have begun exchanges and dialogs between political parties on both sides of the Strait. We will open up a path for the peaceful development of cross-Strait relations and realize the comprehensive and direct bilateral “Three Links.” The formulation of an anti-secession law has effectively thwarted various attempts to create “two Chinas,” “one China, one Taiwan” and “Taiwan independence.”"
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022","In the new era of socialism with Chinese characteristics, our party has grasped the changing times of cross-Strait relations and has enriched and developed the theory of national reunification and principles and policies towards Taiwan. We have established the basic strategy of adhering to “One Country, Two Systems” and promoting the reunification of the motherland and have put forward five major policy propositions to promote the peaceful reunification of the motherland in the new era. It is clear that adhering to and improving the institutional system of “One Country, Two Systems” and promoting the peaceful reunification of the motherland are important contents of adhering to and improving the socialist system with Chinese characteristics and advancing the modernization of the country’s governance system and governance capacity. To this end, we have put forward the general strategy of the new era Party to solve the Taiwan issue. Based on the fundamental interests of the Chinese nation, we must accurately grasp the historical trend, effectively manage the complex situation in the Taiwan Strait, firmly grasp the dominance and initiative in cross-Strait relations, and lead the development of cross-Strait relations in the right direction. We must promote the realization of the first meeting and direct dialog and communication between leaders of the two sides since 1949, making a historic breakthrough and setting a new milestone. We must adhere to the one-China principle and the 1992 Consensus and take important steps to promote dialog and consultation from all walks of life on both sides of the Strait. Adhering to the concept of “Both Sides of the Taiwan Strait as One Family,” we will continue to deepen the integration and development of the two sides of the Strait, continue to improve the well-being of compatriots in Taiwan, and broadly gather the mighty forces that will jointly move towards peaceful reunification. We must strengthen and shape the general trend of opposing “independence” and promoting reunification, resolutely curb “Taiwan independence” separatist acts and interference by external forces, resolutely defend national sovereignty and territorial integrity, and consolidate and develop the one-China structure of the international community."
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022","At present, the realization of the great rejuvenation of the Chinese nation has entered an irreversible historical process, and we are more qualified, confident, and capable of accomplishing the great cause of national reunification."
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022",Fundamental compliance and action plan for Taiwan work in the new era
Striving to Advance the Process of Reunification of the Motherland in the New Era and New Journey,"People's Daily , Liu Jieyi ","Jul 7, 2022","Since the 18th Party Congress, General Secretary Xi Jinping has coordinated the overall strategy of the great rejuvenation of the Chinese nation and the great changes in the world unseen in a century. His instructions put forward a series of new concepts, new ideas, and new strategies, forming the Party’s overall strategy for solving the Taiwan issue in the new era and providing a fundamental follow-up and action plan for the work on Taiwan. To excel in our work on Taiwan in the new era, we must fully implement the Party’s overall strategy for solving the Taiwan issue in the new era."
