title,author,date_pub,full_text
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","On September 21, 2021, President Xi Jinping proposed the Global Development Initiative during the general debate of the 76th United Nations General Assembly. This is another major public product that China has provided to the international community."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","Development is the master key to solving all problems, and it is also the aspiration of all countries. As a contributor to global development, from the Belt and Road Initiative in 2013 to the Global Development Initiative in 2021, China has contributed Chinese wisdom, Chinese solutions, and Chinese strength to solving development problems and development deficits."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022",China Power: Driving a New Transformation from International Development to Global Development
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","At present, developing countries are still the “prone areas” of global development problems and face severe challenges in implementing the 2030 Agenda for Sustainable Development. The World Bank’s 2022 Global Economic Outlook pointed out that the risk of a “hard landing” in developing countries is rising. Not only is the debt problem of developing countries far from resolved, some countries and regions have even returned to poverty and chaos as a result of the pandemic, and the failure of governance in some developing countries has added complexity to the global development deficit. Under the existing development framework, North-South cooperation is progressing slowly, and ODA to developing countries from developed countries is less than half of the pledged amount. In particular, the least developed countries are still far behind the global pace in achieving the Sustainable Development Goals."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","Not only has the original development process of developing countries stagnated and regressed, but developed countries are also facing new development challenges. Since the outbreak of COVID-19, the development achievements accumulated by the international community over the years have been severely eroded, and developing countries have faced unprecedented shocks and tests. In July 2021, UN Secretary-General Guterres said: In 2020, there will be 720 million to 811 million people facing hunger in the world, an increase of about 161 million people compared with 2019. The data shows that in terms of achieving the Sustainable Development Goals by 2030, the world is “largely off track.” The post-pandemic recovery of the world economy is struggling, with inflation in some developed countries rising to multi-year highs, and interest rate hikes in the United States and Europe posing stagflation challenges to the global economy. There are also many people in developed countries who are living in dire predicaments, and social problems frequently occur. The ongoing turmoil in Ukraine has had a serious impact on the economy of the eurozone, international energy and food prices have continued to rise, and global supply chain disruptions have intensified. The North and the South still have a cognitive mismatch with regards to the global development deficit, and the fragmented global consciousness has become a major obstacle to global development cooperation."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","The great changes unseen in a century and the COVID-19 pandemic are intertwined and superimposed, calling for global development to move towards a new stage of balance, coordination, and inclusiveness. According to the United Nation’s 2021 Sustainable Development Goals Progress Report, the pandemic has slowed down the progress of 17 goals under the 2030 Agenda for Sustainable Development, and even reversed in some areas, with the Human Development Index declining for the first time in three decades. In the past, the mechanism of international development was still centered on the West, with a few developed countries holding the power to formulate rules and set agendas. President Xi Jinping proposed the Global Development Initiative, emphasizing the achievement of “stronger, greener, and healthier” global development to enhance the representation and voice of developing countries in international affairs, fully demonstrating the great practical significance of China’s firm determination to attach importance to common development and promote the realization of global development."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022",The China Plan: Global Development Initiative and the Belt and Road Initiative
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","It is against the background of this era that the Global Development Initiative and the Belt and Road Initiative, as dual programs provided by China for the world, place the promotion of common development in a prominent position and form a new force and a new point of integration. It can be seen that the development dimensions of the Global Development Initiative and the Belt and Road Initiative are highly compatible, the processes are connected, and the platforms are mutually reinforcing, which are in line with their respective development stages and tasks, and conform to the laws of global development. Based on the theory of Marxist internationalism, this provides strategic guidance and fundamental compliance for development and cooperation in the new era."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","In terms of cooperation, the Belt and Road and Global Development initiatives, as innovative concepts, provide strategic guidance and fundamental compliance for development cooperation in the new era. The 2030 Agenda is a negotiation consensus of 193 countries around the world, fully expressing the concerns and cares of all countries in the world, and providing a common discourse system for South-South cooperation and North-South dialogue under the Global Development Initiative and the Belt and Road Initiative. The core concepts of the Global Development Initiative and the Belt and Road Initiative are people-centric, adhere to the principle of extensive consultation, joint contribution, and shared benefits, and combine Chinese concepts with the needs of the world. In 1994, China was the first among more than 190 countries in the world to release its own sustainable development action plan – China’s Agenda 21. Entering the 21st century, China’s status as a major developing country has not changed, nor has its empathy for the concerns and needs of other countries. The core of the Global Development Initiative is to promote common development, with the undertones of development priorities, upholding the primacy of people, inclusiveness, innovation, harmonious coexistence between man and nature, and the action-oriented “Six Commitments” and the goal of building a community with a shared future for global development. “The destiny of all mankind is closely related, and the interests of all countries are closely linked.” We ultimately must promote the construction of a community with a shared future for all of mankind."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","In key areas, the 17 goals of the 2030 Agenda are highly compatible with the five areas of the Belt and Road’s policy communication, facility connectivity, unimpeded trade, financial integration, and people-to-people bonds. The Global Development Initiative and the 2020 UN Decade of Action plan echo one another, focusing on the most pressing issues currently facing developing countries, such as poverty alleviation, food security, economic recovery, education and health and offering “21st century solutions.” Focusing on a series of basic issues, such as why development is needed, for whom development is needed, whom development relies on, and how to develop, the two initiatives promote one another in key areas and jointly contribute to the realization of the Sustainable Development Goals. By giving play to the important platform role of the Belt and Road Initiative, we will focus on building a healthy silk road, a green silk road, a digital silk road, and an innovative silk road and will jointly build large-scale key projects and “small but beautiful and effective” projects. When promoted alongside the Global Development Initiative, we can focus on the development needs of developing countries and continuously enhance the sense of happiness, gain, and security of local people. The World Bank’s Belt and Road Economics report predicts that by 2030, the Belt and Road Initiative is expected to help 7.6 million people in related countries escape from extreme poverty and 32 million people escape from moderate poverty, injecting new impetus into global development cooperation."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","In agenda setting, the Global Development Initiative and the Belt and Road Initiative are the main drivers of global South-South cooperation. On the one hand, China has incorporated specific sustainable development goals into its national mid- and long-term development plans and has made them clear and detailed in key special plans to promote the effective alignment of the sustainable development agenda with the 14th Five-Year Plan and the 2035 vision. China has also vigorously carried out foreign aid and international development cooperation in the new era and has provided an important cooperation platform for building a community with a shared future for mankind. On the other hand, China works with international and regional organizations, especially the United Nations system and has translated documents such as the Memorandum of Understanding on Advancing the Belt and Road Initiative and the 2030 Agenda for Sustainable Development, and Action Plan for the Implementation of the 2030 Agenda for Sustainable Development Initiative to Support Industrialization in Africa and the Least Developed Countries into practical action; China has also strengthened strategic cooperation with emerging market countries and has coordinated with the development process of small island, landlocked, and least developed countries. China has formed a consensus on the Belt and Road Initiative with two-thirds of the world’s countries and one-third of major international organizations. The launch of the Friends of the Global Development Initiative marks an important step in the construction of the initiative’s cooperation mechanism."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","Chinese Wisdom: Sustainable development is good development, and development together is true development"
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","The Global Development Initiative countdown has already begun, with 17 Sustainable Development Goals and 169 targets that must be achieved by 2030. The Global Development Initiative and the Belt and Road Initiative were proposed by China and belong to the world. They grasp the pulse of global development and urgent needs and have received positive responses and extensive support from the international community, showing strong resilience and vitality. To further achieve mutual promotion and synergy between the Global Development Initiative and the Belt and Road Initiative, it is necessary to promote implementation from three dimensions."
Synergies Between the Global Development Initiative and the Belt and Road Initiative,"Beijing Daily , Chen Chao , Wang Yiwei ","May 27, 2022","The first is to unite developing countries and further unleash the potential of South-South cooperation. Within the framework of South-South cooperation, we will help other developing countries to implement the 2030 Agenda for Sustainable Development within our capacity and respect the equal development opportunities and rights of developing countries. We will follow the action guidelines for pragmatic cooperation, seize development opportunities in the fields of digital economies, vaccine cooperation, connectivity, and green development and carry out joint self-improvement. We will adhere to the principles of “common but differentiated responsibilities” and require developed countries to live up to their words and deeds and support developing countries in their green and low-carbon transformations. We will explore new economic forms and new development models to help developing countries promote economic and social recovery and development."
