title,author,date_pub,full_text
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018","Since the 1980s, the mainland has taken a series of measures to ease Cross-Strait relations and promote the opening of Cross-Strait exchanges in order to break the ice of isolation between the two sides of the Strait. On October 14, 1987, the relevant person in charge at the State Council issued a speech, expressing a “warm welcome to Taiwan compatriots to visit relatives and travel in the mainland of the motherland.” Inspired by the mainland’s policy and the joint efforts of compatriots on both sides of the strait,1 as well as Taiwan’s abandonment of the policy of “no contact, no negotiation, and no compromise,”2 the door to Cross-Strait exchanges has finally been opened. In the past 30 years, great progress has been made in the development of cross-Strait relations. However, it should also be noted that since the structural contradictions between the two sides of the Strait still exist – in particular, the separatist forces on the island of Taiwan are still unwilling to give up their political persistence, the development of Cross-Strait relations is still turbulent. In particular, the Taiwan Strait crisis and Cross-Strait risks continue, seriously affecting the stability of cross-Strait relations and the situation in the Taiwan Strait. With the opening of the door to cross-Strait people-to-people interactions, the real needs of mainland China to deal with the Taiwan Strait crisis and risks have greatly increased. However, since there is no existing processing model to learn from, it will undoubtedly increase the pressure on the mainland to improve its ability to deal with the Taiwan crisis and Cross-Strait risks. Nonetheless, mainland China has continuously strengthened its crisis management capabilities in dealing with the Taiwan Strait crisis and Cross-Strait risks, which has generally guaranteed the stability of the Taiwan Strait region and the development of Cross-Strait relations."
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018",I. The Taiwan Strait Crisis and Cross-Strait Risks in the 30 Years since the Opening of Cross-Strait Exchanges
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018",(i) The Taiwan Strait Crisis and the Basic Types of Cross-Strait Risks
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018","Since 1987, although the two sides of the Taiwan Strait have written a moving chapter from hostility to reconciliation, the process has been anything but easy, and crises and risks have not been uncommon, having caused considerable impacts on cross-Strait relations and the situation in the Taiwan Strait. These crises and risks are mainly manifested in the following ways:"
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018",1. Military security crises and risks
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018","Crises begin with conflicts, with the possibility of war. This is the broadest description of a crisis. Crisis, as a special situation, has a time pressure and requires decisions. Crises are often highly correlated with chaos and turmoil. Generally speaking, a military security crisis is the most aggravated crisis state among actors and usually refers to a unique phenomenon that lies between peace and war. Since 1949, there have been many military security crises and risks between the two sides of the Taiwan Strait. Even in the past 30 years since the door to people-to-people exchanges across the Strait was officially opened, there have been serious Taiwan Strait crises. For example, in 1995, Lee Teng-hui’s visit to the United States and his provocative remarks detonated a major military security crisis in the Taiwan Strait that lasted from 1995 to 1996. This kind of crisis not only caused huge risks to cross-Strait relations but also almost made the situation in the Taiwan Strait approach the brink of war.3 The military security crisis is undoubtedly the most serious of all types of crises across the Taiwan Strait, its level of confrontation is the most intense, and its crisis management proves the most difficult."
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018","As far as the nature of cross-Strait relations is concerned, since the two sides of the Strait have not officially ended the state of hostility, nor have they signed a cross-Strait peace agreement, there has always been a hidden danger of a military security crisis on both sides of the Strait. However, judging from the development of cross-Strait relations in the past three decades, the military security crisis has not become the protagonist of cross-Strait crises and risks. In fact, with the continuous expansion and deepening of cross-Strait non-governmental exchanges, the frequency of cross-Strait military security crises has been decreasing. Cross-Strait military security crises are extremely harmful and can easily lead to intervention by external forces. Coupled with its high cost, the willingness of all parties to trigger a military security crisis is reduced, such that, objectively speaking, endogenous forces can restrain the outbreak of a cross-Strait military security crisis."
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018",2. Political conflict crisis and risk
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018","Structure determines function, and function reacts to structure. Political conflict crises always exist in the interaction of cross-Strait relations, and it is also the most likely trigger of cross-Strait crises and risks. Its influence is mainly manifested in increasing the emotional distance between people on both sides of the Strait, and even causing an emotional rupture that radiates out, affecting the political sentiment of the people on both sides, infecting their political behavior, increasing political estrangement, and worsening the political environment on both sides of the Strait. The frequent occurrence of political conflicts and crises between the two sides of the Strait is mainly attributable to structural contradictions between the two sides of the Strait. From the emergence of the Taiwan issue to today, there have been competitions and struggles between the two sides in terms of ideology, political system, values, and representation. Although Resolution 2758 passed by the 26th UN General Assembly in 1971 has resolved the question of the legitimate representative of China on both sides of the Taiwan Strait from the perspective of international law and international political reality, the situation within Taiwan is very complicated, and serious differences still exist. Moreover, the essence behind this difference is not all that substantial: Whether it is Blue Camp’s formulation of the “one China, two representatives” or the Green Camp’s “separatism” proposition, the logic behind it, of course, still means dealing with the political positioning and identity representation of the Taiwan authorities. The aforementioned problems are of course structural problems that have existed in cross-Strait relations for a long time and are also the main reason for the frequent outbreak of cross-Strait crises and cross-Strait risks over the past three decades. Political conflict crises and risks in cross-Strait relations can be divided into the following:"
Taiwan Strait Crisis and Risk Management: The Case of 1987-2017,"Taiwan Studies , Chen Xiancai ","Feb 20, 2018","1. Cross-Strait crises triggered by Taiwan’s pursuit of international engagement. Any attempt by Taiwan to expand international participation, especially to join an international organization that only sovereign states can participate in, may lead to incidents and the risk of cross-Strait political conflict. In fact, the confrontation and conflict between the two sides in the field of foreign affairs is a major contributor to the tension in the Taiwan Strait and cross-Strait risks. This constitutes a structural problem in the cross-Strait relationship. In the absence of a final solution to the Taiwan issue, such crises and risks naturally cannot be completely eliminated. Although different political parties are in power in Taiwan, and the magnitude and intensity of foreign-related crises across the Taiwan Strait are different, the nature of foreign-related crises has not changed all that much."
