title,author,date_pub,full_text
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022","The conflict between Russia and Ukraine has been going on for two months and at present there is still no sign of a turnaround or improvement. With the unprecedented economic sanctions and unreasonable suppression of Russia by Western countries led by the United States, in reality, this conflict is no longer a simple battle between two countries—Russia and Ukraine—but is a struggle in the geopolitical relationship between the United States and Russia and over world energy hegemony. In today’s world, geopolitics and energy strategies are intertwined. As long as any country touches the “network” of U.S. global hegemony and refuses to submit to its will, no matter how big or small, how powerful or weak, at some point, it will inevitably experience the sanctions and pressure which Russia is currently suffering."
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022","How, from an energy perspective, to explore the problems and risks brought by the Russia-Ukraine conflict, what “after-effects” it will bring, what insights China needs to derive from it, and what preparations we need to make to take preventive measures, is a set of strategic questions which deserve everyone’s serious consideration."
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022","Specifically, the Russia-Ukraine conflict will bring the following ten revelations for China’s energy security:"
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022",Revelation 1: The energy rice bowl must be firmly grasped in our own hands
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022","Energy is both the lifeblood of a modern economy, and the cornerstone of modern society’s survival and development. Every leap in the development of energy leads to the rapid progress of human production technology and promote the rapid development of productivity. Whether it is from the age of charcoal to the age of coal, or from the age of coal to the age of oil, or the subsequent development of atomic energy and the entrance onto the stage of a flurry of new energy sources, these developments have all brought new vitality to civilizations that have been close to a standstill. If you cannot keep a firm hold of your country’s energy lifeline in your own hands, all that’s left is to passively take a beating."
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022","Current European sanctions on Russia’s energy sector are akin to throwing out the baby with the bathwater or, as the saying goes, sacrificing 1,000 to kill 800 enemy troops: Germany suspended the certification of the famous Nord Stream 2 natural gas pipeline project, meaning the completed gas pipeline is not carrying gas. Western energy giants in quick succession each withdrew from the Russian market, collectively restricting Russian coal, oil, and gas imports. Fortunately, Russia is a big energy country, so there is no need to worry about energy being put in a stranglehold by Western countries. For others, such an energy blockade would be the same as a death sentence."
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022",Revelation 2: The establishment of an RMB-denominated energy trading system should be accelerated
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022","Finance is at the heart of the modern economy. Since the start of the conflict, Western countries’ economic sanctions against Russia, especially financial sanctions, have stopped at nothing. Nearly half of Russia’s foreign exchange reserves have been frozen by Western countries, and SWIFT, the common international payment method, has excluded them, causing Russia’s economy to be instantaneously “isolated” by the West. Then there has been a string of different dazzling “list-pulling” methods such as canceling Russia’s trade most-favored-nation treatment and freezing the huge assets of Russian oligarchs."
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022","In this regard, as the world’s largest net energy importer, China must take precautions and participate more actively in the international financial system. We must work faster to drive the internationalization of the RMB, act with initiative to promote the construction of the energy and derivatives market system, and continuously improve the rules and regulations of Shanghai crude oil futures to accelerate the establishment of a “petro-RMB” system denominated in RMB. We must actively build a natural gas trading system for RMB pricing and settlement and strive to explore the establishment of a new energy RMB pricing and settlement system so as to continuously amplify our voice in the international energy field."
Ten Revelations from the Russia-Ukraine Conflict Concerning China’s Energy Security,"Energy , Xu Jin ","May 10, 2022",Revelation 3: Ensuring diversification of energy supply is imperative
