title,author,date_pub,full_text
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022","This year marks the 10th anniversary of the establishment of the China-Central and Eastern European Countries (China-CEEC) Cooperation Mechanism. Over the past 10 years, what irreplaceable role has this mechanism played in promoting relations between China and Central and Eastern European countries? How are things today? Looking into the future, how will the China-CEEC cooperation mechanism continue to be deepened and solidified and how can it continue to serve the overall development of China-CEEC relations and even China-EU relations? Focusing on the above issues, some members of the Fudan Europe Watch academic community (an academic community spontaneously formed by young scholars of European issues at Fudan University) and special guests conducted in-depth discussions on this issue and expressed their views as follows."
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022",Brief introduction of the experts of the Fudan Europe Watch academic community (in no particular order):
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022","Jian Junbo: Deputy Director and Associate Researcher of the Center for China-EU Relations, Fudan University"
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022","Ma Bin: Associate Researcher, Center for Russian and Central Asian Studies, Fudan University"
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022","Peng Chongzhou: Postdoctoral Fellow, School of International Relations and Public Affairs, Fudan University"
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022",Special guests: (in no particular order):
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022","Gao Xiaochuan: Deputy Director and Associate Researcher, Center for Central and Eastern European Studies, East China Normal University"
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022","Song Lilei: Professor of School of Politics and International Relations, Tongji University, Deputy Director of Center for European Studies"
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022",Achievements and Challenges of China-CEEC in the Past 10 Years
The 10th Anniversary of Cooperation Between China and Central and Eastern Europe: How to Continue to Maintain Steady Progress in the Future,"The Paper , Fudan Europe Watch ","Jul 2, 2022","Jian Junbo: The China-CEEC mechanism has developed and achieved fruitful results in the past 10 years, mainly as follows:"
