title,author,date_pub,full_text
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","This is part of General Secretary Xi Jinping’s speech at the Central Economic Work Conference on December 8, 2021."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","As we enter into a new stage of development, China’s internal and external environment for development has undergone profound changes, and there are many new major problems that need to be correctly understood and grasped. Here, I focus on a few issues."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","The first issue: we must correctly understand and grasp the strategic goals and practical ways to achieve common prosperity. “The wealthy people of a country must care about enriching the common people.” The creation and distribution of wealth is a major issue faced by all countries. For some western countries, as social wealth has continued to grow so has wealth disparity and polarization. In some Latin American countries, income is not high, but the distribution gap in wealth is very large. Under China’s socialist system, it is not only necessary to continuously liberate and develop social productive forces, and to continuously create and accumulate social wealth, but also to prevent polarization, and to earnestly promote the all-around development of human beings and the common prosperity of all people to achieve more obvious and substantial progress. In the past, we were egalitarian at a low-income level. After the reform and opening up, some regions and some people became rich first, and the income gap gradually widened. The improper accumulation of some wealth has brought risks and challenges to the healthy operation of the economy and society."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","Common prosperity is the essential requirement of socialism with Chinese characteristics. What should the path to common prosperity look like? We are currently exploring this. To achieve the goal of common prosperity, we must first make the “cake” bigger and better through the joint efforts of the people of the whole country, and then correctly handle the relationship between growth and distribution through reasonable institutional arrangements, so as to divide the “cake” well. This is a long-term historical process. We must create conditions, improve systems, and steadily move towards this goal."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","It is necessary to strengthen employment as a priority in order to promote high-quality development. Employment is the foundation of people’s livelihood. Employment is the driving force of economic growth, so it is important to continuously promote the expansion of employment and the improvement of the quality of employment. It is necessary to support the development of small, medium and micro enterprises and give full play to their role as a channel for employers. It is necessary to learn from the lessons of some Western countries’ economic transitions from the “real to the virtual,” 1 continue to expand the real economy, and create more high-quality jobs. It is necessary to increase investment in human capital, improve the quality of education, strengthen vocational education and skills training, improve the quality of workers, better meet the needs of high-quality development, and effectively prevent large-scale unemployment risks."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","It is important that everyone is performing their assigned function and role. It is necessary to properly handle the relationship between efficiency and fairness, and build basic institutional arrangements for primary distribution, redistribution, and coordination of three distributions. We must adhere to the principle of distribution according to work, increase the proportion of labor remuneration in the initial distribution, and improve the policy of distribution according to different factors. It is necessary to give full play to the role of redistribution, and increase the adjustment of taxation, social security, transfer payments, etc., and improve the accuracy of record keeping. It is necessary to give full play to the role of the Third Distribution Theory, 2 and guide and support willing and capable enterprises and social groups to actively participate in public welfare and charitable undertakings without engaging in “forced donations” in the form of moral kidnapping."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","It is necessary to improve the public service policy system. To promote common prosperity, we must not engage in “welfare”. Some Latin American countries in the past have engaged in populism, and welfare in these countries has raised a group of “lazy people” with unearned incomes. As a result, the countries’ financial systems were overwhelmed and fell into the “middle-income trap” 3, that they were unable to extricate themselves from for a long time. Welfare benefits cannot decrease if they go up, and “Welfare-ism” that exceeds one’s ability is unsustainable, and it will inevitably bring about serious economic and political problems! We must adhere to doing our best and do what we can, focusing on improving the level of public services, accurately providing basic public services in the fields of education, medical care, elderly care, housing and other areas that the people are most concerned about, and taking care of the most basic needs of life for people in need, without raising the expectation of welfare to cover all expenses, or providing empty promises."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","The second issue: correctly understand and grasp the characteristics and behavioral laws of capital. Marx and Engels did not envisage that a market economy could be developed under socialist conditions, and of course they could not foresee how socialist countries would treat capital. Although Lenin and Stalin led the socialist construction of the Soviet Union, at that time the Soviet Union implemented a highly centralized planned economic system and basically did not encounter large-scale capital problems. To engage in a socialist market economy is a great creation of our party. Since it is a socialist market economy, it will inevitably produce various forms of capital. Although there are many differences between capital in capitalist society and capital in socialist society, capital is all about chasing profits. “The key to uniting the people is to manage their wealth appropriately 4. We should explore how to play the positive role of capital under the conditions of a socialist market economy, while effectively controlling the negative role of capital. In recent years, due to lack of awareness and lack of supervision, capital has expanded in a disorderly way, manipulated arbitrarily, and made huge profits in some areas of our country. This requires regulating the behavior of capital, seeking advantages and avoiding disadvantages, not allowing “capital predators” to act recklessly, but also giving full play to the function of capital as a factor of production. This is a major political and economic issue that cannot be avoided."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","In practical work, the following points should be paid attention to. To set “traffic lights” for capital. “Traffic lights” apply to all means of transportation on the road, and the same is true for capital. All types of capital cannot run amok. To prevent the savage growth of some capital, we must fight against monopoly, profiteering, sky-high prices, malicious hype, and unfair competition. Effective supervision of capital should be strengthened in accordance with the law. The socialist market economy is an economy ruled by law, and capital activities must be carried out in accordance with the law. To curb the disorderly expansion of capital, it is not the absence of capital, but the orderly development of capital. Relevant laws and regulations that are not perfect should be improved as soon as possible, and those with existing laws and regulations should be strictly enforced and supervised. To support and guide the healthy development of capital norms. It is necessary to uphold and improve the basic socialist economic system, unswervingly consolidate and develop the public economy, unswervingly encourage, support, and guide the development of the non-public economy, and promote the healthy development of the non-public economy and the healthy growth of people in the non-public economy."
The Correct Understanding of Major Theoretical and Practical Problems of China’s Development,"Qiushi , Xi Jinping ","May 15, 2022","The third issue: correctly understand and grasp the supply guarantee of primary products. For a big country like ours, ensuring the supply of primary products is a major strategic issue. It is necessary to strengthen strategic planning and make early adjustments to ensure supply security."
