title,author,date_pub,full_text
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022",The Great Significance of Expanding the Middle-income Population to the Promotion of Common Prosperity
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022","Achieving common prosperity is the essential requirement of socialism, the essence of the socialist system with Chinese characteristics, an important feature of the Chinese-style modernization path, and the common expectation of all the people. Expanding the middle-income population and improving the pattern of income distribution are the keys to achieving substantial progress in promoting common prosperity. Since reform and opening up, the Party and the state have always regarded expanding the middle-income population to be the top priority for improving income distribution and have made clear strategic deployments. The 16th Party Congress proposed that “with the goal of common prosperity, we must expand the proportion of middle-income people and raise the income level of low-income people,” revealing the important relationship between expanding the consumption of the middle-income population and economic development. The 17th Party Congress pointed out that “we must basically form a rational and orderly income distribution pattern, with the middle-income population in the majority,” linking the expansion of the middle-income population with the improvement of the income distribution pattern. The Third Plenum of the 18th Central Committee proposed that we must “work hard to narrow the income distribution gap between urban and rural areas, regions, and industries, and gradually form an olive-shaped distribution pattern.” The 19th Party Congress further raised the expansion of the middle-income population to the level of development strategy and raised the “middle-income population ratio” to become the first stage goal of the “two-step” development strategy for the period from 2020 to the middle of this century, indicating that the Party Central Committee attaches great importance to expanding the middle-income group. The Fourth Plenum of the 19th Central Committee reiterated that it is necessary to regulate the order of income distribution to “protect legal incomes, increase the income of low-income people, expand the middle-income population, regulate excessive incomes, clean up and regulate hidden incomes, and ban illegal incomes.” In 2021, the 10th meeting of the Central Financial and Economic Affairs Commission more clearly proposed that we must “reasonably regulate high incomes, ban illegal incomes, form an olive-shaped distribution structure with a large middle and two small ends, promote social fairness and justice, promote the all-round development of the people, and make solid progress towards the goal of common prosperity for all the people.” This is actually an important sign of the expansion of the middle-income population and the formation of an olive-shaped distribution pattern for common prosperity. On the basis of adhering to China’s basic socialist economic system, expanding the middle-income population is in line with the basic direction of China’s economic and social development and will help accelerate the realization of the strategic goal of common prosperity."
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022",Expanding the Middle-income Population Is Conducive to Promoting High-quality Economic Development
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022","The foundation of common prosperity is “prosperity,” and only the sustained development of economic strength and social productivity can lay down a solid material foundation for the ultimate realization of common prosperity. The increase of the middle-income population can effectively expand consumer demand, thereby stimulating the comprehensive development of society and the economy. The China Macroeconomic Analysis and Forecast Report (2021) shows that residents at different income levels in China have different consumption propensities. The report calculated the average marginal propensity to consume of high-, middle-, and low-income families from 2010 to 2018 as 0.45, 0.71, and 0.37, respectively. That is to say that middle-income families have the highest average marginal propensity to consume, significantly higher than the other two types of families. Therefore, under the premise of stable income growth, expanding the proportion of the middle-income population can release greater consumption potential and add-on effects. A more specific analysis found that the service consumption characteristics of the middle-income population were more obvious. It is the main force for medium and high-end goods demands and service consumption in fields such as education, medical care, leisure, and tourism. It can exert great social consumption potential and stimulate social employment growth and economic development. Among these features, the middle-income population has a greater demand for education and training, and the demand and consumption of education is also an investment in human capital. This will better promote the formation and increase of human capital throughout the whole society, thereby promoting the development of science and technology (S&T) and the improvement of labor productivity, fundamentally promoting high-quality economic development, and consolidating the material foundation for common prosperity."
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022",Expanding the Middle-income Population Is Conducive to Improving China’s Income Distribution Pattern
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022","To achieve common prosperity, all people must “commonly” enjoy the fruits of prosperity on the basis of economic “prosperity,” that is, when the majority of people become rich together, the increase in social wealth can benefit the majority of the population. In this, the “olive type” benign social distribution pattern praised by academia and policy research circles has the basic characteristics of being large in the middle and small at both ends. This means the middle-income population accounts for the majority, and the poor and high-income wealthy populations are minorities. In this distribution pattern, most people share the fruits of development. However, our research found that the current distribution pattern in China is not directly shifting to an olive type but is changing from a pyramid type to a gourd type."
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022","This means that, although the current middle-income population in China has increased significantly compared with the previous period, its overall scale is still small. It is still far from the requirements of an olive-shaped distribution, and there is still a lot of room for improvement, such as the fact that the proportion of the low-income population is still too large. Therefore, in social and economic development, more attention should be paid to raising the income level of the low-income population to the middle-income level, so as to effectively expand the scale of the middle-income population. This will directly promote the improvement of China’s income distribution pattern so that it will gradually approach the typical olive-shaped distribution pattern and eventually accelerate the transformation to the ideal olive-shaped pattern."
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022",Expanding the Middle-income Population Is Conducive to Social Stability
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022","The middle-income population usually has a stable and abundant income base, relatively high social status, relatively fair development opportunities, and relatively stable life. In a certain sense, it is often representative of mainstream social values and the cornerstone of social stability and development. Therefore, when most members of society enter the middle layer of society and form an olive-shaped society, it indicates that the process of economic development has entered a sustainable state, and the social order has entered a relatively stable state. In this way, a good social environment can be formed for solidly promoting the sustainable and stable development of the society and economy and ultimately achieving common prosperity. In the process of the economic transformation and development of an economy from a low-income stage to a middle-income stage and then to a high-income stage, the gradual expansion of the middle-income population can effectively alleviate some potential unstable factors caused by the adjustment of interest patterns and the change of values, relieve the class antagonism caused by the gap between the rich and the poor, and contribute to social stability. In short, the constant increase in the middle-income population means that the poor population will gradually account for a minority, the income gap between groups will gradually narrow, and equitable social and economic development will ultimately be achieved."
The Focus and Difficulties of Expanding the Middle-income Population are in Rural Areas,"Governance , Chen Zongsheng , Yang Xilei ","Feb 14, 2022",Measurement of China’s Middle-income Population and Definition of Income Distribution Pattern
