title,author,date_pub,full_text
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","The pace of world change picked up in 2021. The international security situation was stable overall, but there was a continuous increase in internal tensions. Moreover, the coronavirus pandemic continued to spread. The international security order was tested and subjected to shocks. Unstable factors in international security increased, and there was a rise in uncertain risks. The United States strengthened its maintenance and defense of its hegemony. While striving to uphold its original alliance system, it began to build a new security architecture, thus causing a further intensification of great power competition and a further tightening of the space available for international security cooperation. Geopolitical games triggered tension and conflict in some regions, with the potential for more serious runaway crises, while incubating possible new divisions and combinations. International security governance suffers from many defects. The original order is showing signs of loosening and dysfunction, but it is difficult to establish new norms. Overall, there has been no change in the continually evolving trend of international relations. Globally, the need to advance cooperation and strengthen coordination has correspondingly increased."
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022",The Political Attributes of War Have Become Even More Prominent
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","Military force is no longer the sole guarantee of security, and total war is no longer the basic form of war. A militarily powerful country, like the United States, may find it easy to achieve victory on the battlefield. Even so, it will find gaining political and economic benefits from such a victory extremely difficult. In July 2021, the United States announced that U.S. military forces would not perform important missions in Iraq and planned to pull out of Iraq by the end of the year. However, so far, it has merely completed a “role conversion” of so-called combat personnel to instructors and advisers. In August 2021, U.S forces hastily withdrew from Afghanistan, and the Taliban quickly took power. The development of the situation in the Middle East and Afghanistan demonstrates the limits to the use of military force in global politics. Even if a country has absolutely superiority in technology and equipment and is capable of annihilating the opponent’s personnel on the battlefield and occupying their territory, it will fail to win a substantive victory on account of having confused war aims."
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","Given the current international configuration, the absolute laws of war do not completely apply to global political development. Neither a politician nor a military strategist can afford to make strategic decisions that focus only on battlefield outcomes. The more critical issue is the use of military force to achieve political objectives. Particularly in local hybrid wars, one cannot be sure of achieving one’s objectives by annihilating the enemy. The realization of major strategic goals needs to be based on military outcomes, but also should transcend military outcomes. Only then can one integrate military means with other means, namely the political, the diplomatic, and the economic, and thereby seize the strategic initiative."
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","Even if one is facing a relatively weak opponent armed with inferior weapons, one cannot solve all problems just by relying on a very well-equipped and well-trained army. A final victory is very hard to achieve in the absence of an accurate understanding of the historical evolution of a country or region’s politics and culture. Failure to understand the impact and constraints on the use of military force brought about by developments in the global political landscape may result in ultimately fruitless ventures, no matter how powerful one’s own country is. In 2001, the United States launched a war with the nominal justification of opposing terrorism. However, it takes more than military strength to strike a blow against terrorism. Dedication to extirpating the root causes of terrorism is even more important. The soil which nourishes terrorism and extremism is, more often than not, failures of state and social governance or defects in global governance. There can be no question that the fundamental eradication of terrorism requires long-term, comprehensive policy implementation and broader international cooperation. When we also consider the geopolitical strategic ambitions that lay behind the U.S. anti-terrorism war and the wastage of national power that it entailed, we find “strategic failure” and “political failure” behind the success of the military operations."
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022",U.S. Military Deployments Heighten Great Power Strategic Competition
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","The United States gave prominence to great power strategic competition during the Trump administration. There has been no reversal of this trend since Biden assumed office. Rather, it has expanded in scope and encompassed a wider range of sectors, with impacts that are even more profound and far-reaching. In the military sphere, the United States has further reinforced its frontline presence in the Indo-Pacific and Eastern European regions so as to ensure that it has sufficient deterrents to meet any challenge. It has strengthened its military relationship with allies and partners and has built a more powerful defensive network. For a while now, the United States has greatly increased the frequency of activities such as military exercises, espionage and reconnaissance, and bomber flights along Russia’s borders and in China’s periphery. The U.S. nuclear submarine collision that occurred in the South China Sea suggests that the frequency of such operations by U.S. military forces has already exceeded what is normal for geo-military activities. U.S. strategic planning and military deployments bring with them signs of increasing danger. They exacerbate tense situations in the relevant regions."
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","In reality, the United States is the only country in the world that lacks a credible, comprehensive security threat. All those that it has deemed to be opponents are surrounded by its military bases and within range of its nuclear missiles. The United States has numerous military bases worldwide, and they constitute direct pressures and threats on some countries, including Russia and China. The intensification of such pressures and threats necessarily escalates great power competition. For example, the United States has increased the frequency of its military exercises in the Baltic and Black Seas and has been conducting exercises with aircraft armed with strategic weapons. The United States held “Global Thunder” strategic nuclear force exercises, in which its strategic bombers were, at their closest, only 20 kilometers from the Russian border. The U.S. Pentagon published an assessment report in November 2021 that revealed that the United States would strengthen its force deployments against China and Russia and improve infrastructure and that it planned to upgrade military bases in Guam and Australia."
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","In July 2021, U.S. Secretary of Defense Austin gave a rather complete explanation of the U.S. “integrated deterrence strategy.” He emphasized the combining of U.S. strengths with those of its allies and appropriately intertwining technology, combat concepts, and various capabilities into a network so as to form a reliable, flexible, and powerful deterrence capability. The “integrated deterrence strategy” will have an important pull effect on the future U.S. military defense posture. Austin also emphasized that it is no longer possible to rely solely on military force to defend against an opponent’s attack, but rather one should force the opponent to retreat in the face of the difficulties presented by “integrated deterrence.” The United States will likely make some major adjustments in accordance with this strategic design to its alliance system and even to its overall security architecture and thus intensify efforts to strategically squeeze and divide its opponents. Since 2021, the United States has been accelerating the implementation of its “Indo-Pacific strategy,” upgrading the “Quad mechanism” that includes the United States, Japan, India, and Australia, and trying to construct a “tripartite alliance” of the United States, the United Kingdom, and Australia. All of these moves reflect the importance that the Biden administration attaches to coordination with its allies and partners. It is actively reshaping the United States-led alliance system."
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","At the same time, NATO is adjusting its deployments against Russia and is further emphasizing non-conventional war content. It is carrying out strategic adjustments that include nuclear strikes, cyberwarfare, and space war. These moves are highly likely to set off a new arms race. In the event of such a situation, the already tense state of affairs between NATO and Russia may gradually escalate. Russia’s Southern Military District has already announced that it is re-equipping units under its command and that over 70% of the weapons systems and specialized equipment have been improved. Russia strengthened its southwestern air defense capabilities in order to counterbalance pressure from NATO. In recent years, the main European nations have been updating or developing new national security strategies, which will give rise to a new round of strategic interactions. Russia is now beefing up deployment of long-range anti-ship missiles. The first batch of extended-range missiles will be delivered to the coastal defense brigades of the Northern Fleet and the Black Sea Fleet. In 2021, Russia brought out a new “national security strategy,” which contained all of the relevant factors and clearly defined strategic priorities. It especially emphasized that “the goal of information security is to strengthen the Russian Federation’s sovereignty in information space.” In planning for “strategic stability and mutually beneficial international cooperation,” Russia will lay even greater stress on the “multi-dimensional, multi-layered, multi-objective” line so as to uphold a beneficial equilibrium in foreign relations."
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022",Strategic Concerns Cause Some Countries to Keep Expanding Arms Investments
"The International Security Situation in 2021: Unstable Factors Increase, Uncertain Risks Rise","Contemporary World , Tang Yongsheng ","Jan 15, 2022","As the changes occurring in the world grow more profound, each nation’s position, role, and influence within the international system is undergoing corresponding changes. The old logic of hegemonism, power politics, and capital expansion will not automatically exit the stage of history. At the same time, the relevant standpoints and efforts for building a new order have yet to be fully presented and affirmed. In the transition from old to new orders, the co-existence of multiple rules has highlighted the complexity of international relations as never before, and uncertainties in international security have become even more prominent. Thus, the strategic concerns of some countries not only have not decreased, but have in fact increased. An obvious sense of insecurity has arisen in the changing world. Against the background of a world economy that is universally depressed owing to the impact of the coronavirus pandemic, some countries and regions are still increasing their investments in armaments. The total amount of global military expenditures in 2020 was 1.981 trillion U.S. dollars, the highest level since the end of the Cold War. While global economic growth declined more than 4%, global military spending grew 2.6% in the same period. According to incomplete statistics, global military spending in 2021 is expected to exceed 1.94 trillion U.S. dollars. Although this represents a slight decline relative to 2020, the level of spending remains high. In response to this, over 50 Nobel Laureates issued a public letter in which they stated that “some governments increase military spending under competitive pressure, leading to an intensification of the global arms race and constituting a colossal waste.”"
