title,author,date_pub,full_text
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","Abstract: This year marks the 30th anniversary of the collapse of the Soviet Union. The collapse of the Soviet Union 30 years ago changed history, brought about subversive changes in international politics, and set the world in a new direction. Some people asserted that history had come to an end, and it seemed that a period had been placed to mark the close of historic changes. But today, 30 years later, the picture is completely different. The development of history is unexpected, and a series of major international political changes stemming from the breakup of the Soviet Union has changed direction or even reversed. This paper highlights five areas, namely the resurgence of the Cold War, the reappearance of the bipolar structure, the restructuring of the new East-West system, the decline of liberalism, and the collapse of the ideal of Greater Europe, and discusses and analyzes these five changes."
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","In the history of the world, the collapse of any world empire inevitably has a profound and lasting impact on the development process of overall history, and the disintegration of the Soviet Union was no exception. The Soviet Union was not just a country, it was an “empire,” representing a bloc of states covering Eurasia, a global military and economic union, and a worldwide ideology and social system. Therefore, the disintegration of the Soviet Union refers not only to the landmark day of December 25, 1991, but also to the disintegration of the Soviet “imperial” system. This is the disintegration of the global political system, economic system, military alliance, and ideological system centered on the Soviet Union."
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","In the field of international politics, the disintegration of the Soviet Union fundamentally overturned the global system and the international order, leading to the end of the Cold War, a change in the international structure, the rise of unipolar hegemony, the rise of liberalism, and the prospect of the grand unity between the East and the West. At the time, all of this led everyone to dream beautiful dreams about the future of the world, and it was believed that the world would embark on a bright road from then on."
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","However, 30 years later, when we look back on the past and compare it with the present, we cannot help but be surprised to find that, history in the post-Cold War world did not proceed along a straight line in its original direction. Instead, like a pendulum, it swung back after a high peak to one side. Many major changes in international politics that occurred due to the collapse of the Soviet Union did not continue. On the contrary, they all reversed to varying degrees, or even returned to the starting point. Among these, changes in five areas are particularly prominent."
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021",I. From the End of the Cold War to the Start of a New Cold War
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","The end of the Cold War was among the most significant consequences of the collapse of the Soviet Union. There are different views on the date of the end of the Cold War. Some believe it was marked by the fall of the Berlin Wall on November 9, 1989, and others use the dissolution of the Warsaw Pact on July 1, 1991 as its symbol, but its root cause was the collapse of the Soviet Empire. The fall of the Berlin Wall and the dissolution of the Warsaw Pact were only part of the process of disintegration of the Soviet Empire."
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","The end of the Cold War lifted the 40-year-old confrontation between the East and the West in the field of political, military, ideological, and social systems. All the countries, both East and West, generally believed that the world would enter a post-Cold War era free from confrontation, but what we see now is that although the Cold War is over, a new Cold War has begun. That is to say, in the 30 years after the disintegration of the Soviet Union, the relationship between great powers has gone from ending one Cold War to starting a new Cold War."
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","The new Cold War refers to the current state of Sino-US and Russian-US relations. There are different views on whether a new Cold War will take place. Some people think that there will be no new Cold War. The main reason is that it is a completely different era.
The international environment is no longer the same as it was during the Cold War. There is no confrontation between two global alliances of nations, there is no confrontation between two evenly matched military blocs, there are no two isolated economic markets, and no competition between the two ideologies of communism and capitalism. Humanity is now facing more and more serious common threats. Major powers not only have competitive interests, but also common interests. Their relationships have both antagonism and confrontation as well as cooperation and coordination."
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","All these points are undoubtedly true. Taking this as a reference, what is happening now is indeed not the same kind of Cold War as occurred in the past. However, this analysis only tells us what the current relationship between great powers is not, but not what it actually is. In other words, if this is not a new Cold War, what is it? This is the most important question."
The Pendulum of History——International Politics 30 Years After the Collapse of the Soviet Union,"Russian, East European & Central Asian Studies , Zhao Huasheng ","Nov 13, 2021","The new Cold War, which borrows its name from the Cold War, emphasizes the nature of great power relations rather than their external forms. Without a doubt, time does not run backward, and a Cold War with the same spatial and temporal characteristics and the same form as the original Cold War will never reappear. However, great power relations still exist, and they still have their traditional content. From this perspective, the nature of great power relations can recur. In this sense, the emergence of a new Cold War is possible. Also, some scholars have discussed the nature of the Cold War, and they have different understandings. One view holds that the Cold War was a special form of international political conflict that can be repeated. Another view was that the Cold War was a unique phenomenon in international politics, one-of-a-kind and unrepeatable. Here, the author adopts the former explanation. The new Cold War is a description of the nature of today’s great power relations. This description is based on the actual situation of great power relations today and does not consider whether the situation is completely consistent with the form of the original Cold War. The new Cold War is not a simple reproduction of the form of the Cold War. It differs from the Cold War in terms of characteristics and manifestations. However, in essence, it is as cold as the US-Soviet Cold War, and in some ways even colder."
