title,author,date_pub,full_text
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",Click here to read the introduction and analysis of this document
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","Xinhua (Beijing), April 29 — The Politburo of the Communist Party of China (CCP) Central Committee convened a meeting on April 29. It analyzed and studied the current economic situation and economic work, and deliberated the National Talent Development Plan for the 14th Five-Year Plan Period [2021–2025]. The General Secretary of the CCP Central Committee, Xi Jinping, presided over the meeting."
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","The meeting held that since the start of this year, in the face of a complex situation resulting from the overlapping of unseen-in-a-century changes with the once-in-a-century pandemic, under the strong leadership of the Party Central Committee with Comrade Xi Jinping at its core, all localities and departments have effectively coordinated epidemic prevention and control with socio-economic development, China’s economic operation has on the whole achieved a smooth start [this year], and we successfully held the Beijing Winter Olympic Games, and the Winter Paralympic Games. These achievements were not easy to come by."
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","The meeting pointed out that COVID-19 and the Ukraine crisis had led to an increase in risks and challenges. The complexity, severity and uncertainty in China’s economic development environment have risen; stable growth, stable employment and stable prices now face new challenges. It is crucial to effectively carry out economic work and practically protect and improve people’s wellbeing. We must firm our confidence, overcome difficulties, and ensure that the major principles and policies of the Party Central Committee are fully implemented."
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","The meeting stressed that the epidemic must be kept under control, the economy must be kept stable, and development must be secure. These are clear requirements of the Party Central Committee. According to the new characteristics of virus mutation and spread, we must:"
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",— coordinate efficiently epidemic prevention and control with socio-economic development;
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",— adhere unwaveringly to the principle of the people as paramount and lives as paramount;
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",— persist in preventing foreign importation and domestic resurgence [of the COVID virus];
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",— persist in the dynamic zero policy;
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",— protect the people’s lives and health to the maximum possible extent; and
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",— minimize the epidemic’s impact on socio-economic development to the greatest possible degree.
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",The meeting set out the following requirements:
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","— increase macro policy adjustments, firmly stabilize the economy, strive to realize the anticipated economic and social development goals for the year, and keep the economy operating within reasonable parameters;"
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","— accelerate the implementation of policies already set, execute effectively policies such as tax rebates, tax cuts and fee reductions, and make good use of various monetary policy tools;"
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","— rapidly devise policy tools to increase demand, increase the intensity of targeted interventions, and achieve the appropriate preparedness and redundancy for goal-guided policies;"
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","— make every effort to expand domestic demand, realize the key role of effective investment, strengthen assurances for land use, energy use and environmental impact assessment, and so on, and strengthen basic infrastructure construction across the board;"
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",— give play to the driving role of consumption in economic cycles;
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","— stabilize market participants, and implement a package of relief and assistance policies targeted at sectors, micro, small and medium enterprises, and sole proprietors, that have been seriously hit by the epidemic;"
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","— effectively carry out the work of ensuring supply and price stability of energy and resources, and effectively ensure spring plowing and preparation work;"
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","— effectively safeguard and improve people’s wellbeing, stabilize and expand employment, organize the supply of important commodities related to the people’s wellbeing, ensure the core functions of urban centers are operational, stabilize and control the situation regarding safe production, and safeguard overall social stability; and"
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022","— adhere to [the notion of having] one coordinated national strategy, ensure transportation and logistics are unobstructed, and ensure the normal operations of priority industrial and supply chains, enterprises supplying and supporting the anti-epidemic effort, and key basic infrastructures."
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",The meeting stressed the need to effectively control key risks and hold the bottom line of ensuring that no systemic risks emerge. We must:
The Political Bureau of the CCP Central Committee Convenes (April 2022),"Xinhua News Agency , Central Political Bureau of the CCP ","Apr 29, 2022",— adhere to the position that housing is for people to live in and not for speculation;
