title,author,date_pub,full_text
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","In contemporary China, the middle class has become an increasingly attractive subject of action. The growing middle class, on the one hand, reflects the great achievements of China’s reform and opening up and socialist construction; on the other hand, it also puts forward higher requirements for public management and social governance. The social influence of the middle class exceeds that of general social groups, and their political attitudes and value judgments have a huge impact on public opinion. In public opinion events, the voice of the middle class often represents the mainstream public opinion."
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","1. Current definition, size, and distribution of the Chinese middle class"
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","The main indicators for defining the middle class are income, wealth, education level, occupation, lifestyle, social prestige, and control over subordinates, of which income is the core dimension. 1 Li Peilin and Zhu Di defined the middle class as the group whose income is between the 25th and 95th percentile of urban residents and calculated that the proportion of the middle class in China’s urban population in 2013 was 25%.2  Li Qiang and Wang Hao defined China’s middle class from the three dimensions of income, occupation, and education, and took the average annual income of the urban household registration population as a reference baseline: The group below 50% of the baseline is defined as the “lower class,” and the group from more than 50% of the baseline to less than 3 times the baseline is defined as the “middle class.” In 2012, this group accounted for 46.2%, but the real income middle class accounted for only 18.89%. 3"
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","In the 2014 national economic census, the annual income of 60,000 to 120,000 yuan was used as the standard for the middle class. The urban and rural middle class account for about 25% of the country’s 760 million laborers, or about 190 million people. In 2015, the 2015 Global Wealth Report released by Credit Suisse pointed out that the total wealth of Chinese households reached 22.8 trillion U.S. dollars, surpassing Japan to become the second richest country in the world, second only to the United States. At the same time, China has the largest middle-class population in the world, reaching 109 million, surpassing the 92 million middle-class population in the United States. The Chinese middle class accounts for 11% of the national adult population and 16% of the global middle class. The report defines the “middle class” with assets ranging from 50,000 to 500,000 U.S. dollars (about 317,000 to 3.17 million yuan). China’s middle-class population is far larger than that of other countries. The middle-class population has increased by 38 million between 2000 and 2015, and its wealth has increased by 5.6 trillion U.S. dollars. 4"
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","According to the 2015 China Household Finance Survey, the actual population of the Chinese middle class is 204 million, far exceeding the 109 million reported by Credit Suisse Wealth. The total wealth of China’s middle class is 28.3 trillion U.S. dollars, surpassing the United States and Japan, and ranking first in the world.5"
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","Based on the above studies, the number of middle-class people in China according to the academic statistics is between 100 million and 200 million. Although the proportion of China’s middle class as a proportion of the country’s total population is not high and there is a large gap compared with the olive-shaped social structure in Western countries, the absolute number is huge, and its economic, political, and cultural influence cannot be ignored."
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","Most of these survey data come from questionnaires, that is, respondents’ self-reports, and the information about property and income usually tends to be under-reported, especially in terms of property. Personal wealth is more opaque than income. A major change in today’s society is that the importance of property, especially real estate, to social stratification is increasing, while the role of wage income is declining. Wan Haiyuan and Li Shi’s research found that housing prices are the main reason for property growth. After deducting the housing price factor, the total property value of residents drops by 40%. In first- and second-tier cities, rising housing prices accounted for 38% of the property Gini coefficient. The research by Li Qiang, et al found that China’s middle class is mainly concentrated in cities, especially the cities in the eastern region, and the tertiary industry is the main employment field for the middle class.6 7"
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","The Chinese society from 1949 to 1994 was a flat society, with relatively sparse social stratification and insignificant class differences. The main features were as follows: (1) The income gap was small, and the amount of family property was small (the income Gini coefficients were 0.288 and 0.359 in 1981 and 1993, respectively). (2) Mixed classes, mainly unit-based communities where different classes mixed within a given space; the flow between classes was relatively easy and frequent. (3) Society tended towards low and medium levels of consumption, and the Engel coefficient was high."
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","After 1994, especially after 1998, China entered a finely stratified society, which was marked by: (1) A widened income and property gap. In 2009, the income Gini coefficient was 0.49, and in 2010, the property Gini coefficient was 0.739. The importance of property income gradually surpassed wage income. (2) Residential segregation and consumption divisions across classes formed. After the reform of the housing system, housing classes were formed, and different classes had different living spaces. Consumption also became an important boundary for people to be divided into groups. (3) Class differentiation became more refined, and cross-class mobility became more difficult."
The Political Tendencies of the Chinese Middle Class and Its Influence on Public Opinion,"Journal of Xiangtan University , Xiong Yihan ","Sep 1, 2019","The formation and expansion of the middle class has been an important achievement of China’s economic development, and it has also become a driving force for China’s sustained economic growth and expansion of domestic demand. However, the growth of the middle class has also brought new challenges to our public management. The biggest challenges are: First, the quality of officials in Chinese history had an obvious advantage over the subjects of governance. However, with the expansion of the middle class, this advantage has been weakened or even partially reversed: A considerable number of the subjects under management have economic income, education, and even international standards, such that their goals go beyond ordinary civil servants. Second, the middle class has higher requirements for the level of public services and the institutionalization of government behavior, and the traditional extensive public management model has become out of date. Third, the interests and values of the middle class are highly differentiated, and they have both interest and value demands."
