title,author,date_pub,full_text
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The Biden administration will soon complete its first year, and its China policy is already basically clear. Chinese leaders have made many earnest efforts to work on [the relationships with] the United States and have emphasized that the stability and development of Sino-U.S. relations are not an “optional question”, but a “required question” indispensable to the historical trend of peace and prosperity of the two peoples and the world. However, the Biden administration proceeds from the maintenance of the hegemonic position and interests of the United States. Based on the facts of “internal turmoil” (内卷化) such as severe political and social opposition and division, the severe COVID-19 pandemic, and the high inflation rate in the United States, they are trying to use the policy of comprehensive and in-depth confrontation and suppression of China to score a political victory (执政亮点). They also want to restore the central role of the United States in the global high-tech manufacturing production chain and supply chain through a hard-line “decoupling” policy towards China. In doing so, the United States intends to substantially weaken China’s manufacturing upgrade and high-tech progress, in an attempt to reopen the gap in power between the United States and China."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The previous U.S. policy of engagement with China has been replaced by a multi-pronged policy of comprehensively suppressing China’s rise. This is the inevitable choice of the United States to combat China’s rising momentum and increasing power. The high-tech R&D and cutting-edge manufacturing fields have actually become the main battlefields of the United State’s “new containment strategy” against China. In order to achieve this strategic aim, the Biden administration emphasized that the main competition in the world today is the contest between the United States and Western democracies with “heterogeneous” (异质) countries represented by China and Russia. They will not hesitate to “demonize” China so that the United States can win over its allies and partner countries to form an “Anti-China Alliance.” At the same time, Biden has advocated the adoption of a series of legislative measures in the United States to improve infrastructure and increase social spending and calls for plans such as “Build Back Better World” (B3W), paving the way for the “reindustrialization” of the United States."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The Biden administration’s China policy already has the basic characteristics of a coordinated domestic and international initiative to combat and contain China on all sides. This is exactly the meaning of “extreme competition” with China as declared by Biden. In response to this, we need accurate, in-depth, and objective analysis and judgment. Sino-U.S. relations already cannot return to their former state. In response to the United States multi-pronged attack and wide-ranging suppression, China must consider and formulate long-term and strategic response strategies."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","I. The Biden Administration’s China Strategy: “Four-Pronged Approach” of Human Rights, Security, Economy, and Technology"
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","Since the end of the Cold War, and even in the era of engagement with China, the China policies of successive U.S. administrations have, without exception, placed equal emphasis on economic cooperation and the national security interest of “marking China” [盯防中国, sports term meaning marking the strongest player out for special attention of the defense]. Even in the 1990s, when Clinton reinstated China’s most-favored-nation status for trade, welcomed China’s “accession to the WTO,” expanded Sino-U.S. economic and trade exchanges, and accepted Chinese investment in the United States, China was always the country with the second-strictest controls in the U.S. export control list. In its engagement with China, the United States’ policy has always been to prohibit the export of military technology and equipment to China, as well as the export of dual-use technologies. In other words, even with the rapid expansion and improvement of Sino-U.S. trade and economic exchanges starting in the late 1990s, China has always been the object of severe scrutiny on the U.S. national security agenda, and restricting the upgrade of China’s armaments and strategic competitiveness has always been a core element of U.S. policy toward China."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","In addition to China, by the mid-1990s, two important factors—the threat to national security in international economic competition and the pursuit of U.S. hegemony—have always driven the basic response whereby U.S. policymakers focused on maintaining the U.S.-dominated unipolar structures after the Cold War by integrating economic and security policies. The place of economic security in the national security strategy of the United States has never been overlooked. The Biden administration’s current suppression of China in economics and advanced technology is a unilateral and hegemonic approach aimed at the legitimate commercial competitiveness of the Chinese economy and the unobstructed expansion of “national security” (国家安全化, national securitization) to encompass the economy and technology."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","For the United States, as the defending hegemonic power since World War II, economic security has always been the pillar of U.S. national security. Edward Mead Earle pointed out that the relationship between the economy and security “has been the most critical and fascinating issue in statecraft since the rise of nation-states, the expansion of European civilization, the outbreak of the Industrial Revolution, and the steady improvement of military technology.” [Translator’s note: The original source of most quotations from English sources in this document could not be found due to the lack of references. In these cases, the Chinese translation has been translated back into English] With the end of the Cold War, the boundaries between Eastern and Western countries disappeared, globalization accelerated, the degree of interdependence among countries has continued to deepen, and economic security has gradually separated from military security to become a relatively independent field, receiving increasing attention by American policymakers. This is intuitively reflected in the National Security Strategies submitted to Congress by successive U.S. presidents."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The Reagan administration suggested that the United States’ “reliance on foreign supply sources has increased in many key areas, and potential supply chain vulnerabilities are a problem deserving attention.” The Clinton administration gave the connection between the economy and national security greater status, arguing that the United States’ “economic and security interests are inextricably linked. Prosperity at home depends on our leadership in the global economy. The strength of our diplomacy, our ability to maintain an unrivaled military, the attractiveness of our values abroad all depend in part on the strength of our economy.” Although the Obama administration had experienced the impact of the financial crisis, it still emphasized the liberal international order and believed that, “the U.S. economy is not only an engine of global economic growth and a source of stability for the international system, but also a key indicator of our military strength and diplomatic influence. A strong economy combined with the United States’ prominent position in the international financial system will effectively enhance national security.”"
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The Trump administration, which came to power in 2017, started from a value system of populism, white supremacy, and American exceptionalism on the right wing of the Republican Party and pursued the domestic and foreign policy of “America First.” This had a subversive impact on the traditional liberal internationalist diplomacy of the United States. The Trump administration emphasized: “Economic security is an important part of national security, and economic means have also become an important component of a country’s diplomatic means.” After Biden took office, he emphasized that the United States should return to “world leadership,” and attempted to change the negative impression that the unilateralism and new isolationism in U.S. diplomacy during the Trump administration had on the world. However, the Biden administration inherited the Trump administration’s emphasis that U.S. national security needs to fully return to the “state-centric” mode of struggle in the face of China’s rise. From the very beginning of his presidency, Biden made it clear that economic security is national security and that the “traditional boundaries between domestic and foreign policy and between national security, economic security, health security, and environmental security should be broken down to deal with the current new situation.”"
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The evolution of the U.S. national security strategy not only shows Washington’s changing perception of its own internal and external situations, but also the centrality of the strategy to maintain U.S. hegemony. Even more, it has determined the United States’ revaluation of Sino-U.S. economic and trade relations—from a ballast stone in bilateral relations, they have become a “direct threat” to U.S. national security. In the face of a powerful rising China, the United States has historically “redefined” China—A China that is starting to become strong is a “heterogeneous” country that “intentionally” challenges the current international order and competes with the United States for dominance in international affairs. Since the late Obama administration, the United States began to domestically question and reconsider its China policy. After Trump took office, he officially characterized China as a “revisionist country” and a primary “strategic competitor.” The Trump administration’s National Security Strategy report states: “Inter-state strategic competition, not terrorism, is now the primary concern in U.S. national security.” The Biden administration more explicitly stated that: “China, in particular, has rapidly become more assertive. It is the only competitor potentially capable of combining its economic, diplomatic, military, and technological power to mount a sustained challenge to a stable and open international system.” “Dealing with China’s challenge” has become the basic consensus of U.S. political and academic circles across the left, center, and right."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The Biden administration’s “Four-Pronged Approach” in its strategic competition with China is precisely the result of the fact that the United States is aware that Sino-U.S. economic and trade relations represent the world’s largest trading partnership and there is currently massive trade dependence on China from East Asia to Europe. It is an attempt to start again from a strategy of prioritizing U.S. national security interests, limit and reduce the commercial dependence of the United States and its European and East Asian allies on China, try to reduce the economic costs of the strategic confrontation with China, and curb the momentum of China’s rise in the industrial and high-tech fields. To this end, the Biden administration’s “strategic competition” with China, on the one hand, draws ideological lines and organizes geopolitical “cliques”. On the other hand, it starts with the simultaneous separation between geoeconomics and geotechnology and creation of confrontation, simultaneously suppresses China from the “four major areas” of human rights, security, economics and trade, and science and technology, and plan a geostrategic layout to allow the United States to continue to isolate and contain China."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The cross-spatial nature of high-tech competition has changed the traditional geopolitical model of great power competition, with the importance of seizing strategic locations dropping significantly and the losses incurred by military occupation of raw material sources increasingly outweighing the gains. Advanced technology has amplified long-range force projection capabilities and long-range military strike capabilities, making territorial competition no longer necessary. The pattern of geographic competition between the United States and the Soviet Union in the Third World during the Cold War no longer has any meaning in contemporary times. Unlike the competition between the United States and Soviet Union during the Cold War, the current competition between China and the United States must be considered in the context of the “Fourth Industrial Revolution.” Klaus Schwab has pointed out that all the new technologies such as artificial intelligence (AI), robotics, Internet of Things, autonomous driving, 3D printing, nanotechnology, biotechnology, materials science, energy storage, and quantum computing that together drive the so-called “Fourth Industrial Revolution” will become key factors in great-power competition in the new era. The current competition between China and the United States is a multi-dimensional and comprehensive competition in the fields of security and economics. As a key link between the two fields of security and economics, advanced technology is becoming the main field of great-power competition between China and the United States, and completion for dominance in the field of advanced technology has become the focus of current Sino-U.S. competition."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","First, high-tech and cutting-edge manufacturing has become the core driving force for the strategic capacity building of great powers. Kenneth Waltz has pointed out that the U.S.-Soviet arms race during the Cold War was “the largest-scale use of military technology at the forefront of science and technology to widen the gap with opponents. Moreover, these modern weapon systems raised the threshold for other countries to join the superpower club. Unable to approach the technological R&D level of the United States and the Soviet Union, middle powers will continue to lag behind.” Winning a dominant position in military power by promoting the iterative update of military technology was the internal driving force of U.S.-Soviet competition during the Cold War. With the decline of the Soviet Union in the 1980s, it no longer had the ability to challenge the United States in the field of science and technology, and Japan, which had the ability to challenge the United States in the field of science and technology, was a staunch ally of the United States and did not pose a security threat. In the 1990s, the prosperity of the Internet economy and the drastic changes in the Soviet Union and Eastern Europe objectively promoted the accelerated development of globalization and brought about the global spread of emerging technologies. Assisted by the international trade system and the global division of industrial labor system formed after World War II, emerging technologies have gradually spread to all countries as part of global industrial transfers. This has also profoundly changed the internal driving force of strategic competition among great powers."
The State and Dilemmas of the Biden Administration’s Strategic Competition with China,"Asia-Pacific Security and Maritime Affairs , Ni Guihua , Zhu Feng ","Jan 26, 2022","The difference between Sino-U.S. great-power competition and U.S.-Soviet competition of hegemony is that competition between China and the United States focuses more on the use of advanced technology to develop their own economies to gain economic power. Rather than a competition for military dominance, it is a competition for economic leadership. At the same time, advanced technology is also constantly promoting the upgrade of military equipment and thus affecting the balance of power between China and the United States. China’s great progress in high-tech fields has not only driven the development of related industries and reduced its gap with the United States, but also allowed China to achieve the modernization and upgrading of military equipment by leveraging its scientific and technological progress, giving it the ability to threaten American hegemony in the Asia-Pacific region. The dual role of advanced technology in the economic and security fields makes it the core and internal driving force of the strategic power of today’s great powers."
