title,author,date_pub,full_text
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022","Following the end of the Cold War, NATO continuously expanded eastwards, and Ukraine became an outpost of U.S. and Russian confrontation. In the wake of Ukraine’s color revolutions, Russia and Ukraine descended into antagonism and conflict. During the 2014 Russia-Ukraine conflict, Russia adopted a hybrid war approach. By combining conventional with non-conventional troops and tactics, it achieved an enormous strategic success.  1 To reinforce deterrence against Russia, the United States launched the “European Reassurance Initiative” (later changing its name to the “European Deterrence Initiative”). This helped Ukraine to strengthen its military build-up and augment its ability to resist Russia militarily. The Ukraine situation again deteriorated after November 2021. The United States, in an attempt to stop the outbreak of war through deterrence, repeatedly sent threatening signals to Russia. However, after Russian President Putin, on February 21, 2022, declared the “Donetsk People’s Republic” and “Lugansk People’s Republic” in eastern Ukraine to be independent countries and ordered the Russian army to enter the two territories, and after a Russia-Ukraine conflict once again broke out on February 24, the U.S. deterrence strategy headed for failure. However, the economic and financial sanctions that the United States is now imposing on Russia and the massive military aid that it is providing Ukraine have formed a new deterrence logic and new deterrence effects. With this as the background, it is necessary to conduct a more in-depth and systematic analysis and evaluation of how the United States devised its deterrence strategy."
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022",I. Designing the U.S. Deterrence Strategy
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022","In March 2014, following the eruption of the Crimean crisis, the United States quickly reacted on a diplomatic level. First, it implemented economic and financial sanctions against Russia that restricted financing channels for its key sectors. Second, it employed many different measures to calm its NATO allies and made sure that the related countries retained their confidence in the United States."
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022",Figure 1 European Deterrence (Reassurance) Initiative funding allocations (by main categories) (in 100 million U.S. dollars)
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022","Data source: “DoD Budget Request,” https://comptroller.defense.gov/Budget-Materials/ (Accessed on April 28, 2022)"
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022","Third, it strategically supported Ukraine, providing it with an aid package. When the crisis first broke out, the United States’ reaction was based on a crisis response mode. That is, the United States had to declare a position and exhibit resolve while calming the fears and concerns that its NATO allies had about Russia. As the situation stabilized, the United States strengthened its strategic planning, expanded its military aid to Ukraine, and thereby bolstered its deterrence against Russia. The adjustments to the U.S. strategy reflected a shift in its center of policy gravity, behind which lay a conceptual and cognitive change. In the seven years that followed, the United States continuously reinforced Ukraine-related deterrent capabilities to prevent Russia from taking further action. Specifically, the United States made two main adjustments to its strategic design. The first was to launch a strategic initiative to deter Russia. On June 3, 2014, Obama announced the “European Reassurance Initiative,” which requested 1.0 billion U.S. dollars in fiscal year 2015 as aid to the relevant European countries in order to calm NATO allies and deter Russia. It primarily included an increase in exercises, training, and rotations in Eastern Europe; the deployment of detachments of U.S. planners to help allies to strengthen their ability to design and organize training and exercises; the pre-deployment of military equipment and improvement of infrastructure in European countries to facilitate rapid deployment of U.S. forces; an increase in U.S. naval deployments in the Black Sea and the Baltic Sea; and the establishment of close partnerships with Georgia, Moldova, and Ukraine. 2 However, the European Reassurance Initiative merely resolved some of the concerns of the United States’ European allies. Militarily, it contained little that was new and it could not cope with Russia’s military operations in eastern Ukraine. In February 2018, the United States changed the name of the European Reassurance Initiative to the European Deterrence Initiative, with the aim of continuing to strengthen the U.S. deterrent and defensive posture, committing to the protection of the territorial integrity of NATO allies and partners, and improving the preparedness and reaction capabilities of U.S. forces and allies."
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022","In terms of content, the European Reassurance Initiative and the European Deterrence Initiative introduced by the United States covered five main areas: augmenting military presence, exercises and training, reinforcing pre-deployments, improving infrastructure, and building up partnership capabilities. In terms of funding flows, augmenting military presence, and reinforcing pre-deployments accounted for the largest shares (Figure 1). The reason for this was that the United States, needing to react to the Russian military operations, carried out deployments on a rotational basis in Eastern Europe, thus strengthening its military presence there and sending a message of deterrence to Russia. In addition, the United States also became aware of the need to pre-deploy military hardware and strategic resources in order to reduce redeployment time and costs in the event of a conflict and to raise war readiness. Therefore, whether viewed in terms of its name or its policy focus, the European Deterrence Initiative placed more emphasis on putting on a show of strength to Russia in an attempt to reinforce deterrence so as to dissuade Russia from taking military action."
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022",Figure 2        U.S. security aid to Ukraine in fiscal years 2013-2020 (100 million U.S. dollars)
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022","Source of information: Elias Yousif, “U.S. Military Assistance to Ukraine,” https://www.stimson.org/2022/u-s-military-assistance-to-ukraine/. (Accessed on January 6, 2022)"
The U.S. Deterrence Strategy and the Russia-Ukraine Conflict,"Contemporary International Relations , Zuo Xiying ","May 20, 2022","The second major adjustment was to reinforce security cooperation with Ukraine. Following the eruption of the Crimean crisis, the United States promptly enhanced its security relationship with Ukraine. In addition to assisting Ukraine in security matters, the United States’ initial actions included supporting Ukraine in establishing security and stability, coping with humanitarian and reconstruction needs, conducting democratic elections and constitutional reforms, bringing about economic recovery, and fighting corruption. Security aid was just one aspect of the U.S. initial aid package to Ukraine, and it was not even the most important aspect. This was because the urgent task facing the United States was to help Ukraine cope with a small-scale war. Helping Ukraine prepare for a large-scale war was a medium-term or long-term task. Moreover, the Obama administration tried to occupy the moral high ground by emphasizing the role of values in its foreign policy. However, the United States quickly realized the critical importance of security cooperation with Ukraine. With the support of NATO, Ukraine initiated defense reform in 2015. It planned to increase its military strength, reinforce interoperability between Ukraine’s armed forces and NATO, and establish credible military deterrence against Russia. Under the Trump administration, the United States further raised the level of its security cooperation with Ukraine. The United States and Ukraine entered a stage of in-depth cooperation. In 2019, by means of a constitutional amendment, Ukraine wrote accession to NATO into its constitution. This act won a positive response from the United States. On June 12, 2020, Ukraine received “NATO Enhanced Opportunities Partner status,” which provided further institutional safeguards for enhancing partnership interoperability between NATO and Ukraine."
