title,author,date_pub,full_text
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","I. “Today Ukraine, tomorrow Taiwan:” Emotions are running high"
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","As many wise people at home and abroad have long warned, Russia-Ukraine relations and the Russia and Ukraine situation, which had been tense for years, have regrettably and disturbingly evolved into a state of war that the world did not want to see. On February 24, 2022, Russia launched a special military operation against Ukraine, which is still ongoing. The conflagration has left Ukraine devastated and a large number of refugees displaced."
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","As expected, the United States and NATO—the authors of today’s Russia-Ukraine relations and the Russia-Ukraine situation—have refused to defend Ukraine militarily and will never send troops to protect it, although they have joined some of their so-called allies in launching public condemnations, economic sanctions, and diplomatic coercion against Russia. On the contrary, they are making a fortune off the war, and, by prolonging the Russia-Ukraine war, are attempting to further weaken Russia and coerce the EU into maintaining their hegemony and interests."
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","Although the United States has called on the international community to join it in condemning and sanctioning Russia, few have responded, and most countries and regions have looked on indifferently. Despite Ukraine’s so-called stubborn resistance, Russia, which has seized the strategic initiative, has not stopped its action, and will certainly achieve its strategic goals. One can anticipate that post-war Ukraine will not only be yet more devastated, but will no longer be the pre-war Ukraine, and further division of the country is inevitable. In fact, it is well known that Ukraine, which has been consistently pro-U.S. and tried to join NATO for nearly 20 years, getting weaker all the way, is no longer the Ukraine that emerged from the former Soviet Union when it collapsed."
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","At present, there is unprecedented hostility across the Taiwan Strait and tension in the Taiwan Strait. The special military operation launched by Russia against Ukraine, the performance of the United States and NATO, the reaction of the international community, and the tragic situation and future of Ukraine have triggered a high degree of concern among the people and public opinion on the island from the outset. The doubts, worries, anxiety, and even panic of Taiwan’s people have also exploded on the island’s social media. “Today Ukraine, tomorrow Taiwan”—Many people in Taiwan are beginning to worry that Taiwan may in the future turn into today’s war-torn Ukraine. The Democratic Progressive Party (DPP) authorities and political forces in Taiwan that seek “Taiwan independence” secession, as well as those Taiwanese people who support Taiwan independence and secession, appear to be calm in the face of today’s tragic situation in Ukraine, but they are actually in a constant state of panic!"
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","II. “Today Ukraine, tomorrow Taiwan:” Concerns are not excessive"
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","Strictly speaking, it is of course very inappropriate to use Russia-Ukraine relations and the Russia-Ukraine issue to view cross-Strait relations and the Taiwan Strait issue. Cross-Strait relations and the Taiwan Strait issue are fundamentally different from Russia-Ukraine relations and the Russia-Ukraine issue. Russia-Ukraine relations are relations between sovereign states; cross-Strait relations are relations between different regions of the same sovereign state, China. The Russia-Ukraine issue is a matter of one sovereign state’s diplomatic behavior endangering the security of another sovereign state, while the Taiwan Strait issue is a matter of China’s Taiwan region colluding with external forces in an attempt to split from China and undermine China’s sovereignty, security, development, and other core national interests."
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","Although cross-Strait relations and the Taiwan Strait issue are fundamentally different from Russia-Ukraine relations and the Russia-Ukraine issue, if Taiwan continues down the path of independence and secession, the state of the Russia-Ukraine situation today will likely appear at the Taiwan Strait level tomorrow. “Today Ukraine, tomorrow Taiwan” is not impossible! That is because the mainland has a firm bottom line and has drawn a red line, and the “Taiwan independence” forces that are trying to overstep the mainland’s bottom line are touching the red line drawn by the mainland."
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","1. The mainland has a bottom line and a red line, and “Taiwan independence” secession means war"
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","Mainland China considers peaceful reunification to be in the best interest of the Chinese nation and the country as a whole, and is therefore willing to do its best to achieve it, but that is based on the fact that both sides of the Taiwan Strait have always agreed that the two sides belong to the same country and are willing to reunify and meet each other half way. Moreover, mainland China has principles and a bottom line, and will never sit on its hands while the “Taiwan independence” separatist forces and international anti-China forces collude to split Taiwan from China."
What Can Taiwan Learn from the Evolution of the Russia-Ukraine Situation?,"China Review , Tang Yonghong ","Jun 4, 2022","In fact, mainland China’s attitude toward cross-Strait relations and the Taiwan Strait issue is consistent: It believes that both sides of the Taiwan Strait belong to the same China and that the Taiwan Strait issue is an internal Chinese issue, and it strives as much as possible for peaceful reunification of the two sides of the Taiwan Strait. However, it will not hesitate to use force to oppose “Taiwan independence” and the intervention of external forces in order to safeguard the country’s territorial integrity and defend national sovereignty, security, and development interests. Mainland China has repeatedly stated that “Taiwan independence” means war."
