title,author,date_pub,full_text
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Your Excellency President Vladimir Putin,  "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Dear Colleagues, "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Let me begin by thanking President Putin and Russia for the thoughtful organization of this meeting. During its presidency of the Shanghai Cooperation Organization (SCO), Russia has earnestly performed its duties and advanced the SCO’s sound development despite the impact of COVID-19. China highly commends Russia for its contribution. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Since its founding, the SCO has traveled an extraordinary journey. It has stood the test of time and become a major constructive force in the Eurasian region and global affairs. Committed to the Shanghai Spirit, SCO members have enhanced cooperation in the political, economic, security, people-to-people and cultural fields, setting an example for a new type of international relations that features mutual respect, equity, justice and win-win cooperation. In the face of COVID-19, we have backed each other up to tide over the difficulties together. Such solidarity has injected positive energy into both the SCO’s steady development and international cooperation against the coronavirus. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Colleagues, "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","The COVID-19 pandemic has accelerated shifts in the international landscape. The world is entering a period of turbulence and transformation. The international community now faces a major test with choices to be made between multilateralism and unilateralism, openness and seclusion, cooperation and confrontation. “What is going on with the world?” “What shall we do about it?” — These are the questions awaiting answers from the people of our time. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Ancient Chinese teachings tell us that “men of insight see the trend, while men of wisdom ride it”. Humanity lives in a global village where the interests and destinies of all countries are intertwined. People across the world increasingly yearn for a better life. The trend toward peace, development, cooperation and mutual benefit is unstoppable. History has proven and will continue to prove that good-neighborliness will prevail over a beggar-thy-neighbor approach, mutually beneficial cooperation will replace zero-sum game, and multilateralism will win over unilateralism. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","In the current circumstances, the SCO is required to carry forward the Shanghai Spirit and deepen solidarity and collaboration. Together, we will contribute more to the stability and development of countries in the region and take more steps toward building a community with a shared future for mankind. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","First, we need to step up anti-epidemic cooperation and build a community of health for us all. Right now, COVID-19 is still presenting an ongoing threat. To fight the virus that respects no borders, we must take up the most powerful weapon of solidarity and cooperation, and rise up to the most imperative task of saving people’s lives. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","We need to strengthen our joint response to COVID-19, support each other’s containment efforts, and uphold regional and global public health security. We need to support the World Health Organization’s crucial leadership role, oppose attempts to politicize the pandemic or mislabel the coronavirus, and jointly resist any “political virus”. We need to put the SCO’s health cooperation mechanisms into full use, and deepen exchanges and cooperation in epidemic monitoring, scientific research, and disease control and treatment. China proposes that hotline contacts be created between SCO members’ centers for disease control (CDCs) for timely updates on cross-border transmission of communicable diseases. The unique value and important role of traditional medicine has been highlighted in the battle against COVID-19, and we need to continue to hold the SCO Forum on Traditional Medicine to deepen exchanges and mutual learning in this field. Vaccines play a vital role in defeating the virus. China has joined the COVAX facility, and will actively consider SCO countries’ need for vaccines to help protect people’s safety and health in our countries. "
