title,author,date_pub,full_text
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","Today, the Politburo of the Chinese Communist Party (CCP) held its eighth collective study session, whose study content was an investigation into the building of a maritime superpower.  Just now, the explanations by Zeng Heng, the deputy chief engineer of China National Offshore Oil Corporation and an academician of the Chinese Academy of Engineering, and researcher Gao Zhiguo, director of the Institute of Ocean Development Strategy of the State Oceanic Administration as well as the discussion and speeches by the comrades were very good. After listening to it, I was very inspired. Next, I will discuss a few points learned from study. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","The ocean is an important base for strategic resources, and there is huge potential for the exploitation of the world’s marine resources. In the 21st century, mankind has entered a period of large-scale development and utilization of the ocean. The ocean plays an even more important role in the country’s pattern of economic development and opening to the outside world. Its role in safeguarding national sovereignty, security, and development interests has increased in prominence, its role in the construction of the nation’s ecological civilization has become more significant, and its strategic position in international political, economic, military, and technological competition has also risen significantly. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","Throughout history, the development of great powers has been inseparably linked to the ocean. Some people say “The strong of the world are inevitably the victors at sea, while the weak of the world are necessarily weak at sea” (强于天下者必胜于海，衰于天下者必弱于海). For example, after the industrial revolution in the mid-18th century, some Western nations relied on advanced ocean navigation technology to open up sea routes, expand overseas colonies, control world trade, and plunder world resources, creating the important conditions that allowed them to become world powers. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","The Chinese nation was one of the first nations to make use of the ocean. As early as the Spring and Autumn Period, our ancestors first conceptualized a primitive idea of sea power. At that time, Qi was called the “Land of Sea Kings”. Guan Zhong, the Chancellor of Qi, proposed the idea of a government monopoly on the “resources of the mountains and the sea” (唯官山海为可耳, state monopoly on mineral and maritime resources). He said that, if the state organizes the development of land and sea resources in a unified manner, the country can become prosperous and strong. Long ago, our ancestors opened up the “Maritime Silk Road” for communication between the East and the West. For over a thousand years, China and other countries around the world have been able to communicate with each other through maritime trade and cultural exchanges. Chinese civilization also expanded to other parts of the world along these trade routes. In the first half of the 15th century, the seven voyages of Zheng He to the Western Ocean were one of the great maritime feats in human history. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","After the mid-Ming Dynasty, when the world entered the age of exploration and the West established its maritime hegemony, China’s feudal dynasty adopted a closed-door policy. Its economic and technological development was slow, and overall national power was gradually declining. During and after the Opium Wars, most of the invasions of China by Western powers came from the sea. Continuous invasion by Western powers gradually turned China into a semicolonial and semi-feudal country. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","Historical experience tells us that orienting to the ocean will lead to prosperity, while abandoning the ocean will lead to decline. A strong country is a strong maritime power, and a weak country is a weak maritime power. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","China is both a major land power and a major sea power. We have more than 18,000 kilometers of continental coastline, over 14,000 kilometers of island coastline, claim over 3 million square kilometers of jurisdictional waters, and have extensive maritime strategic interests. How the marine industry develops and whether marine issues are resolved well or not are linked to the survival and development of our nation as well as the rise and fall, security or danger of our country. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","The party and the State have long placed a great emphasis on marine work and the development of marine undertakings. The 18th Party Congress made a major deployment for the building of a maritime superpower. This is a strategic choice made by our Party after accurately grasping the characteristics of the times and world trends, objectively analyzing the features of the development process and stage of China’s marine industry, and making overall plans for the overall situation. The implementation of this major deployment is of great and far-reaching significance for promoting sustained and healthy economic development, safeguarding national sovereignty, security, and development interests, and realizing the goal of establishing a well-off society in an all-round way and thus achieving the great rejuvenation of the Chinese nation. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","After years of development, China has established a relatively complete marine industry system, achieved major breakthroughs in marine science and technology, continuously enhanced marine resource development capabilities, gradual improved marine laws and regulations, completed the preliminary establishment of a comprehensive marine management system, and significantly enhanced the maintenance of marine rights and interests. On the whole, the marine industry has entered its best period of development in our history. These achievements have laid a solid foundation for our construction of a maritime superpower. "
Comrade Xi Jinping’s Remarks to the Eighth Collective Study Session of the CCP Politburo,Xi Jinping ,"Jul 30, 2013","How should China approach the construction of a maritime superpower? This problem not only concerns us, but the international community as a whole. Some say that China’s promotion of the construction of a maritime superpower will make it into a new maritime hegemon, affecting regional stability and world peace. This worry is completely unnecessary! We will never follow the old path of colonization and plunder like some major powers in history. That path runs counter to the general trend of peaceful world development and it does not conform to the fundamental interests of the Chinese nation. We adhere to the development path of sea-based national prosperity, sea-based national strength, harmony between man and the sea, and mutually beneficial cooperation. We will achieve the goal of building a maritime superpower through peaceful, development-oriented, cooperative, and mutually beneficial methods. "
