title,author,date_pub,full_text
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","Your Excellency President Vladimir Putin,"
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","Ladies and Gentlemen, Friends,"
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021",I wish to thank President Putin for his gracious invitation. It is a great pleasure to address the Eastern Economic Forum again after three years.
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","Today marks the 76th anniversary of the victory of the Chinese People’s War of Resistance against Japanese Aggression and the World Anti-Fascist War. On 25 August, I spoke with President Putin on the phone. We both agreed that the international community must defend firmly the victorious outcomes of World War II, safeguard the truth of history, and stay committed to taking history as a mirror to open up a brighter future."
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","Earlier in June, President Putin and I had a successful video meeting. Together, we announced the extension of the China-Russia Treaty of Good-Neighborliness and Friendly Cooperation, and reached new common understandings on major issues such as strengthening China-Russia strategic coordination and advancing bilateral practical cooperation across the board. The China-Russia comprehensive strategic partnership of coordination for a new era boasts strong momentum and broad prospects."
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","As we speak, the international landscape is going through profound transformation. The COVID-19 pandemic keeps raging with frequent flare-ups, and the world economy faces a daunting recovery. This presents regional cooperation in Northeast Asia with both stern challenges and important opportunities. It is only right that all parties ground themselves in regional realities while adopting a global perspective, join hands to tide over the difficult time and plan for common development."
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","—We need to offer each other help to overcome the pandemic challenge. We need to intensify cooperation in vaccine research, development and production, provide more public goods to the international community, firmly reject any politicization of COVID vaccines and origins-tracing, and strive to build a global community of health for all."
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","—We need to redouble our efforts to advance mutually-beneficial cooperation. We need to deepen the collaboration between the Belt and Road Initiative and the Eurasian Economic Union, support the innovative development of the digital economy, jointly tackle global climate change, and promote social and economic development in the region."
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","—We need to form synergy to safeguard regional peace and stability. We need to narrow differences and build consensus through dialogue and exchanges, embrace the concept of common, comprehensive, cooperative and sustainable security, and work for a harmonious and tranquil homeland for us all."
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021","This year marks the 100th anniversary of the founding of the Communist Party of China, and China has started a new journey toward fully building a modern socialist country. We are ready to work with all parties to uphold true multilateralism, advocate trust and harmony, promote win-win cooperation, and march with firm steps toward the goal of building a community with a shared future for mankind."
"Join Hands to Overcome Current Difficulties, Plan for Future  Development and Write a New Chapter for Far East Cooperation: Xi Jinping at the Opening Ceremony of the Plenary Session of the Sixth Eastern Economic Forum",Xi Jinping ,"Sep 3, 2021",Thank you.
