title,author,date_pub,full_text
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","Your Excellencies Heads of State and Government,"
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","Your Excellencies Heads of International Organizations,"
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","Your Excellencies Heads of Delegations,"
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","Distinguished Guests,"
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","Ladies and Gentlemen, Dear Friends,"
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","With concerted efforts of all parties, the third China International Import Expo (CIIE) is now open. At the outset, let me extend, on behalf of the government and people of China as well as in my own name, a hearty welcome to all the distinguished guests. To the many old and new friends, I give you my warm greetings and best regards."
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","This year’s CIIE is convened at a special time. COVID-19, which caught us all by surprise, has hit countries hard and dealt a heavy blow to the world economy. As scheduled and confident in the containment protocols that have been put in place, China is hosting this global trade event. It demonstrates China’s sincere desire to share its market opportunities with the world and contribute to global economic recovery."
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","Over the past three years since its inception, the CIIE has enabled exhibits to become traded goods and exhibitors to spot more investment opportunities. It has facilitated an exchange of new and creative ideas, and better connected China and the wider world. Acting as a major platform for international procurement, for investment promotion, for cultural exchange and for open cooperation, the CIIE is now an international public good for the world to share."
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","This year, the CIIE has drawn a large number of businesses around the globe. The exhibition area has expanded by nearly 30,000 square meters. A zone on public health and epidemic prevention has been added, which alone has attracted many Fortune Global 500 corporations and leading firms in relevant sectors. With both online and offline exhibitions arranged and thoughtful preparations made in every way, I am confident that the third CIIE will be a safe, exciting and successful expo for all of you."
Keynote Speech by Xi Jinping at the Opening Ceremony of the Third China International Import Expo,Xi Jinping ,"Nov 4, 2020","Ladies and Gentlemen, Friends,"
