title,author,date_pub,full_text
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","Your Excellencies Leaders of Participating Countries,"
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","Distinguished Guests,"
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","Ladies and Gentlemen, Dear Friends,"
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","As the 17th China-ASEAN Expo (CAEXPO) and China-ASEAN Business and Investment Summit (CABIS) open today, I wish to extend, on behalf of the Chinese government and people and also in my own name, a hearty welcome and warm greetings to all the guests attending in person or via the Internet."
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","This year’s CAEXPO, themed “Building the Belt and Road, Strengthening Digital Economy Cooperation”, aims to deepen China-ASEAN cooperation on the digital economy, promote high-quality Belt and Road cooperation, and inject new vitality into the economic and social development of both sides."
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","China and ASEAN countries, connected by the same mountains and rivers, share close affinity and a longstanding friendship. In 2013, I announced an initiative for China to work with ASEAN countries for a 21st Century Maritime Silk Road and for a closer China-ASEAN community with a shared future."
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","We are glad to note that, seven years on, China and ASEAN enjoy growing connectivity, deepening economic integration, robust business ties, and closer people-to-people exchanges. The China-ASEAN relationship has grown into the most successful and vibrant model for cooperation in the Asia-Pacific and an exemplary effort in building a community with a shared future for mankind."
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","When confronted by the sudden onslaught of COVID-19 this year, China and ASEAN have helped each other and took on the challenge in solidarity. We have reached important consensus in many respects, including sharing experience on COVID-19 response, ensuring medical supplies, conducting joint research and development of vaccines, and keeping the regional industrial and supply chains stable. At a crucial stage in China’s fight against the coronavirus, ASEAN countries promptly provided invaluable support and selfless assistance to China. Once the situation began to ease on its domestic front, China sent expert teams to ASEAN countries, offered material and technical assistance, shared containment experience, and speedily opened “fast tracks” and “green lanes” to facilitate the flow of people and goods."
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","Ladies and Gentlemen, Friends,"
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","Our world is undergoing momentous changes unseen in a century. It is moving toward greater multi-polarity, economic globalization and cultural diversity, and is becoming increasingly information-oriented. Never before have the destinies of people in different countries been so closely connected. At the same time, however, the world is faced with growing uncertainties and instability. The world economy is sluggish; unilateralism and protectionism are on the rise; cyber security issues, major infectious diseases, climate change, and many other non-traditional security threats continue to spread; and the international order and global governance system are being challenged."
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","Under the new circumstances, China continues to regard ASEAN as a priority in its neighborhood diplomacy and a key region in high-quality Belt and Road cooperation. China supports ASEAN’s community-building, supports ASEAN centrality in East Asian cooperation, and supports ASEAN in playing a bigger role in building an open and inclusive regional architecture."
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","China will work with ASEAN to advance all-round cooperation under the guidance of the Strategic Partnership Vision 2030. Such efforts will help maintain the good momentum for development and prosperity in our region and cultivate a closer China-ASEAN community with a shared future. For that to happen, let me make the following suggestions on what we need to do:"
Remarks by Xi Jinping at the Opening Ceremony of the 17th China-ASEAN Expo and China-ASEAN Business and Investment Summit,Xi Jinping ,"Nov 27, 2020","First, we need to enhance strategic mutual trust and further synergize our development plans. China will work with ASEAN to advance our wide-ranging cooperation in the coming five years in line with the Plan of Action to Implement the Joint Declaration on China-ASEAN Strategic Partnership for Peace and Prosperity (2021-2025). China will also work with ASEAN to implement the China-ASEAN Joint Statement on Synergizing the Belt and Road Initiative and the Master Plan on ASEAN Connectivity 2025. To be specific, more efforts will be made to build the New International Land-Sea Trade Corridor, strengthen cooperation on infrastructure connectivity including railways, highways, ports, airports, power and communications, speed up the development of existing economic corridors and key projects, and continue to develop the China-ASEAN Multimodal Transport Alliance. Next year will mark the 30th anniversary of China-ASEAN dialogue relations. China will work with ASEAN on the planning and organization of commemorative events and take our strategic partnership to a higher level."
