title,author,date_pub,full_text
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","Comrades and friends,"
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","Today, the first of July, is a great and solemn day in the history of both the Communist Party of China (CCP) and the Chinese nation. We gather here to join all Party members and Chinese people of all ethnic groups around the country in celebrating the centenary of the Party, looking back on the glorious journey the Party has traveled over 100 years of struggle, and looking ahead to the bright prospects for the rejuvenation of the Chinese nation."
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","To begin, let me extend warm congratulations to all Party members on behalf of the CCP Central Committee."
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","On this special occasion, it is my honor to declare on behalf of the Party and the people that through the continued efforts of the whole Party and the entire nation, we have realized the first centenary goal of building a moderately prosperous society in all respects. This means that we have brought about a historic resolution to the problem of absolute poverty in China, and we are now marching in confident strides toward the second centenary goal of building China into a great modern socialist country in all respects. This is a great and glorious accomplishment for the Chinese nation, for the Chinese people, and for the Communist Party of China!"
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","Comrades and friends,"
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","The Chinese nation is a great nation. With a history of more than 5,000 years, China has made indelible contributions to the progress of human civilization. After the Opium War of 1840, however, China was gradually reduced to a semi-colonial, semi-feudal society and suffered greater ravages than ever before. The country endured intense humiliation, the people were subjected to great pain, and the Chinese civilization was plunged into darkness. Since that time, national rejuvenation has been the greatest dream of the Chinese people and the Chinese nation."
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","To save the nation from peril, the Chinese people put up a courageous fight. As noble-minded patriots sought to pull the nation together, the Taiping Heavenly Kingdom Movement, the Reform Movement of 1898, the Yihetuan Movement, and the Revolution of 1911 rose one after the other, and a variety of plans were devised to ensure national survival, but all of these ended in failure. China was in urgent need of new ideas to lead the movement to save the nation and a new organization to rally revolutionary forces."
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","With the salvoes of Russia’s October Revolution in 1917, Marxism-Leninism was brought to China. Then in 1921, as the Chinese people and the Chinese nation were undergoing a great awakening and Marxism-Leninism was becoming closely integrated with the Chinese workers’ movement, the Communist Party of China was born. The founding of a communist party in China was an epoch-making event, which profoundly changed the course of Chinese history in modern times, transformed the future of the Chinese people and nation, and altered the landscape of world development."
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","Since the very day of its founding, the Party has made seeking happiness for the Chinese people and rejuvenation for the Chinese nation its aspiration and mission. All the struggle, sacrifice, and creation through which the Party has united and led the Chinese people over the past hundred years has been tied together by one ultimate theme—bringing about the great rejuvenation of the Chinese nation."
Speech at a Ceremony Marking the Centenary of the Communist Party of China,Xi Jinping ,"Jul 1, 2021","To realize national rejuvenation, the Party united and led the Chinese people in fighting bloody battles with unyielding determination, achieving great success in the new-democratic revolution. Through the Northern Expedition, the Agrarian Revolutionary War, the War of Resistance against Japanese Aggression, and the War of Liberation, we fought armed counter-revolution with armed revolution, toppling the three mountains of imperialism, feudalism, and bureaucrat-capitalism and establishing the People’s Republic of China, which made the people masters of the country. We thus secured our nation’s independence and liberated our people.  The victory of the new-democratic revolution put an end to China’s history as a semi-colonial, semi-feudal society, to the state of total disunity that existed in old China, and to all the unequal treaties imposed on our country by foreign powers and all the privileges that imperialist powers enjoyed in China. It created the fundamental social conditions for realizing national rejuvenation. Through tenacious struggle, the Party and the Chinese people showed the world that the Chinese people had stood up, and that the time in which the Chinese nation could be bullied and abused by others was gone forever."
