title,author,date_pub,full_text
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","Comrades, friends,"
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","Today, we are gathered here to celebrate the 95th anniversary of the founding of the Chinese Communist Party (CCP); to look back at how the CCP has gloriously united the Chinese people and led them in tireless struggle; to look ahead at the bright prospects of the cause of our Party and our people; to honor outstanding Party members, exemplary Party workers, and advanced community-level Party organizations from across the country; and to mobilize the entire CCP and all Chinese people in an even more confident advance towards the goal of building a moderately prosperous society in all respects, and towards the Chinese dream of national rejuvenation. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","Comrades, friends, "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016"," Over the course of several millennia, the Chinese people created an enduring and splendid civilization, making a marvelous contribution to humankind and becoming one of the great peoples of the world. Following the advent of modern times, however, owing to the aggression of the Western powers and the corruptness of China’s feudal rulers, China was gradually reduced to a semi-colonial, semi-feudal society. As the land of China was laid to waste and the people descended into misery, the Chinese nation experienced suffering of unprecedented proportions. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016"," Despite their bitter suffering, however, the Chinese people did not yield. Instead, they stood up and fought back. With an undying spirit, they waged momentous struggle after momentous struggle, writing one stirring epic after another. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016"," In 1921, following the May Fourth Movement, at a time of unprecedented social crisis when our people were beset by domestic turmoil and foreign aggression, the Chinese Communist Party was born from the meeting of Marxism-Leninism and the Chinese workers’ movement.  "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","The emergence of a communist party in our country was an epoch-making event, which profoundly changed the course of Chinese history in modern times, the fate and future of the Chinese people and nation, and the direction and pattern of world development. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","In its momentous 95-year history, the CCP, relying closely on the Chinese people, has surmounted obstacle after obstacle, and gone from victory to victory, making a great, historic contribution to the Chinese nation.  "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","This contribution saw the CCP rally the Chinese people and lead them in a bloody, 28-year struggle, during which they defeated the Japanese imperialist aggressors, overthrew the reactionary rule of the Kuomintang, completed the new democratic revolution, and established the People’s Republic of China. This contribution was significant because it put an end to the semi-colonial, semi-feudal society of the old China; put an end to the state of total disunity that existed in Chinese society at the time; and put an end to the unequal treaties that were imposed on our country by foreign powers and to all privileges that imperialist countries enjoyed in China, thus bringing about a leap forward whereby China transformed itself from a millennia-old feudal autocracy to a people’s democracy. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","This contribution saw the CCP rally the Chinese people and lead them in carrying out socialist revolution, establishing socialism as China’s basic system, eradicating all systems of exploitation, and advancing socialist construction. This contribution was significant because it saw through the broadest and most profound social transformation in the history of the Chinese nation; laid down the fundamental political preconditions and institutional foundations for all development and progress in contemporary China; and laid down a solid foundation for China’s development, prosperity, and strength and the Chinese people’s affluence, thus bringing about a leap forward whereby the Chinese nation reversed its decline and set out towards prosperity and strength. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016"," This contribution saw the CCP rally the Chinese people and lead them in launching reform and opening-up – a new revolution that has unleashed the creativity of countless ordinary people, liberated and developed productive forces, and significantly enhanced the vitality of our society, the living standards of our people, and the comprehensive strength and international standing of our country. This contribution was significant because it blazed a new path of socialism with Chinese characteristics, formed the theoretical framework and established the system of Chinese socialism, allowing China to catch up with the times, and bringing about a leap forward whereby the Chinese people have gone from regaining dignity to becoming prosperous and strong. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","The great victory of the Chinese people, achieved under the leadership of the CCP, put the Chinese nation, the curator of a 5,000-year-old civilization, well on the way to modernization, infusing new vigor into Chinese civilization. This great victory placed the tenets of socialism, which go back 500 years, on a highly realistic, feasible, and correct path in the world’s most populous country, allowing scientific socialism to display renewed vigor in the 21st century. Moreover, this great victory enabled the People’s Republic of China, founded more than 60 years ago, to captivate the world with its achievements in development. In little more than 30 years, China, the world’s largest developing country, has shaken off poverty and risen to become the world’s second largest economy. Guaranteeing its own survival, it has performed an earth-shaking miracle in the history of human development, and infused the Chinese nation with new vitality. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","History has told us that without the guidance of advanced theories, and without the leadership of an advanced political party that was equipped with these advanced theories and prepared to follow the tide of history, assume its historical mission, and make enormous sacrifices, the Chinese people would have been powerless to fight the various reactionary cliques that held them down; the Chinese nation would have been powerless to free itself from oppression and enslavement; and our country would have been powerless to unite and seek prosperity and strength on the path of socialism. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016"," History has told us that, the path taken by China, the Chinese people, and the Chinese nation over the past 95 years has been paved with the blood, sweat, and tears of the CCP and the Chinese people. Full of hardship and glory, setback and victory, and sacrifice and gain, this is a splendid chapter in the history of the Chinese nation that must never be forgotten or denied, and it is the foundation on which our people and nation will carry forward our cause and forge ahead courageously. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","History has told us that, the cause of the Chinese nation’s rejuvenation, which history and the people have chosen the CCP to lead, is correct, must be upheld, and can never be doubted. It has told us that the path of socialism with Chinese characteristics, which the CCP has led the Chinese people in opening, is correct, must be upheld, and can never be doubted. And it has told us that the strategy of taking root in China, absorbing the finest achievements of human civilization, and independently achieving national development, which the CCP and the Chinese people have employed, is correct, must be upheld, and can never be doubted. "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016","Comrades, friends, "
Speech by President Xi Jinping at a Ceremony Marking the 95th Anniversary of the Founding of the Communist Party of China,Xi Jinping ,"Jul 1, 2016"," Everything we have achieved over the past 95 years is the result of a continued effort by generation after generation of Chinese Communists and the Chinese people. Three generations of CCP central leadership, with Mao Zedong, Deng Xiaoping, and Jiang Zemin at the core, and the CCP Central Committee with Hu Jintao as General Secretary, have led the entire Party and all Chinese people in surmounting unimaginable difficulties and challenges, allowing our nation to embrace bright prospects for its great renewal. "
