title,author,date_pub,full_text
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","Mr. President,"
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","Colleagues,"
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","This year marks the 75th anniversary of the victory in the World Anti-Fascist War and the founding of the United Nations (UN). Yesterday, the high-level meeting to commemorate the 75th anniversary of the UN was held. The meeting was a significant one, as it reaffirmed our abiding commitment to the purposes and principles of the UN Charter on the basis of reviewing the historical experience and lessons of the World Anti-Fascist War."
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","Mr. President,"
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","We humans are battling COVID-19, a virus that has ravaged the world and has kept resurging. In this fight, we have witnessed the efforts of governments, dedication of medical workers, exploration of scientists, and perseverance of the public. People of different countries have come together. With courage, resolve and compassion which lit the dark hour, we have confronted the disaster head on. The virus will be defeated. Humanity will win this battle!"
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","– Facing the virus, we should put people and life first. We should mobilize all resources to make a science-based and targeted response. No case should be missed and no patient should be left untreated. The spread of the virus must be contained."
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","– Facing the virus, we should enhance solidarity and get this through together. We should follow the guidance of science, give full play to the leading role of the World Health Organization, and launch a joint international response to beat this pandemic. Any attempt of politicizing the issue or stigmatization must be rejected."
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","– Facing the virus, we should adopt comprehensive and long-term control measures. We should reopen businesses and schools in an orderly way, so as to create jobs, boost the economy, and restore economic and social order and vitality. The major economies need to step up macro policy coordination. We should not only restart our own economies, but also contribute to global recovery."
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","– Facing the virus, we should show concern for and accommodate the need of developing countries, especially African countries. The international community needs to take timely and robust measures in such fields as debt relief and international assistance, ensure the implementation of the 2030 Agenda for Sustainable Development and help these countries overcome their difficulties."
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","Seventy-five years ago, China made historic contributions to winning the World Anti-Fascist War and supported the founding of the United Nations. Today, with the same sense of responsibility, China is actively involved in the international fight against COVID-19, contributing its share to upholding global public health security. Going forward, we will continue to share our epidemic control practices as well as diagnostics and therapeutics with other countries, provide support and assistance to countries in need, ensure stable global anti-epidemic supply chains, and actively participate in the global research on tracing the source and transmission routes of the virus. At the moment, several COVID-19 vaccines developed by China are in Phase III clinical trials. When their development is completed and they are available for use, these vaccines will be made a global public good, and they will be provided to other developing countries on a priority basis. China will honor its commitment of providing US$2 billion of international assistance over two years, further international cooperation in such fields as agriculture, poverty reduction, education, women and children, and climate change, and support other countries in restoring economic and social development."
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","Mr. President,"
Statement by Xi Jinping at the General Debate of the 75th Session of the United Nations General Assembly,Xi Jinping ,"Sep 22, 2020","The history of development of human society is a history of our struggles against all challenges and difficulties and our victories over them. At present, the world is battling the COVID-19 pandemic as it goes through profound changes never seen in a century. Yet, peace and development remain the underlying trend of the times, and people everywhere crave even more strongly for peace, development and win-win cooperation. COVID-19 will not be the last crisis to confront humanity, so we must join hands and be prepared to meet even more global challenges."
