title,author,date_pub,full_text
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","Your Excellency President Emomali Rahmon,"
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","Dear Colleagues,"
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","I wish to thank you, President Rahmon, and Tajikistan for hosting this meeting under Tajikistan’s Presidency of the Shanghai Cooperation Organization (SCO). As the SCO marks its 20th anniversary, together with all of you, I look forward to reviewing the proud history of the SCO and charting the course for even broader prospects of its future development."
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","The past 20 years have seen evolving international developments and profound reshaping of the global governance system. These years have also seen the vigorous growth of the SCO and the fruitful, mutually beneficial cooperation among its member states. Over the past two decades, guided by the Shanghai Spirit of mutual trust, mutual benefit, equality, consultation, respect for diversity of civilizations and pursuit of common development, the SCO has endeavored to promote world peace, development and human progress, and to explore new ground, both theoretically and with actual steps, with a view to building a new type of international relations and a community with a shared future for mankind."
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","― We have jointly promoted political mutual trust. We have signed the Treaty on Long-Term Good-Neighborliness, Friendship and Cooperation and created a new model based on partnership and dialogue, rather than alliance or confrontation. We have supported each other on issues which involve our respective core interests and are of major concern to us. And we have provided reliable and strong backing to each other in our pursuit of development."
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","― We have jointly ensured security and stability. We were the first to call for fighting terrorism, separatism and extremism. We have taken tough actions to curb the spread of drug trafficking, cybercrime and transnational organized crime, and jointly held counter-terrorism exercises and border control operations. We call for seeking political settlement of international and regional hotspot issues, and we have erected a strong defense to uphold peace and tranquility in our region."
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","― We have jointly pursued prosperity and development. We have intensified practical cooperation in our region. People-to-people programs such as art festivals, the SCO University and the SCO Forum on Traditional Medicine have been launched. With the “SCO speed” and “SCO efficiency”, as evidenced by the 12 percent annual growth of the total GDP of SCO member states and their trade as well as manifold increase in the number of mutual visits, we have moved faster in delivering decent lives for people in SCO countries."
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","― We have jointly upheld international justice. We advocate multilateralism and the common values of humanity and have spoken out against hegemony and power politics. We have maintained close coordination with SCO observer states and dialogue partners as well as international and regional organizations which share the SCO’s purposes and principles, and we have rallied other members of the international community to work for a shared future."
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","Colleagues,"
Staying True to Our Founding Mission and Forging Ahead on a New Journey of SCO Cooperation – Statement by Xi Jinping at the 21st Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Sep 17, 2021","The SCO has reached a new historical starting point. We should stay true to the Shanghai Spirit, keep to the right direction, follow the historical trends of promoting democracy in international relations, and pursue our own development as we pursue common development for humanity. Together, we can build a closer SCO community with a shared future and contribute even more to lasting global peace and common prosperity. To this end, I call for taking the following steps:"
